V51	postgres	EarnedValue										
n	n	n	n	n	n	n	n	n	n	n	n	n
ElemID	PeriodID	UnitID	BcwsCum	BcwpCum	AcwpCum	Bac	Lre	BcwsAdj	BcwpAdj	AcwpAdj	ReprogCost	ReprogBudg
5	12	15	98898	98898	177790	102517	181409	0	0	0	0	0
5	12	9	39339	39339	37340	43339	41340	0	0	0	0	0
5	12	12	19200	19200	22135	19200	22135	0	0	0	0	0
6	12	15	91871	91871	140442	106605	155176	0	0	0	0	0
6	12	13	161019	161019	157025	178178	174185	0	0	0	0	0
7	12	15	0	0	0	93296	38937	0	0	0	0	0
7	12	9	0	0	909	18000	8909	0	0	0	0	0
7	12	13	0	0	0	66740	26270	0	0	0	0	0
11	12	15	102046	102046	159042	106621	163617	0	0	0	0	0
12	12	12	31700	31700	0	31700	0	0	0	0	0	0
13	12	13	3806	3806	0	3806	0	0	0	0	0	0
16	12	12	24738	24738	21085	83738	51085	0	0	0	0	0
16	12	10	0	0	0	75000	25000	0	0	0	0	0
17	12	15	42556	42556	74328	44844	76616	0	0	0	0	0
18	12	13	6992	6992	0	6992	0	0	0	0	0	0
19	12	15	0	0	0	5779	5177	0	0	0	0	0
23	12	15	152005	152005	194072	164864	206931	0	0	0	0	0
25	12	12	89360	89360	0	89360	0	0	0	0	0	0
26	12	15	0	0	0	58205	28764	0	0	0	0	0
28	12	15	134715	134715	187949	151260	204495	0	0	0	0	0
29	12	12	98254	98254	0	98254	0	0	0	0	0	0
30	12	15	0	0	0	91496	36574	0	0	0	0	0
32	12	15	25659	25659	43515	25982	43838	0	0	0	0	0
33	12	15	8730	8730	15252	18416	24937	0	0	0	0	0
35	12	15	0	0	0	1381	722	0	0	0	0	0
36	12	15	0	0	0	10620	2166	0	0	0	0	0
38	12	15	105014	105014	183136	108425	186547	0	0	0	0	0
41	12	15	0	0	0	10771	7630	0	0	0	0	0
41	12	12	0	0	0	100000	50000	0	0	0	0	0
41	12	10	0	0	0	50000	25000	0	0	0	0	0
42	12	12	161818	161818	161818	189818	196818	0	0	0	0	0
42	12	10	170166	170166	170166	192666	175666	0	0	0	0	0
45	12	15	51368	51368	89660	57345	95637	0	0	0	0	0
47	12	15	0	0	0	26541	13526	0	0	0	0	0
47	12	12	0	0	0	0	2500	0	0	0	0	0
47	12	10	0	0	0	300000	150000	0	0	0	0	0
48	12	12	159906	159906	159906	164906	164906	0	0	0	0	0
48	12	10	161494	161494	161494	318494	311494	0	0	0	0	0
51	12	15	36720	36720	63483	42697	69460	0	0	0	0	0
