V51	postgres	FutureEtc			
n	n	n	d	n	n
ElemID	PeriodID	UnitID	EndDate	Bcws	Etc
5	12	15	2017-09-30	3619	3619
5	12	9	2017-09-30	4000	4000
6	12	15	2017-09-30	14734	14734
6	12	13	2017-09-30	17159	17159
7	12	15	2017-09-30	93296	38937
7	12	9	2017-09-30	18000	8000
7	12	13	2017-09-30	66740	26270
11	12	15	2017-09-30	4575	4575
16	12	12	2017-09-30	59000	30000
16	12	10	2017-09-30	75000	25000
17	12	15	2017-09-30	2288	2288
19	12	15	2017-09-30	5779	5177
23	12	15	2017-09-30	12859	12859
26	12	15	2017-09-30	58205	28764
28	12	15	2017-09-30	16545	16545
30	12	15	2017-09-30	91496	36574
32	12	15	2017-09-30	323	323
33	12	15	2017-09-30	9685	9685
35	12	15	2017-09-30	1381	722
36	12	15	2017-09-30	10620	2166
38	12	15	2017-09-30	3411	3411
41	12	15	2017-09-30	10771	7630
41	12	12	2017-09-30	100000	50000
41	12	10	2017-09-30	50000	25000
42	12	12	2017-09-30	28000	35000
42	12	10	2017-09-30	22500	5500
45	12	15	2017-09-30	5977	5977
47	12	15	2017-09-30	26541	13526
47	12	10	2017-09-30	300000	150000
48	12	12	2017-09-30	5000	5000
48	12	10	2017-09-30	157000	150000
51	12	15	2017-09-30	5977	5977
52	12	10	2017-09-30	400000	165000
55	12	15	2017-09-30	27052	13526
58	12	15	2017-09-30	18617	18617
58	12	13	2017-09-30	27476	13564
62	12	15	2017-09-30	41153	41643
62	12	13	2017-09-30	68174	34087
62	12	12	2017-09-30	588000	376500
62	12	10	2017-09-30	384328	269328
63	12	12	2017-09-30	38100	15000
64	12	10	2017-09-30	360000	125000
64	12	12	2017-09-30	250000	60000
68	12	15	2017-09-30	2327	2327
68	12	13	2017-09-30	14438	7838
69	12	15	2017-09-30	1614	1614
70	12	15	2017-09-30	47228	21031
73	12	15	2017-09-30	7839	13963
75	12	15	2017-09-30	98596	31232
77	12	15	2017-09-30	3138	9172
78	12	15	2017-09-30	80981	30172
80	12	15	2017-09-30	5576	9631
88	12	15	2017-09-30	79200	42324
91	12	13	2017-09-30	2080	2080
92	12	15	2017-09-30	9532	4962
93	12	13	2017-09-30	8112	4160
93	12	15	2017-09-30	27683	11099
97	12	15	2017-09-30	3671	1744
99	12	15	2017-09-30	15449	0
101	12	13	2017-09-30	11000	8360
106	12	15	2017-09-30	5023	5023
107	12	11	2017-09-30	124107	67597
107	12	13	2017-09-30	17040	4260
108	12	15	2017-09-30	18065	11235
108	12	11	2017-09-30	415198	218762
108	12	13	2017-09-30	34080	25560
109	12	9	2017-09-30	32468	0
47	12	12	2017-09-30	0	2500
5	12	18	2017-09-30	1313	1313
6	12	18	2017-09-30	5345	5345
7	12	18	2017-09-30	33848	14126
11	12	18	2017-09-30	1660	1660
17	12	18	2017-09-30	830	830
19	12	18	2017-09-30	2097	1878
23	12	18	2017-09-30	4665	4665
26	12	18	2017-09-30	21117	10436
28	12	18	2017-09-30	6003	6003
30	12	18	2017-09-30	33195	13269
32	12	18	2017-09-30	117	117
33	12	18	2017-09-30	3514	3514
35	12	18	2017-09-30	501	262
36	12	18	2017-09-30	3853	786
38	12	18	2017-09-30	1237	1237
41	12	18	2017-09-30	3908	2768
45	12	18	2017-09-30	2168	2168
47	12	18	2017-09-30	9629	4907
51	12	18	2017-09-30	2168	2168
55	12	18	2017-09-30	9815	4907
58	12	18	2017-09-30	6754	6754
62	12	18	2017-09-30	14930	15108
68	12	18	2017-09-30	844	844
69	12	18	2017-09-30	586	586
70	12	18	2017-09-30	17134	7630
73	12	18	2017-09-30	2844	5066
75	12	18	2017-09-30	35771	11331
77	12	18	2017-09-30	1138	3328
78	12	18	2017-09-30	29380	10946
80	12	18	2017-09-30	2023	3494
88	12	18	2017-09-30	28734	15355
92	12	18	2017-09-30	3458	1800
93	12	18	2017-09-30	10043	4027
97	12	18	2017-09-30	1332	633
99	12	18	2017-09-30	5605	0
106	12	18	2017-09-30	1822	1822
108	12	18	2017-09-30	6554	4076
5	12	17	2017-09-30	1381	1381
6	12	17	2017-09-30	5622	5622
7	12	17	2017-09-30	35600	14858
11	12	17	2017-09-30	1746	1746
17	12	17	2017-09-30	873	873
19	12	17	2017-09-30	2205	1976
23	12	17	2017-09-30	4907	4907
26	12	17	2017-09-30	22210	10976
28	12	17	2017-09-30	6313	6313
30	12	17	2017-09-30	34913	13956
32	12	17	2017-09-30	123	123
33	12	17	2017-09-30	3696	3696
35	12	17	2017-09-30	527	276
36	12	17	2017-09-30	4052	827
38	12	17	2017-09-30	1302	1302
41	12	17	2017-09-30	4110	2911
45	12	17	2017-09-30	2281	2281
47	12	17	2017-09-30	10128	5161
51	12	17	2017-09-30	2281	2281
55	12	17	2017-09-30	10323	5161
58	12	17	2017-09-30	7104	7104
62	12	17	2017-09-30	15703	15890
68	12	17	2017-09-30	888	888
69	12	17	2017-09-30	616	616
70	12	17	2017-09-30	18022	8025
73	12	17	2017-09-30	2991	5328
75	12	17	2017-09-30	37623	11918
77	12	17	2017-09-30	1197	3500
78	12	17	2017-09-30	30901	11513
80	12	17	2017-09-30	2128	3675
88	12	17	2017-09-30	30221	16150
92	12	17	2017-09-30	3637	1893
93	12	17	2017-09-30	10563	4235
97	12	17	2017-09-30	1401	665
99	12	17	2017-09-30	5895	0
106	12	17	2017-09-30	1917	1917
108	12	17	2017-09-30	6893	4287
5	12	16	2017-09-30	2870	2870
6	12	16	2017-09-30	11928	11928
7	12	16	2017-09-30	68875	28440
11	12	16	2017-09-30	2221	2221
16	12	16	2017-09-30	37292	15307
17	12	16	2017-09-30	1111	1111
19	12	16	2017-09-30	2806	2513
23	12	16	2017-09-30	6243	6243
26	12	16	2017-09-30	28256	13964
28	12	16	2017-09-30	8032	8032
30	12	16	2017-09-30	44418	17755
32	12	16	2017-09-30	157	157
33	12	16	2017-09-30	4702	4702
35	12	16	2017-09-30	670	351
36	12	16	2017-09-30	5156	1052
38	12	16	2017-09-30	1656	1656
41	12	16	2017-09-30	46974	24576
42	12	16	2017-09-30	14054	11271
45	12	16	2017-09-30	2901	2901
47	12	16	2017-09-30	96375	49007
48	12	16	2017-09-30	45085	43137
51	12	16	2017-09-30	2901	2901
52	12	16	2017-09-30	111320	45920
55	12	16	2017-09-30	13133	6566
58	12	16	2017-09-30	16684	12813
62	12	16	2017-09-30	309550	209437
