"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"474","1","LCS13 CHIT  ","179","0","          ","241","2","6","624","624","900","900","66","265263","    L9900-V00001","10","VEN-SW-PROVIDE INDUSTRIAL     ","890","100","0.00","80.00","0.00","80.00","72.25","0.00","0.00","0.00","0.00","72.25","0.00","1.11","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","179 Total","","","","","","","","","","","","","","","","","0.00","80.00","0.00","80.00","72.25","0.00","0.00","0.00","0.00","72.25","","","","","",""
"474","1","LCS13 CHIT  ","253","0","          ","243","2","6","624","624","S    ","S00   ","126","271051","    L9900-V00003","10","VEN-SW-THRUST BEARING OPEN &  ","890","100","0.00","800.00","0.00","800.00","220.00","0.00","0.00","0.00","0.00","220.00","0.00","3.64","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","253 Total","","","","","","","","","","","","","","","","","0.00","800.00","0.00","800.00","220.00","0.00","0.00","0.00","0.00","220.00","","","","","",""
"474","1","LCS13 CHIT  ","254","0","          ","243","2","6","624","624","S    ","S00   ","126","271050","    L9900-V00002","10","VEN-SW-REPAIR & CLEANING OF   ","890","100","0.00","400.00","0.00","400.00","152.00","0.00","0.00","0.00","0.00","152.00","0.00","2.63","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","254 Total","","","","","","","","","","","","","","","","","0.00","400.00","0.00","400.00","152.00","0.00","0.00","0.00","0.00","152.00","","","","","",""
"474","1","LCS13 CHIT  ","256","0","NO LABOR  ","262","2","6","623","623","S    ","S00   ","999","279562","    L9900-V00005","10","VEN-SW-262 PERMANENT FIX 623  ","890","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"474","1","LCS13 CHIT  ","256","0","          ","262","2","6","623","621","S    ","S00   ","44","271962","    L9900-V00006","10","VEN-SW-262 PERMANENT FIX 621  ","890","100","0.00","262.00","0.00","262.00","551.78","0.00","0.00","0.00","0.00","551.78","0.00","0.47","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"474","1","LCS13 CHIT  ","256","0","          ","262","2","6","623","624","S    ","S00   ","126","","    L9900-V00007","10","VEN-SW-262 PERMANENT FIX 624  ","890","0","0.00","24.00","0.00","0.00","0.00","24.00","0.00","0.00","0.00","24.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"474","1","LCS13 CHIT  ","256","0","          ","262","2","6","623","626","S    ","S00   ","126","","    L9900-V00008","10","VEN-SW-262 PERMANENT FIX 626  ","890","0","0.00","80.00","0.00","0.00","0.00","80.00","0.00","0.00","0.00","80.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
