"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"481","1","            ","            ","QBB","          ","992","9","11","600","647","S    ","S00   ","111","282563","    S0000-992077","10","2016-LOE TEMP SERVICE         ","20","100","896.00","896.00","896.00","896.00","69.00","0.00","0.00","0.00","0.00","69.00","12.99","12.99","6/27/2016","12/23/2016","6/27/2016","12/23/2016","    S0000-992077-10","69","0","0.00","69.00","0.00"
"481","1","            ","            ","QBD","          ","992","9","11","600","621","S    ","S00   ","111","287206","    S0000-992097","10","2017-LOE TEMP SERVICE         ","20","14.09","12296.00","12296.00","1732.51","1732.51","24.00","8278.00","0.00","0.00","0.00","8302.00","72.19","72.19","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    S0000-992097-10","24","0","8466.00","8490.00","-188.00"
"481","1","            ","            ","888","          ","0","0","20","600","600","S    ","S00   ","0","","    L6000-000000","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000000-600","0","0","0.00","0.00","0.00"
"481","1","            ","            ","LSF","          ","0","9","8","600","600","S    ","S00   ","0","","    L6000-000LSF","600","BUDGET FOR MFG                ","83","0","2625.00","2625.00","0.00","0.00","0.00","2625.00","0.00","0.00","0.00","2625.00","","","8/23/2018","9/20/2018","8/23/2018","9/24/2018","    L6000-000LSF-600","0","0","2625.00","2625.00","0.00"
"481","1","            ","            ","PCV","          ","0","9","8","600","600","S    ","S00   ","0","","    L6000-000PCV","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000PCV-600","0","0","0.00","0.00","0.00"
"481","1","            ","            ","PCW","          ","0","9","8","600","600","S    ","S00   ","0","","    L6000-000PCW","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000PCW-600","0","0","0.00","0.00","0.00"
"481","1","            ","            ","QBB","          ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBB","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","6/27/2016","12/23/2016","6/27/2016","12/23/2016","    L6000-000QBB-600","0","0","0.00","0.00","0.00"
"481","1","            ","            ","QBD","          ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBD","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6000-000QBD-600","0","0","0.00","0.00","0.00"
"481","1","            ","            ","QBH","          ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBH","600","BUDGET FOR MFG                ","83","0","16984.00","16984.00","0.00","0.00","0.00","16984.00","0.00","0.00","0.00","16984.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6000-000QBH-600","0","0","16984.00","16984.00","0.00"
"481","1","            ","            ","QBM","          ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBM","600","BUDGET FOR MFG                ","83","0","10740.00","10740.00","0.00","0.00","0.00","13328.00","0.00","0.00","0.00","13328.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L6000-000QBM-600","0","0","13328.00","13328.00","0.00"
