"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"469","1","            ","            ","W6G","          ","34","2","13","180","180","900","900","0","937408","    L1800-000006","10","Q3-2013 SECURITY              ","1531","100","251.00","251.00","251.00","251.00","256.75","0.00","0.00","0.00","0.00","256.75","0.978 ","0.978 ","7/1/2013","9/30/2013","7/1/2013","9/27/2013","    L1800-000006-10","256.75","0","0","256.75","0.00 "
"469","1","            ","            ","WQC","          ","34","2","13","180","180","900","900","0","933063","    L1800-000002","10","Q3-2012 SECURITY              ","1531","100","162.00","162.00","162.00","162.00","164.79","0.00","0.00","0.00","0.00","164.79","0.983 ","0.983 ","7/27/2012","9/28/2012","7/27/2012","9/28/2012","    L1800-000002-10","164.79","0","0","164.79","0.00 "
"469","1","            ","            ","W6D","          ","34","2","13","180","180","900","900","0","933754","    L1800-000003","10","Q4-2012 SECURITY              ","1531","100","212.00","212.00","212.00","212.00","211.97","0.00","0.00","0.00","0.00","211.97","1.000 ","1.000 ","10/1/2012","12/21/2012","10/1/2012","12/21/2012","    L1800-000003-10","211.97","0","0","211.97","0.00 "
"469","1","            ","            ","4C7","          ","34","2","13","180","180","900","900","0","937410","    L1800-000008","10","Q1-2014 SECURITY              ","1531","100","251.00","251.00","251.00","251.00","248.19","0.00","0.00","0.00","0.00","248.19","1.011 ","1.011 ","1/2/2014","3/28/2014","1/2/2014","3/28/2014","    L1800-000008-10","248.19","0","0","248.19","0.00 "
"469","1","            ","            ","W6J","          ","34","2","13","180","180","900","900","0","937411","    L1800-000009","10","Q2-2014 SECURITY              ","1531","100","251.00","251.00","251.00","251.00","243.11","0.00","0.00","0.00","0.00","243.11","1.032 ","1.032 ","3/31/2014","6/27/2014","3/31/2014","6/27/2014","    L1800-000009-10","243.11","0","0","243.11","0.00 "
"469","1","            ","            ","W6H","          ","34","2","13","180","180","900","900","0","937409","    L1800-000007","10","Q4-2013 SECURITY              ","1531","100","251.00","251.00","251.00","251.00","241.52","0.00","0.00","0.00","0.00","241.52","1.039 ","1.039 ","10/1/2013","12/23/2013","9/30/2013","12/23/2013","    L1800-000007-10","241.52","0","0","241.52","0.00 "
"469","1","            ","            ","W6E","          ","34","2","13","180","180","900","900","0","934606","    L1800-000004","10","Q1-2013 SECURITY              ","1531","100","251.00","251.00","251.00","251.00","224.90","0.00","0.00","0.00","0.00","224.90","1.116 ","1.116 ","1/2/2013","3/29/2013","1/2/2013","3/29/2013","    L1800-000004-10","224.9","0","0","224.9","0.00 "
"469","1","            ","            ","W6F","          ","34","2","13","180","180","900","900","0","936012","    L1800-000005","10","Q2-2013 SECURITY              ","1531","100","251.00","251.00","251.00","251.00","216.60","0.00","0.00","0.00","0.00","216.60","1.159 ","1.159 ","4/1/2013","6/28/2013","4/1/2013","6/28/2013","    L1800-000005-10","216.6","0","0","216.6","0.00 "
"469","1","            ","            ","WQB","          ","34","2","13","180","180","900","900","0","933062","    L1800-000001","10","Q2-2012 SECURITY              ","1531","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","5/29/2012","2/25/2013","5/29/2012","7/26/2012","    L1800-000001-10","0","0","0","0","0.00 "
"469","1","            ","            ","888","          ","34","2","13","180","180","900","900","0","937412","    L1800-000010","10","Q3-2014 SECURITY              ","1531","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L1800-000010-10","0","0","0","0","0.00 "
