"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","1st Actual Charged Date","Completion Date"
"479","1","            ","            ","EHG","          ","321","3","6","626","626","S    ","S00   ","161","288327","    S0000-321004","10","SW ELEC TEMPLATE MATL ONLY    ","41","100","0","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","","","12/11/17","02/02/18","01/09/18","04/09/18","1/1/1753","02/03/17"
"479","1","            ","            ","DEA","          ","505","5","2","62H","621","S2L  ","S2LE1 ","116","287833","    S2L00-505004","10","S2LE1 INST 505 RCH ROD H/W    ","18","100","12","19.00 ","12.00 ","19.00 ","18.00 ","0.00 ","0.00 ","0.00 ","0.00 ","18.00 ","0.667 ","1.056 ","01/03/17","03/07/17","01/31/17","05/16/17","02/01/17","02/06/17"
"479","1","            ","            ","CXH","          ","110","1","2","621","621","F2U  ","F2UD1 ","79","286280","    F2U00-110039","10","F2UD1 CONSTRUCT WELD BS 2     ","9","100","88","98.00 ","88.00 ","98.00 ","153.00 ","0.00 ","0.00 ","0.00 ","0.00 ","153.00 ","0.575 ","0.641 ","01/09/17","02/06/17","01/09/17","02/20/17","01/17/17","02/06/17"
"479","1","            ","            ","CXH","          ","110","1","2","621","621","F2U  ","F2UD1 ","79","286282","    F2U00-110041","10","F2UD1 CONSTRUCT WELD BS 3     ","9","100","176","142.00 ","176.00 ","142.00 ","214.00 ","0.00 ","0.00 ","0.00 ","0.00 ","214.00 ","0.822 ","0.664 ","01/09/17","02/06/17","01/09/17","02/20/17","01/27/17","02/06/17"
"479","1","            ","            ","CXT","          ","505","5","2","62H","621","F2U  ","F2UD1 ","116","284892","    F2U00-505001","10","F2UD1 INST 505 RCH ROD HTWK   ","18","100","33","19.00 ","33.00 ","19.00 ","4.00 ","0.00 ","0.00 ","0.00 ","0.00 ","4.00 ","8.250 ","4.750 ","01/09/17","02/06/17","03/24/17","05/03/17","02/03/17","02/06/17"
"479","1","            ","            ","AZB","          ","192","1","2","TST","621","F2L  ","F2L   ","79","286918","    F2L00-192001","10","2C192C401/02 F2L TEST SOC 2   ","8","100","104","99.00 ","104.00 ","99.00 ","151.50 ","0.00 ","0.00 ","0.00 ","0.00 ","151.50 ","0.686 ","0.653 ","09/13/16","09/22/16","12/12/16","03/16/17","12/15/16","02/06/17"
"479","1","            ","            ","BSJ","          ","992","9","2","62S","621","A1L  ","A1LS1 ","111","284989","    A1LS1-992001","10","A1LS1 ROLL MODULE             ","19","100","10","10.00 ","10.00 ","10.00 ","8.00 ","0.00 ","0.00 ","0.00 ","0.00 ","8.00 ","1.250 ","1.250 ","01/03/17","01/03/17","02/06/17","02/06/17","01/30/17","02/06/17"
"479","1","            ","            ","CYL","          ","512","5","2","62H","621","F2U  ","F2UD2 ","116","282357","    F2U00-512003","10","F2UD2 INSTL 512 HTWK -INVERTED","18","100","412","418.00 ","412.00 ","418.00 ","263.87 ","0.00 ","0.00 ","0.00 ","0.00 ","263.87 ","1.561 ","1.584 ","06/15/16","08/04/16","10/28/16","05/03/17","10/24/16","02/06/17"
"479","1","            ","            ","BUY","          ","110","1","1","621","621","A2DD1","A2DD1 ","2","286302","    A2DD1-110013","10","A2DD1 MAJ ASSEMBLY N1         ","4","100","17","20.00 ","17.00 ","20.00 ","20.50 ","0.00 ","0.00 ","0.00 ","0.00 ","20.50 ","0.829 ","0.976 ","01/19/17","02/01/17","01/16/17","02/01/17","01/27/17","02/06/17"
"479","1","            ","            ","ARC","106246","500","5","2","623","623","E2L  ","E2LS2 ","155","286652","    L9900-X00070","10","106246 21E2LS2 ECN 028 GRP 500","16","100","0","28.00 ","0.00 ","28.00 ","47.00 ","0.00 ","0.00 ","0.00 ","0.00 ","47.00 ","0.000 ","0.596 ","05/16/16","07/01/16","09/20/16","02/15/17","01/09/17","02/06/17"
"479","1","            ","            ","BSZ","          ","992","9","2","62S","621","A1L  ","A1LS2 ","111","284990","    A1LS2-992001","10","A1LS2 ROLL MODULE             ","19","100","10","10.00 ","10.00 ","10.00 ","8.00 ","0.00 ","0.00 ","0.00 ","0.00 ","8.00 ","1.250 ","1.250 ","01/03/17","01/03/17","02/20/17","02/20/17","01/30/17","02/06/17"
"479","1","            ","            ","CWZ","          ","500","5","2","623","623","F2L  ","F2LD1 ","29","282661","    F2L00-500006","10","F2LD1 INST GRP 500 IN SOC 2.1 ","16","100","64","82.00 ","64.00 ","82.00 ","135.50 ","0.00 ","0.00 ","0.00 ","0.00 ","135.50 ","0.472 ","0.605 ","05/09/16","06/13/16","09/26/16","03/16/17","09/26/16","02/06/17"
"479","1","            ","            ","BXU","          ","110","1","2","621","621","A2L  ","A2LS2 ","79","286234","    A2L00-110024","10","A2LS2 CONSTRUCT WELD BS 2     ","9","100","126","121.00 ","126.00 ","121.00 ","104.50 ","0.00 ","0.00 ","0.00 ","0.00 ","104.50 ","1.206 ","1.158 ","01/03/17","02/09/17","01/16/17","02/13/17","01/27/17","02/06/17"
"479","1","            ","            ","DEL","          ","512","5","2","62H","621","S2L  ","S2LE2 ","116","284017","    S2L00-512003","10","S2LE2 INSTL 512 HTWRK         ","18","100","22","22.00 ","22.00 ","22.00 ","19.00 ","0.00 ","0.00 ","0.00 ","0.00 ","19.00 ","1.158 ","1.158 ","01/03/17","03/07/17","01/16/17","05/16/17","01/23/17","02/06/17"
"479","1","            ","            ","DEZ","          ","611","6","1","621","621","S2U  ","S2UD1 ","2","286746","    S2U00-611001","10","S2UD1 INST 611 TIE DOWN SKT P1","4","100","56","88.00 ","56.00 ","88.00 ","82.00 ","0.00 ","0.00 ","0.00 ","0.00 ","82.00 ","0.683 ","1.073 ","06/22/16","07/26/16","01/06/17","02/24/17","01/27/17","02/06/17"
