"","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","Name","PO","Line","Unit Price","Order Qty","Delivered Qty","Committed Qty","Commit Amnt","Delv.date","Acct /Proj /Dept","CLIN","Effort","ECP/REA"
"PROJECT:","487","","","","","","","","","","","","","","","","","","",""
"SWBS :","42"," 042M - GENERAL","ADMINISTRATIVE","","","","","","","","","","","","","","","","",""
"487","42","    042-01-00004","LEASE, MCABI BUILDING   ","RENTAL    ","                  ","   ","108429","MARINETTE CO","557845","5","16343.42","3","0","3","49030.26","12/31/2020","       /    /    ","            ","            ",""
"487","42","    042-01-00006","INTERNET SERVICE, MCABI ","SERVICE   ","                  ","   ","104850","SPECTRUM    ","557972","5","1","2500","0","2500","2500","12/31/2020","       /    /    ","            ","            ",""
"487","42","    042-01-00011","RENTAL, RUG CLEANING, MC","SERVICE   ","RUG               ","   ","107592","ITU ABSORBTE","558005","5","1","200","0","200","200","12/31/2020","       /    /    ","            ","            ",""
"487","42","    042-01-00012","PAPER SHREDDING SERVICE,","SERVICE   ","                  ","   ","103889","COUNTRY MILE","558006","5","1","750","0","750","750","12/31/2020","       /    /    ","            ","            ",""
"487","42","    042-01-00017","MCABI, CLEANING SERVICE ","SERVICE   ","CLEANING          ","   ","108296","ISS FACILITY","558028","9","1","4800","0","4800","4800","01/31/2021","       /    /    ","            ","            ",""
"487","42","    042-01-00018","MCABI, CLEANING SUPPLIES","SERVICE   ","CLEANING          ","   ","108296","ISS FACILITY","558028","10","1","3000","0","3000","3000","01/31/2021","       /    /    ","            ","            ",""
"      ","    ","                ","                        ","          ","                  ","   ","      ","            ","   Total","for","SWBS     ","042    :    60280.26","","","","","","","",""
"SWBS :","110"," 110M - HULL STEEL","GENERAL","","","","","","","","","","","","","","","","",""
"487","110","    11-13M055T40","PLATE, 5.5MM X 96"" X 40'","PLATE     ","                  ","   ","105550","LEECO STEEL ","766136","1","1386.58","14","14","14","19412.12","11/29/2017","       /    /    ","            ","            ",""
"487","110","    11-13M070T40","PLATE, 7MM X 96"" X 40', ","PLATE     ","                  ","   ","105550","LEECO STEEL ","766136","2","1728.72","7","7","7","12101.04","11/29/2017","       /    /    ","            ","            ",""
"487","110","    11-13M075T40","PLATE, 7.5MM X 96"" X 40'","PLATE     ","                  ","   ","105550","LEECO STEEL ","766136","3","1775.03","10","10","10","17750.3","11/29/2017","       /    /    ","            ","            ",""
"487","110","    11-13M080T40","PLATE, 8MM X 96"" X 40', ","PLATE     ","                  ","   ","105550","LEECO STEEL ","766136","4","1944.81","7","0","7","13613.67","11/29/2017","       /    /    ","            ","            ",""
"487","110","    11-15M120T40","PLATE, 12MM X 96"" X 40',","PLATE     ","                  ","   ","105550","LEECO STEEL ","766136","5","3195.04","3","3","3","9585.12","11/29/2017","       /    /    ","            ","            ",""
"487","110","    11-15M145T40","PLATE, 14.5MM X 8' X 40'","PLATE     ","LOW SULFUR        ","   ","105550","LEECO STEEL ","766136","6","3860.67","2","2","2","7721.34","11/29/2017","       /    /    ","            ","            ",""
"487","110","    11-15M080T40","PLATE, 8MM X 96"" X 40', ","PLATE     ","LOW SULFUR        ","   ","105550","LEECO STEEL ","766136","7","2212.35","4","4","4","8849.4","01/10/2018","       /    /    ","            ","            ",""
"487","110","    11-15M090T40","PLATE, 9MM X 96"" X 40', ","PLATE     ","LOW SULFUR        ","   ","105550","LEECO STEEL ","766136","8","2488.89","1","1","1","2488.89","01/10/2018","       /    /    ","            ","            ",""
"487","110","    11-13M075T40","PLATE, 7.5MM X 96"" X 40'","PLATE     ","                  ","   ","105550","LEECO STEEL ","766136","9","1771.28","5","0","5","8856.4","01/10/2018","       /    /    ","            ","            ",""
"487","110","    11-13M050T40","PLATE, 5MM X 96"" X 40', ","PLATE     ","                  ","   ","105550","LEECO STEEL ","766136","10","1206.27","1","0","1","1206.27","01/10/2018","       /    /    ","            ","            ",""
"487","110","    11-13M120T40","PLATE, 12MM X 96"" X 40',","PLATE     ","                  ","   ","105550","LEECO STEEL ","766136","11","2917.21","4","4","4","11668.84","01/23/2018","       /    /    ","            ","            ",""
"487","110","    11-15M090T40","PLATE, 9MM X 96"" X 40', ","PLATE     ","LOW SULFUR        ","   ","105550","LEECO STEEL ","766136","12","2488.89","2","2","2","4977.78","01/23/2018","       /    /    ","            ","            ",""
"487","110","    11-15M100T40","PLATE, 10MM X 8' X 40', ","PLATE     ","LOW SULFUR        ","   ","105550","LEECO STEEL ","766136","13","2662.54","4","4","4","10650.16","01/23/2018","       /    /    ","            ","            ",""
"487","110","    11-15M070T40","PLATE, 7MM X 96"" X 40', ","PLATE     ","LOW SULFUR        ","   ","105550","LEECO STEEL ","766136","14","1617.07","2","2","2","3234.14","02/06/2018","       /    /    ","            ","            ",""
"487","110","   13-1620200320","ANGLE, 2"" X 2"" X 3/16"" X","ANGLE     ","                  ","   ","104757","METALS USA  ","766178","1","38.53","134","0","134","5163.02","02/15/2018","       /    /    ","            ","            ",""
"487","110","   13-1630200420","ANGLE, 3"" X 2"" X 1/4"" X ","ANGLE     ","                  ","   ","104757","METALS USA  ","766178","2","69.66","39","0","39","2716.74","02/15/2018","       /    /    ","            ","            ",""
"487","110","   13-1630300420","ANGLE, 3"" X 3"" X 1/4"" X ","ANGLE     ","                  ","   ","104757","METALS USA  ","766178","3","77.37","69","0","69","5338.53","02/15/2018","       /    /    ","            ","            ",""
"487","110","   13-1650300420","ANGLE, 5"" X 3"" X 1/4"" X ","ANGLE     ","                  ","   ","104757","METALS USA  ","766178","4","165.63","5","0","5","828.15","02/15/2018","       /    /    ","            ","            ",""
"487","110","    110-00-00087","FLATBAR, 5"" X 3/4"" X 20'","BAR       ","FLAT              ","   ","104757","METALS USA  ","766182","1","201.32","1","0","1","201.32","02/15/2018","       /    /    ","            ","            ",""
"487","110","   12-16E0402520","BAR, FLAT, 2-1/2"" X 1/4""","BAR       ","FLAT              ","   ","104757","METALS USA  ","766182","2","32.91","301","0","301","9905.91","02/15/2018","       /    /    ","            ","            ",""
"487","110","   12-16E0805020","FLAT BAR, 5"" X 1/2"" X 20","BAR       ","FLAT              ","   ","104757","METALS USA  ","766182","3","134.22","2","0","2","268.44","02/15/2018","       /    /    ","            ","            ",""
"487","110","   13-1620200420","ANGLE, 2"" X 2"" X 1/4"" X ","ANGLE     ","                  ","   ","104757","METALS USA  ","766182","4","50.38","52","0","52","2619.76","02/15/2018","       /    /    ","            ","            ",""
"487","110","   13-1630200320","ANGLE, 3"" X 2"" X 3/16"" X","ANGLE     ","                  ","   ","104757","METALS USA  ","766182","5","48.47","46","0","46","2229.62","02/15/2018","       /    /    ","            ","            ",""
"487","110","   13-1640400820","ANGLE, 4"" X 4"" X 1/2"" X ","ANGLE     ","                  ","   ","104757","METALS USA  ","766182","6","240","13","0","13","3120","02/15/2018","       /    /    ","            ","            ",""
"487","110","   14-120C040520","CHANNEL, 4"" X 5.4# X 20'","CHANNEL   ","                  ","   ","104757","METALS USA  ","766182","7","50.4","1","0","1","50.4","02/15/2018","       /    /    ","            ","            ",""
"487","110","   13-4220200420","ANGLE, 2"" X 2"" X 1/4"" X ","ANGLE     ","                  ","   ","33670","RYERSON     ","766207","1","162","3","0","3","486","03/05/2018","       /    /    ","            ","            ",""
"487","110","   14-12MC061220","CHANNEL, 6"" X 12.0# X 20","CHANNEL   ","MC SHAPE          ","   ","33670","RYERSON     ","766207","2","180","1","0","1","180","03/05/2018","       /    /    ","            ","            ",""
"487","110","   13-3350300625","ANGLE, 5"" X 3"" X 3/8"" X ","ANGLE     ","                  ","   ","58214","PIERCE ALUMI","921837","6","530.22","1","1","1","530.22","02/21/2018","       /    /    ","            ","            ",""
"      ","    ","                ","                        ","          ","                  ","   ","      ","            ","   Total","for","SWBS     ","110    :   165753.58","","","","","","","",""
"SWBS :","150"," 150M - SUPERSTRUCTURES&DECKHSE","","","","","","","","","","","","","","","","","",""
"487","150","    150-00-00011","PLATE, CRES 2205, 2' X 3","PLATE     ","                  ","   ","33670","RYERSON     ","766207","3","221","3","0","3","663","03/05/2018","       /    /    ","            ","            ",""
"487","150","    150-00-00029","PLATE, 3'X4', 61.2#, CRE","PLATE     ","                  ","   ","33670","RYERSON     ","766207","4","2585","2","0","2","5170","03/05/2018","       /    /    ","            ","            ",""
