"","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Committed Qty","Commit Amnt","Delv.date","Acct /Proj /Dept","CLIN","Effort","ECP/REA"
"485","002","HPR-0002046-01","WELD, LUG, HATCH STAY         ","LUG       ","WELD              ","   ","108207","970393","6","573.65","1","0","1","573.65","07/11/2017","       /    /    ","            ","            ",""
"485","041","041-01-00001","CONFIGURATION MGMT-CDMD-OA-FFP","SERVICE   ","MANAGEMENT        ","   ","108171","751316","1","1","268946.39","0","268946.39","268946.39","11/30/2020","       /    /    ","            ","            ",""
"485","086","086-01-00003","SHIP INFORMATION BOOK         ","BOOK      ","INFORMATION       ","   ","100503","751304","1","1","75296","941.2","75296","75296","08/10/2020","       /    /    ","            ","            ",""
"485","086","086-01-00004","DAMAGE CONTROL BOOK           ","BOOK      ","CONTROL           ","   ","100503","751304","2","1","17775","0","17775","17775","08/10/2020","       /    /    ","            ","            ",""
"485","086","086-01-00005","DAMAGE CONTROL DIAGRAMS VALID ","DIAGRAM   ","CONTROL           ","   ","100503","751304","3","1","43385","0","43385","43385","08/10/2020","       /    /    ","            ","            ",""
"485","086","086-01-00006","BOAT HANDLING AND STORAGE (BHS","MANUAL    ","STORAGE           ","   ","100503","751304","4","1","4390","400.37","4390","4390","08/10/2020","       /    /    ","            ","            ",""
"485","086","086-01-00010","OFFBOARD ORGANIC VEHICLE (OOV)","SERVICE   ","SUPPORT           ","   ","100503","751304","5","1","19624","247.26","19624","19624","08/10/2020","       /    /    ","            ","            ",""
"485","086","086-01-00011","UNDERWAY REPLENISHMENT AND CAR","UNDERWAY  ","REPLENISHMENT     ","   ","100503","751304","6","1","4390","0","4390","4390","08/10/2020","       /    /    ","            ","            ",""
"485","086","086-01-00012","TECHNICAL REPAIR STANDARDS    ","STANDARD  ","REPAIR            ","   ","100503","751304","7","1","21316","0","21316","21316","08/10/2020","       /    /    ","            ","            ",""
"485","086","086-01-00013","POLLUTION ABATEMENT MANUAL    ","MANUAL    ","POLLUTION         ","   ","100503","751304","8","1","4390","0","4390","4390","08/10/2020","       /    /    ","            ","            ",""
