"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort"
"4002","PUR   36596","7","583-03-00001-P01","PROGRESS PAYMENT              ","950039","15","SCAN PACIFIC","1"," EA ","15,695.00","04/07/2016","15,695.00","            ",""
"4002","PUR   37942","49","  HPR-0001403-01","DIAMOND TREAD PLATE, ALUMINUM ","786864","1","PIERCE ALUMI","1"," EA ","892.3","03/01/2017","892.3","            ",""
"4002","INV   26711","4","  HPR-0001403-01","DIAMOND TREAD PLATE, ALUMINUM ","449973","    ","            ","1"," EA ","-623","03/03/2017","-623","            ",""
"4002","           ","     "," Project 0483   ","                     Total:   ","      ","    ","            ","            ","    ","15,964.30","          ","15,964.30","",""
"4008","API  321054","8","                ","                              ","930198","    ","GRAINGER    ","            "," EA ","19.15","09/29/2015","19.15","            ",""
"4008","AMI  147496","13","                ","                              ","      ","    ","UPS         ","            "," EA ","7.25","10/28/2015","7.25","            ",""
"4008","API  323720","8","                ","                              ","798747","    ","PROGRESSIVE ","            "," EA ","138.09","11/10/2015","138.09","            ",""
"4008","AMI  148515","3","                ","                              ","      ","    ","WESTY'S TRUC","            "," EA ","225","12/21/2015","225","            ",""
"4008","API  326724","5","                ","                              ","798888","    ","APPLIED INDU","            "," EA ","24.26","12/30/2015","24.26","            ",""
"4008","AMI  149014","17","                ","                              ","      ","    ","TRANS INTERN","            "," EA ","172.04","01/28/2016","172.04","            ",""
"4008","AMI  149255","9","                ","                              ","      ","    ","TRANS INTERN","            "," EA ","125.17","02/11/2016","125.17","            ",""
"4008","API  328382","2","                ","                              ","540276","    ","STEEL DYNAMI","            "," EA ","53.1","02/03/2016","53.1","            ",""
"4008","API  328383","2","                ","                              ","540276","    ","STEEL DYNAMI","            "," EA ","213.32","02/03/2016","213.32","            ",""
"4008","API  328385","2","                ","                              ","540276","    ","STEEL DYNAMI","            "," EA ","66.98","02/03/2016","66.98","            ",""
"4008","API  328387","2","                ","                              ","540276","    ","STEEL DYNAMI","            "," EA ","125.84","02/03/2016","125.84","            ",""
"4008","API  328389","4","                ","                              ","540276","    ","STEEL DYNAMI","            "," EA ","192.98","02/03/2016","192.98","            ",""
"4008","API  329552","3","                ","                              ","540257","    ","ARCELORMITTA","            "," EA ","149.54","02/23/2016","149.54","            ",""
"4008","API  329553","3","                ","                              ","540257","    ","ARCELORMITTA","            "," EA ","150","02/23/2016","150","            ",""
