"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort","ECP/REA"
"4008","API  348436","8","                ","                              ","510182","    ","BADGER SHEET","            ","    ","139.2","04/26/2017","139.2","            ","            ",""
"4008","AMI  155248","11","                ","                              ","      ","    ","TRANS INTERN","            ","    ","622.3","05/11/2017","622.3","            ","            ",""
"4008","AMI  155823","13","                ","                              ","      ","    ","TRANS INTERN","            ","    ","107.61","06/29/2017","107.61","            ","            ",""
"4008","API  350355","6","                ","                              ","687650","    ","APPLIED INDU","            ","    ","38.78","06/12/2017","38.78","            ","            ",""
"4008","AMI  155994","10","                ","                              ","      ","    ","TRANS INTERN","            ","    ","2,679.97","07/13/2017","2,679.97","            ","            ",""
"4008","API  352115","17","                ","                              ","691824","    ","FASTENAL COM","            ","    ","13.65","07/06/2017","13.65","            ","            ",""
"4008","API  353075","4","                ","                              ","787201","    ","APPLIED INDU","            ","    ","43.18","07/27/2017","43.18","            ","            ","CF 2232-S1"
"4008","AMI  156214","14","                ","                              ","      ","    ","TRANS INTERN","            ","    ","107.02","08/01/2017","107.02","            ","            ",""
"4008","AMI  156259","10","                ","                              ","      ","    ","TRANS INTERN","            ","    ","107.61","08/04/2017","107.61","            ","            ",""
"4008","AMI  156320","12","                ","                              ","      ","    ","TRANS INTERN","            ","    ","631.96","08/10/2017","631.96","            ","            ",""
"4008","AMI  156410","8","                ","                              ","      ","    ","TRANS INTERN","            ","    ","217.04","08/18/2017","217.04","            ","            ",""
"4008","AMI  156513","10","                ","                              ","      ","    ","TRANS INTERN","            ","    ","712","08/25/2017","712","            ","            ",""
"4008","API  353499","4","                ","                              ","787264","    ","APPLIED INDU","            ","    ","33.95","08/01/2017","33.95","            ","            ",""
"4008","API  353674","7","                ","                              ","787244","    ","APPLIED INDU","            ","    ","59.1","08/07/2017","59.1","            ","            ",""
"4008","API  354383","3","                ","                              ","691857","    ","FASTENAL COM","            ","    ","160.38","08/21/2017","160.38","            ","            ",""
"4008","API  354594","4","                ","                              ","787244","    ","APPLIED INDU","            ","    ","13.71","08/23/2017","13.71","            ","            ",""
"4008","API  354613","2","                ","                              ","787224","    ","APPLIED INDU","            ","    ","57.85","08/24/2017","57.85","            ","            ",""
"4008","API  354869","5","                ","                              ","787276","    ","APPLIED INDU","            ","    ","36.26","08/29/2017","36.26","            ","            ",""
"4008","AMI  156606","16","                ","                              ","      ","    ","TRANS INTERN","            ","    ","1,275.76","09/05/2017","1,275.76","            ","            ",""
"4008","AMI  156834","13","                ","                              ","      ","    ","TRANS INTERN","            ","    ","1,619.81","09/21/2017","1,619.81","            ","            ",""
"4008","AMI  156942","6","                ","                              ","      ","    ","TRANS INTERN","            ","    ","1,200.00","09/29/2017","1,200.00","            ","            ",""
"4008","AMI  157037","11","                ","                              ","      ","    ","TRANS INTERN","            ","    ","114.76","10/06/2017","114.76","            ","            ",""
"4008","AMI  157113","14","                ","                              ","      ","    ","TRANS INTERN","            ","    ","1,010.68","10/12/2017","1,010.68","            ","            ",""
"4008","AMI  157142","1","                ","                              ","      ","    ","PLUTCHAK FAB","            ","    ","822.25","10/16/2017","822.25","            ","            ",""
"4008","API  356255","10","                ","                              ","921635","    ","MCMASTER CAR","            ","    ","528.77","10/02/2017","528.77","            ","            ",""
"4008","API  356344","4","                ","                              ","787284","    ","APPLIED INDU","            ","    ","28.31","10/03/2017","28.31","            ","            ",""
"4008","API  357148","7","                ","                              ","766127","    ","ALRO STEEL C","            ","    ","8","10/23/2017","8","            ","            ",""
"4008","API  357245","8","                ","                              ","787354","    ","APPLIED INDU","            ","    ","44.5","10/24/2017","44.5","            ","            ",""
"4008","API  357268","6","                ","                              ","787378","    ","STAINLESS MA","            ","    ","74","10/24/2017","74","            ","            ",""
"4008","AMI  157370","11","                ","                              ","      ","    ","TRANS INTERN","            ","    ","429.21","11/02/2017","429.21","            ","            ",""
"4008","AMI  157562","10","                ","                              ","      ","    ","TRANS INTERN","            ","    ","110.94","11/22/2017","110.94","            ","            ",""
"4008","API  357918","10","                ","                              ","921634","    ","FASTENAL COM","            ","    ","9.61","11/06/2017","9.61","            ","            ",""
"4008","API  358838","2","                ","                              ","687762","    ","ROBERT JAMES","            ","    ","55","11/27/2017","55","            ","            ",""
"4008","AMI  157719","13","                ","                              ","      ","    ","TRANS INTERN","            ","    ","1,272.87","12/07/2017","1,272.87","            ","            ",""
"4008","AMI  157733","1","                ","                              ","      ","    ","WESTY'S TRUC","            ","    ","325","12/12/2017","325","            ","            ",""
"4008","AMI  157774","5","                ","                              ","      ","    ","TRANS INTERN","            ","    ","2,230.16","12/14/2017","2,230.16","            ","            ",""
"4008","API  359821","5","                ","                              ","931197","    ","PRIME SUPPLY","            ","    ","110.48","12/19/2017","110.48","            ","            ",""
"4008","API  359876","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","295.61","12/20/2017","295.61","            ","            ",""
