"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort","ECP/REA"
"4008","API  348436","8","","                              ","510182","    ","BADGER SHEET","            "," EA ","139.2","04/26/2017","139.2","            ","            ",""
"4008","AMI  155248","11","","                              ","      ","    ","TRANS INTERN","            "," EA ","622.3","05/11/2017","622.3","            ","            ",""
"4110","INV   26288","1","13-1230300320","ANGLE, 3"" X 3"" X 3/16"" X 20', ","444539","    ","            ","2"," EA ","41.85","11/18/2016","41.85","            ","            ",""
"4110","INV   26439","1","110-00-00080","ANGLE, 1-1/2 X 1-1/2 X 3/16""  ","447471","    ","            ","32"," EA ","874.88","12/22/2016","874.88","            ","            ",""
"4110","INV   26457","3","18-420900CR01","BAR, ROUND, CRES 316, 3/4"" DIA","447548","    ","            ","1"," EA ","236.46","01/04/2017","14.19","            ","            ",""
"4110","INV   26457","3","110-00-00085","ANGLE, 1-1/4"" X 1-1/4"" X 3/16""","447472","    ","            ","5"," EA ","                ","01/04/2017","177.93","            ","            ",""
"4110","INV   26457","3","110-00-00020","FLAT BAR, STL, A-36, 1/4""X1""X ","447470","    ","            ","4"," EA ","                ","01/04/2017","44.34","            ","            ",""
"4110","INV   26507","12","11-42E050N10","PLATE, 5/16"" X 6' X 10', STAIN","447479","    ","            ","1"," EA ","6,534.81","01/19/2017","2,466.05","            ","            ",""
"4110","INV   26507","12","11-42E040T20","PLATE, 1/4"" X 96"" X 20', STAIN","447478","    ","            ","1"," EA ","                ","01/19/2017","4,068.76","            ","            ",""
"4110","INV   26508","6","12-12E0301520","BAR, FLAT, 3/16"" x 1-1/2"" x 20","447525","    ","            ","2"," EA ","159.56","01/19/2017","29.62","            ","            ",""
"4110","INV   26508","6","12-12E0303020","BAR, FLAT, 3/16"" X 3"" X 20', S","447526","    ","            ","1"," EA ","                ","01/19/2017","21.71","            ","            ",""
"4110","INV   26508","6","12-16E0402520","BAR, FLAT, 2-1/2"" X 1/4"" X 20'","447528","    ","            ","1"," EA ","                ","01/19/2017","37.51","            ","            ",""
"4110","INV   26508","6","12-12E0804020","BAR, FLAT, 4"" X 1/2""X 20', STE","447527","    ","            ","1"," EA ","                ","01/19/2017","70.72","            ","            ",""
"4110","INV   26509","4","17-6202020420","TUBE, SQUARE, 2"" X 2"" X 1/4""  ","447546","    ","            ","1"," EA ","747.06","01/19/2017","79.66","            ","            ",""
"4110","INV   26509","4","12-33E0403020","FLAT BAR 3"" WIDE, 1/4"" THK ALU","447532","    ","            ","2"," EA ","                ","01/19/2017","83.42","            ","            ",""
"4110","INV   26509","4","13-1630200420","ANGLE, 3"" X 2"" X 1/4"" X 20', S","447536","    ","            ","1"," EA ","                ","01/19/2017","68.82","            ","            ",""
"4110","INV   26509","4","13-1640300420","ANGLE, 4"" X 3"" X 1/4"" X  20', ","447538","    ","            ","3"," EA ","                ","01/19/2017","273.41","            ","            ",""
"4110","INV   26509","4","18-120200HR20","ROUND BAR, 2"" DIA, STEEL A-36 ","447547","    ","            ","1"," EA ","                ","01/19/2017","130.92","            ","            ",""
"4110","INV   26509","4","13-1630300420","ANGLE, 3"" X 3"" X 1/4"" X 20', S","447537","    ","            ","1"," EA ","                ","01/19/2017","73.39","            ","            ",""
"4110","INV   26509","4","13-1215150320","ANGLE, 1-1/2"" X 1-1/2"" X 3/16""","447535","    ","            ","2"," EA ","                ","01/19/2017","37.44","            ","            ",""
"4110","INV   26514","19","12-33E0403020","FLAT BAR 3"" WIDE, 1/4"" THK ALU","444538","    ","            ","2"," EA ","1,477.34","01/19/2017","83.35","            ","            ",""
"4110","INV   26514","19","11-42E030N12","PLATE, 3/16"" X 6' X 12', CRES ","444529","    ","            ","1"," EA ","                ","01/19/2017","1,393.99","            ","            ",""
"4110","INV   26516","15","11-42E040T20","PLATE, 1/4"" X 96"" X 20', STAIN","444530","    ","            ","1"," EA ","5,920.92","01/19/2017","5,920.92","            ","            ",""
"4110","INV   26517","12","13-1640300620","ANGLE, 4"" X 3"" X 3/8"" X 20', S","447539","    ","            ","2"," EA ","229.2","01/19/2017","229.2","            ","            ",""
"4110","INV   26552","1","13-1640300620","ANGLE, 4"" X 3"" X 3/8"" X 20', S","448422","    ","            ","1"," EA ","114.6","01/27/2017","114.6","            ","            ",""
"4110","PUR   38158","45","11-22E020K20","PLATE, 11 GAUGE X 60"" X 20', S","766006","1","RYERSON     ","11"," EA ","2,805.00","04/28/2017","2,805.00","            ","            ",""
"4150","INV   26289","3","13-3330300825","ANGLE, 3""X 3""X 1/2"" X 25', ALU","444540","    ","            ","1"," EA ","297.22","11/18/2016","297.22","            ","            ",""
"4150","INV   26290","1","150-00-00024","ANGLE, ALUM, GR 5086-H111,    ","444533","    ","            ","1"," EA ","233.83","11/18/2016","171.83","            ","            ",""
"4150","INV   26290","1","150-00-00021","ANGLE, ALUM, GR 5083, 1""X1""X1/","444532","    ","            ","1"," EA ","                ","11/18/2016","62","            ","            ",""
"4150","INV   26434","18","150-00-00030","BOLT, HEX HEAD, 3/8""-24 X 1""  ","447254","    ","            ","120"," EA ","99.6","12/22/2016","99.6","            ","            ",""
"4150","INV   26439","4","12-33E0403225","BAR, FLAT, 1/4"" X 3-3/16"" X 25","447533","    ","            ","6"," EA ","631.9","12/22/2016","631.9","            ","            ",""
"4150","INV   26457","4","12-33040060250","BAR, FLAT, 60MM X 4MM X 25', A","447549","    ","            ","14"," EA ","1,624.25","01/04/2017","1,197.00","            ","            ",""
"4150","INV   26457","4","11-33E060G08","PLATE, 3/8"" X 4' X 8', ALUMINU","447474","    ","            ","1"," EA ","                ","01/04/2017","427.25","            ","            ",""
"4150","INV   26458","6","11-35E030T20","PLATE, 3/16"" X 8' X 20', ALUMI","447475","    ","            ","1"," EA ","8,442.70","01/04/2017","1,108.55","            ","            ",""
"4150","INV   26458","6","150-01-0S207","ANGLE, AL, GR 5083-H111, ASTM ","447488","    ","            ","1"," EA ","                ","01/04/2017","103","            ","            ",""
"4150","INV   26458","6","150-00-00020","ANGLE, ALUM, GR 5086-H111,    ","447484","    ","            ","5"," EA ","                ","01/04/2017","400","            ","            ",""
"4150","INV   26458","6","150-00-00022","ANGLE, ALUM, GR 5086-H111,    ","447485","    ","            ","1"," EA ","                ","01/04/2017","46.44","            ","            ",""
"4150","INV   26458","6","150-00-00025","ANGLE, ALUM, GR 5086-H111,    ","447486","    ","            ","2"," EA ","                ","01/04/2017","260.4","            ","            ",""
"4150","INV   26458","6","150-00-00003","PLATE, ALUMINUM               ","447483","    ","            ","7"," EA ","                ","01/04/2017","4,372.17","            ","            ",""
"4150","INV   26458","6","150-00-00002","PLATE, ALUMINUM               ","447480","    ","            ","2"," EA ","                ","01/04/2017","1,908.00","            ","            ",""
"4150","INV   26458","6","150-01-00069","CHANNEL 2-1/2"" X 2"" X 1/8""    ","447487","    ","            ","5"," EA ","                ","01/04/2017","244.14","            ","            ",""
"4150","INV   26508","16","12-33E0803025","BAR, FLAT, 3"" X 1/2"" X 25', AL","447534","    ","            ","10"," EA ","1,604.69","01/19/2017","1,604.69","            ","            ",""
"4150","INV   26509","5","13-3330200425","ANGLE, 3"" X 2"" X 1/4"" X 25', A","447542","    ","            ","6"," EA ","2,786.02","01/19/2017","776.46","            ","            ",""
"4150","INV   26509","5","12-3307025420","BAR, FLAT, 7MM X 25MM X 20',  ","447529","    ","            ","60"," EA ","                ","01/19/2017","896.39","            ","            ",""
"4150","INV   26509","5","13-3320150425","ANGLE, 2"" X 1-1/2"" X 1/4 X 25'","447541","    ","            ","2"," EA ","                ","01/19/2017","178.6","            ","            ",""
"4150","INV   26509","5","13-3515150425","ANGLE, 1.5"" X 1.5"" X 0.25"" X 2","447543","    ","            ","9"," EA ","                ","01/19/2017","647.07","            ","            ",""
