"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort"
"SWBS: ","0","000M - SWBS GROUP","LEVEL               ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 000 :        ","0","","","","","",""
"473","2","  HPR-0001607-04","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","14316","510032","2","92","2","0","2","184","06/02/2017","8","         ","            ",""
"473","2","  HPR-0000813-01","SCBA STWG, MDL-12    ","STOWAGE   ","                  ","   ","104597","510152","1","741","1","0","1","741","08/14/2017","8","         ","            ",""
"473","2","  HPR-0001834-01","SCBA STWG, MDL-12    ","STOWAGE   ","                  ","   ","104597","510152","2","150","2","0","2","300","07/11/2017","8","         ","            ",""
"473","2","  HPR-0001564-01","ELECTRICAL CONTROL P ","PANEL     ","CONTROL           ","   ","103406","510177","1","305.83","1","0","1","305.83","03/27/2017","8","         ","            ",""
"473","2","  HPR-0001564-02","VANEAXIAL AND TUBEAX ","FAN       ","VANEAXIAL         ","   ","103406","510177","2","256.26","1","0","1","256.26","04/03/2017","8","         ","            ",""
"473","2","  HPR-0001777-01","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","3400","510187","6","25","4","0","4","100","07/11/2017","8","         ","            ",""
"473","2","  HPR-0001607-02","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","3400","510187","7","2550","1","0","1","2550","06/26/2017","8","         ","            ",""
"473","2","  HPR-0001711-03","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","3400","510187","8","2550","1","0","1","2550","06/26/2017","8","         ","            ",""
"473","2","  HPR-0001686-01","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","3400","510215","1","164","1","0","1","164","06/02/2017","8","         ","            ",""
"473","2","  HPR-0001686-02","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","3400","510215","2","22.46","1","0","1","22.46","06/02/2017","8","         ","            ",""
"473","2","  HPR-0001686-03","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","3400","510215","3","164","1","0","1","164","06/11/2017","8","         ","            ",""
"473","2","  HPR-0001686-04","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","3400","510215","4","22.46","1","0","1","22.46","06/11/2017","8","         ","            ",""
