"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","Name","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","ECP/REA","","","","","","","","","","",""
"485","2","  HPR-0002046-01","WELD, LUG, HATCH STA ","LUG       ","WELD              ","   ","108207","LAKE SHORE S","970393","6","573.65","1","0","1","573.65","07/11/2017","8","         ","            ","             ","","","","","","","","","","","",""
"SWBS: ","2","002M - DMR-HPR MATERIAL","ALL SB        ","          ","                  ","   ","      ","            ","    Total","for","SWBS    ","   002 :      ","573.65","","","","","","","","","","","","","","","","","","",""
"485","41","    041-01-00001","CONFIGURATION MGMT-C ","SERVICE   ","MANAGEMENT        ","   ","108171","GRYPHON TECH","751316","1","1","268946.39","0","268946.39","268946.39","11/30/2020","8","         ","            ","             ","","","","","","","","","","","",""
"SWBS: ","41","041M - CONFIGURATION","MANAGEME         ","          ","                  ","   ","      ","            ","    Total","for","SWBS    ","   041 :      268946.39","","","","","","","","","","","","","","","","","","","",""
"485","86","    086-01-00003","SHIP INFORMATION BOO ","BOOK      ","INFORMATION       ","   ","100503","CHAND LLC   ","751304","1","1","75296","941.2","74354.8","74354.8","08/10/2020","8","         ","            ","             ","","","","","","","","","","","",""
"485","86","    086-01-00004","DAMAGE CONTROL BOOK  ","BOOK      ","CONTROL           ","   ","100503","CHAND LLC   ","751304","2","1","17775","0","17775","17775","08/10/2020","8","         ","            ","             ","","","","","","","","","","","",""
"485","86","    086-01-00005","DAMAGE CONTROL DIAGR ","DIAGRAM   ","CONTROL           ","   ","100503","CHAND LLC   ","751304","3","1","43385","0","43385","43385","08/10/2020","8","         ","            ","             ","","","","","","","","","","","",""
"485","86","    086-01-00006","BOAT HANDLING AND ST ","MANUAL    ","STORAGE           ","   ","100503","CHAND LLC   ","751304","4","1","4390","400.37","3989.63","3989.63","08/10/2020","8","         ","            ","             ","","","","","","","","","","","",""
"485","86","    086-01-00010","OFFBOARD ORGANIC VEH ","SERVICE   ","SUPPORT           ","   ","100503","CHAND LLC   ","751304","5","1","19624","247.26","19376.74","19376.74","08/10/2020","8","         ","            ","             ","","","","","","","","","","","",""
"485","86","    086-01-00011","UNDERWAY REPLENISHME ","UNDERWAY  ","REPLENISHMENT     ","   ","100503","CHAND LLC   ","751304","6","1","4390","0","4390","4390","08/10/2020","8","         ","            ","             ","","","","","","","","","","","",""
"485","86","    086-01-00012","TECHNICAL REPAIR STA ","STANDARD  ","REPAIR            ","   ","100503","CHAND LLC   ","751304","7","1","21316","0","21316","21316","08/10/2020","8","         ","            ","             ","","","","","","","","","","","",""
"485","86","    086-01-00013","POLLUTION ABATEMENT  ","MANUAL    ","POLLUTION         ","   ","100503","CHAND LLC   ","751304","8","1","4390","0","4390","4390","08/10/2020","8","         ","            ","             ","","","","","","","","","","","",""
"485","86","    086-01-00015","MOTORS MANUALS       ","MANUALS   ","MOTOR             ","   ","100503","CHAND LLC   ","751304","9","1","4390","0","4390","4390","08/10/2020","8","         ","            ","             ","","","","","","","","","","","",""
"485","86","    086-01-00016","MACHINE TOOLS AND SP ","TOOL      ","EQUIPMENT         ","   ","100503","CHAND LLC   ","751304","10","1","4390","0","4390","4390","08/10/2020","8","         ","            ","             ","","","","","","","","","","","",""
"485","86","    086-01-00018","HVAC/COLLECTIVE PROT ","MANUAL    ","SYSTEM            ","   ","100503","CHAND LLC   ","751304","11","1","4390","0","4390","4390","08/10/2020","8","         ","            ","             ","","","","","","","","","","","",""
"485","86","    086-01-00021","EQUIPMENT TECHNICAL  ","          ","                  ","   ","100503","CHAND LLC   ","751304","12","1","152637","0","152637","152637","08/10/2020","8","         ","            ","             ","","","","","","","","","","","",""
"485","86","    086-25-00001","ACQUISITION MAINTENA ","          ","                  ","   ","100503","CHAND LLC   ","751321","1","1","10000","0","10000","10000","12/31/2018","8","         ","            ","             ","","","","","","","","","","","",""
"SWBS: ","86","086M - INSTRUCTION","BOOKS              ","          ","                  ","   ","      ","            ","    Total","for","SWBS    ","   086 :      364784.17","","","","","","","","","","","","","","","","","","","",""
"485","110","    11-13M040T40","PLATE, 4MM X 96"" X 4 ","PLATE     ","                  ","   ","105550","LEECO STEEL ","766016","1","1594.95","134","0","134","213723.3","09/01/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   12-16E0302520","BAR, FLAT, 2-1/2"" X  ","BAR       ","FLAT              ","   ","104757","METALS USA  ","766038","3","27.4","27","0","27","739.8","06/03/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   15-16S0601220","BEAM, 6"" X 12.5# X 2 ","BEAM      ","S SHAPE           ","   ","104757","METALS USA  ","766052","1","387.8","1","0","1","387.8","06/20/2017","8","         ","            ","             ","CF 2491-S3","","","","","","","","","","",""
"485","110","   18-120010CR20","BAR, ROUND, 5/8"" X 2 ","BAR       ","ROUND             ","   ","104757","METALS USA  ","766064","1","10.18","2","0","2","20.36","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   14-12MC061220","CHANNEL, 6"" X 12.0#  ","CHANNEL   ","MC SHAPE          ","   ","104757","METALS USA  ","766064","4","236.98","1","0","1","236.98","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1230300320","ANGLE, 3"" X 3"" X 3/1 ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","5","34.82","1","0","1","34.82","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1225200420","ANGLE, 2-1/2"" X 2"" X ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","11","106.58","1","0","1","106.58","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1620200220","ANGLE, 2"" X 2"" X 1/8 ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","13","29.36","3","0","3","88.08","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1625200320","ANGLE, 2 1/2"" X 2"" X ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","15","47.27","70","0","70","3308.9","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1625200420","ANGLE, 2 1/2"" X 2"" X ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","16","106.58","5","0","5","532.9","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1625250320","ANGLE, 2 1/2"" X 2 1/ ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","17","46.65","60","0","60","2799","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1625250420","ANGLE, 2-1/2"" X 2-1/ ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","18","64.73","35","0","35","2265.55","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1630200420","ANGLE, 3"" X 2"" X 1/4 ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","20","69.66","37","0","37","2577.42","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1640400820","ANGLE, 4"" X 4"" X 1/2 ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","28","240","11","8","3","720","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1650300820","ANGLE, 5"" X 3"" X 1/2 ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","31","315.6","4","0","4","1262.4","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13E030G08","PLATE, 3/16"" X 8' X  ","PLATE     ","SHEET             ","   ","104757","METALS USA  ","766064","33","395.51","5","0","5","1977.55","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","    110-00-00080","ANGLE, 1-1/2 X 1-1/2 ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","34","28.42","73","0","73","2074.66","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","    110-00-00081","ANGLE, 2 X 2 X 3/16"" ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","35","38.53","5","0","5","192.65","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","    110-00-00082","ANGLE, 2 X 2 X 5/16"" ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","36","156.2","2","0","2","312.4","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   12-12E0301020","BAR, FLAT, 1"" X 3/16 ","BAR       ","FLAT              ","   ","104757","METALS USA  ","766064","40","17.4","1","0","1","17.4","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1625250520","ANGLE, 2 1/2"" X 2 1/ ","ANGLE     ","                  ","   ","104757","METALS USA  ","766064","41","156.4","1","0","1","156.4","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   12-12E0301520","BAR, FLAT, 3/16"" x 1 ","BAR       ","FLAT              ","   ","104757","METALS USA  ","766064","42","27.4","4","0","4","109.6","07/19/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-42E080G04","PLATE, 1/2"" X 4' X 4 ","PLATE     ","                  ","   ","33670","RYERSON     ","766069","7","565","3","0","3","1695","08/05/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1210100320","ANGLE, 1"" X 1"" X 3/1 ","ANGLE     ","                  ","   ","33670","RYERSON     ","766074","3","11.15","3","0","3","33.45","07/21/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   18-120005HR20","ROUND BAR, 5/16"" DIA ","BAR       ","ROUND             ","   ","33670","RYERSON     ","766074","9","2.9","6","5","1","2.9","07/21/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-32M450F05","PLATE, 1.77(45MM)X 4 ","          ","                  ","   ","58214","PIERCE ALUMI","766076","13","8333","1","0","1","8333","08/26/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","   13-1620200320","ANGLE, 2"" X 2"" X 3/1 ","ANGLE     ","                  ","   ","104757","METALS USA  ","766085","3","38.53","1","0","1","38.53","07/22/2017","8","         ","            ","             ","CF 2276-S3","","","","","","","","","","",""
"485","110","   13-1630300320","ANGLE, 3"" X 3"" X 3/1 ","ANGLE     ","                  ","   ","104757","METALS USA  ","766088","3","58.68","1","0","1","58.68","07/22/2017","8","         ","            ","             ","CF 2276-S3","","","","","","","","","","",""
"485","110","    11-13M050T40","PLATE, 5MM X 96"" X 4 ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","1","1206.5","60","0","60","72390","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M055T40","PLATE, 5.5MM X 96"" X ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","2","1327.15","15","0","15","19907.25","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
