"Proj","SWBS","Item","Description","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","ECP/REA","","",""
"467","002","HPR-04105-01","FLEXIBLE HOSE ASSEMB ","   ","100904","521867","1","0","1","0","1","0","06/26/2014","8","         ","            ","             ","","","",""
"467","002","HPR-04105-02","FLEXIBLE HOSE ASSEMB ","   ","100904","521867","2","0","1","0","1","0","06/26/2014","8","         ","            ","             ","","","",""
"467","002","HPR-04135-01","MATERIAL SUPPLY, JOI ","   ","104597","531119","1","0","1","0","1","0","04/01/2015","8","         ","            ","             ","","","",""
"467","002","HPR-10018-01","CABLE, HELIAX, LDF4R ","   ","104086","531157","2","0","1","0","1","0","08/07/2016","1","         ","            ","             ","","","",""
"467","002","HPR-02041-02","KIT, CABLE, MOD 863  ","   ","107323","563328","2","0","1","0","1","0","02/28/2014","8","         ","            ","             ","","","",""
"467","002","HPR-02041-03","KIT, CABLE, MOD 863  ","   ","107323","563328","3","0","1","0","1","0","02/28/2014","8","         ","            ","             ","","","",""
"467","002","HPR-02041-04","KIT, CABLE, MOD 863  ","   ","107323","563328","4","0","1","0","1","0","02/28/2014","8","         ","            ","             ","","","",""
"467","002","HPR-02041-05","KIT, CABLE, MOD 863  ","   ","107323","563328","5","0","1","0","1","0","02/28/2014","8","         ","            ","             ","","","",""
"467","002","HPR-02041-06","KIT, CABLE, MOD 863  ","   ","107323","563328","6","0","1","0","1","0","02/28/2014","8","         ","            ","             ","","","",""
"467","002","HPR-07340-01","MREC TEST INTERFACE  ","   ","105455","565795","1","0","1","0","1","0","07/12/2015","8","         ","            ","             ","","","",""
"467","002","HPR-000711-01","VALVE, GATE, 1-1/2""  ","   ","103936","590629","3","0","1","0","1","0","02/01/2013","8","         ","            ","             ","","","",""
"467","002","HPR-08210-01","CONSOLE BASE, PILOT  ","   ","104945","639009","46","0","1","0","1","0","02/05/2016","8","         ","            ","             ","","","",""
"467","002","HPR-10011-01","ANTENNA, PRF/IFF, EA ","   ","104945","639037","245","0","1","0","1","0","07/26/2016","8","         ","            ","             ","","","",""
"467","002","HPR-10011-02","ANTENNA, PRF/IFF, EA ","   ","104945","639037","246","0","1","0","1","0","07/26/2016","8","         ","            ","             ","","","",""
"467","002","HPR-10011-03","ANTENNA, PRF/IFF, EA ","   ","104945","639037","247","0","1","0","1","0","07/26/2016","8","         ","            ","             ","","","",""
"467","002","HPR-09708-01","BEACON-TRANSPONDER,  ","   ","104945","639040","47","0","1","0","1","0","05/19/2016","8","         ","            ","             ","","","",""
"467","002","HPR-0001671-01","BEACON-TRANSPONDER,  ","   ","104945","639040","48","0","1","0","1","0","03/23/2017","8","         ","            ","             ","","","",""
"467","002","HPR-0000197-02","ANTENNA              ","   ","104945","639046","40","0","1","0","1","0","12/16/2016","8","         ","            ","             ","","","",""
"467","002","HPR-06735-01","EXCOMM ENCLOSURE-7,  ","   ","104945","639446","58","0","2","0","2","0","08/28/2015","8","         ","            ","             ","","","",""
"467","002","HPR-09873-01","EXCOMM ENCLOSURE-9,  ","   ","104945","639446","60","0","1","0","1","0","07/21/2016","8","         ","            ","             ","","","",""
"467","002","HPR-09873-02","EXCOMM ENCLOSURE-9,  ","   ","104945","639446","61","0","1","0","1","0","07/21/2016","8","         ","            ","             ","","","",""
"467","002","HPR-09877-01","EXCOMM ENCLOSURE-8,  ","   ","104945","639446","62","0","1","0","1","0","06/28/2016","8","         ","            ","             ","","","",""
"467","002","HPR-08458-01","WASHER, FOR FITTED B ","   ","104945","652146","150","0","1","0","1","0","11/12/2015","8","         ","            ","             ","","","",""
"467","002","HPR-08458-02","BOLT, HEX HEAD, M14  ","   ","104945","652146","151","0","1","0","1","0","11/12/2015","8","         ","            ","             ","","","",""
"467","002","HPR-08458-03","WASHER, PART OF      ","   ","104945","652146","152","0","1","0","1","0","11/12/2015","8","         ","            ","             ","","","",""
"467","002","HPR-08640-01","ENGINE, MAIN PROPULS ","   ","104945","652146","155","0","1","0","1","0","12/03/2015","8","         ","            ","             ","","","",""
"467","002","HPR-0000168-01","ENGINE, MAIN PROPULS ","   ","104945","652146","166","0","1","0","1","0","07/27/2016","8","         ","            ","             ","","","",""
"467","002","HPR-08508-01","CONTROL UNIT, JOYSTI ","   ","104945","652148","26","0","2","0","2","0","11/18/2015","8","         ","            ","             ","","","",""
"467","002","HPR-08741-01","STATION IO UNITS #3, ","   ","104945","652148","27","0","2","0","2","0","12/12/2015","8","         ","            ","             ","","","",""
"467","002","HPR-08218-04","COLLAR               ","   ","104945","652158","219","0","2","0","2","0","10/11/2015","8","         ","            ","             ","","","",""
"467","002","HPR-09703-02","PIPE SUPPORT ASSY    ","   ","104945","652158","226","0","1","0","1","0","10/09/2016","8","         ","            ","             ","","","",""
"467","002","HPR-06803-01","GEAR UNIT BUSL 261 P ","   ","104945","652180","121","0","2","0","2","0","06/11/2015","8","         ","            ","             ","","","",""
"467","002","HPR-06803-02","GEAR UNIT BUSL 261 P ","   ","104945","652180","122","0","2","0","2","0","06/11/2015","8","         ","            ","             ","","","",""
"467","002","HPR-06803-03","GEAR UNIT BUSL 261 P ","   ","104945","652180","123","0","2","0","2","0","06/11/2015","8","         ","            ","             ","","","",""
"467","002","HPR-06803-04","GEAR UNIT BUSL 261 P ","   ","104945","652180","124","0","2","0","2","0","07/24/2015","8","         ","            ","             ","","","",""
"467","002","HPR-06803-05","GEAR UNIT BUSL 261 P ","   ","104945","652180","125","0","2","0","2","0","07/24/2015","8","         ","            ","             ","","","",""
"467","002","HPR-08024-01","GEAR UNIT BUSL 261 P ","   ","104945","652180","126","0","3","0","3","0","08/24/2015","8","         ","            ","             ","","","",""
"467","002","HPR-08024-02","GEAR UNIT BUSL 261 S ","   ","104945","652180","127","0","3","0","3","0","08/24/2015","8","         ","            ","             ","","","",""
