"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","ECP/REA"
"475","002","HPR-0002090-01","VALVE, CHILL WATER B ","VALVE     ","BALANCING         ","   ","104261","510247","1","15","6","2","4","60","06/28/2017","8","         ","            ","             ",""
"475","002","HPR-04139-01","MATERIAL, LABOR SUPP ","SUPPLY    ","MATERIAL          ","   ","104597","531123","1","0","1","0","1","0","04/01/2017","8","         ","            ","             ",""
"475","002","HPR-0001700-01","DOOR OPEN/CLOSED CYL ","DOOR      ","CYLINDER          ","   ","104945","540198","187","0","1","0","1","0","05/07/2017","8","         ","            ","             ",""
"475","002","HPR-0001780-02","DOOR OPENING MECHANI ","MECHANISM ","DOOR              ","   ","104945","540198","188","0","1","0","1","0","05/15/2017","8","         ","            ","             ",""
"475","002","HPR-08059-01","SKID, FILTER/ RECTIF ","SKID      ","FILTER            ","   ","104945","621392","186","0","1","0","1","0","08/29/2015","8","         ","            ","             ",""
"475","002","HPR-08059-02","SYSTEM COOLING, ESS. ","SYSTEM    ","COOLING           ","   ","104945","621392","187","0","1","0","1","0","08/29/2015","8","         ","            ","             ",""
"475","002","HPR-08059-03","UNIT, DRIVE, ESS     ","UNIT      ","DRIVE             ","   ","104945","621392","188","0","1","0","1","0","10/08/2015","8","         ","            ","             ",""
"475","002","HPR-0001635-01","VALVE, SWING CHECK,  ","VALVE     ","GROOVED           ","   ","104945","621421","130","0","1","0","1","0","04/17/2017","8","         ","            ","             ",""
"475","002","HPR-0002069-01","CABLE ASSY, FEEDBACK ","ASSEMBLY  ","CABLE             ","   ","104945","621421","133","0","1","0","1","0","07/30/2017","8","         ","            ","             ",""
"475","002","HPR-0001838-01","CONSOLE, (MDU37), DA ","CONSOLE   ","CONTROL           ","   ","104945","639979","40","0","1","0","1","0","05/29/2017","8","         ","            ","             ",""
"475","002","HPR-0001736-01","COMMUNICATION, TERMI ","SWITCH    ","TERMINAL          ","   ","104945","639984","208","0","4","0","4","0","05/14/2017","8","         ","            ","             ",""
"475","002","HPR-0001889-01","ALARM SWITCHBOARD, I ","SWITCHBOAR","ALARM             ","   ","104945","639998","14","0","1","0","1","0","06/04/2017","8","         ","            ","             ",""
"475","002","HPR-0001790-01","125 DEGREE HEAT DETE ","          ","                  ","   ","2600","653036","1","260","2","0","2","520","10/15/2017","8","         ","            ","             ",""
"475","002","HPR-0001939-01","SWITCH, DPDT, 15A-12 ","SWITCH    ","DPDT              ","   ","101628","653130","1","25.28","10","4","6","151.68","07/27/2017","8","         ","            ","             ",""
"475","002","HPR-0002231-01","LAMP, 150 WATT PAR 3 ","LAMP      ","                  ","   ","101628","653148","1","10","4","0","4","40","08/21/2017","8","         ","            ","             ",""
"475","002","HPR-0002231-02","FLOODLIGHT,120 V, SY ","FLOODLIGHT","120 VAC           ","   ","103123","653149","1","406.01","1","0","1","406.01","11/22/2017","8","         ","            ","             ",""
"475","002","HPR-0002102-01","SWITCH, PRESSURE, 1/ ","SWITCH    ","PRESSURE          ","   ","100303","653150","1","477.85","1","0","1","477.85","09/13/2017","1","         ","            ","             ",""
"475","002","HPR-0002241-02","OVHD, FLUOR.LT.FIXTU ","FIXTURE   ","LIGHT             ","   ","5884","653154","1","176","1","0","1","176","08/10/2017","8","         ","            ","             ",""
"475","002","HPR-0002145-01","RACK MOUNTED VIDEO M ","RACK      ","MOUNT             ","   ","102531","653159","1","27","1","0","1","27","08/10/2017","1","         ","            ","             ",""
"475","002","HPR-0001517-01","POLYSULFIDE SEALANT, ","SEALANT   ","POLYSULFIDE       ","   ","107087","691663","1","36.82","24","0","24","883.68","04/15/2017","1","         ","            ","             ",""
"475","002","HPR-0000808-03","COUPLING, 1/4"" IPS,  ","COUPLING  ","SWAGED ENDS       ","   ","106891","786625","2","84.95","2","0","2","169.9","10/11/2016","8","         ","            ","             ",""
"475","002","HPR-0002005-02","FUNNEL, RND TOP, 1""  ","          ","                  ","   ","107825","787121","1","268.4","2","0","2","536.8","07/07/2017","8","         ","            ","             ",""
"475","002","HPR-0001206-03","ANGLE, 2-1/2"" X 2"" X ","ANGLE     ","                  ","   ","58214","787231","2","222.83","1","0","1","222.83","07/24/2017","8","         ","            ","             ",""
"475","002","HPR-0001450-01","UNIT, NAVIGATIONAL,  ","UNIT      ","NAVIGATION        ","   ","104945","860113","64","0","1","0","1","0","03/08/2017","8","         ","            ","             ",""
"475","002","HPR-0001450-02","UNIT, NAVIGATIONAL,  ","UNIT      ","NAVIGATION        ","   ","104945","860113","65","0","1","0","1","0","03/08/2017","8","         ","            ","             ",""
"475","002","HPR-0001825-01","BEARING REPEATER, SP ","REPEATER  ","                  ","   ","104945","860117","84","0","2","0","2","0","05/22/2017","8","         ","            ","             ",""
"475","002","HPR-0002240-01","MONITOR MOUNTING KIT ","KIT       ","MOUNTING          ","   ","104945","860117","85","0","1","0","1","0","10/24/2017","8","         ","            ","             ",""
"475","002","HPR-0002240-02","WORKSTATION, VOYAGE  ","WORKSTATIO","PLANNING          ","   ","104945","860117","86","0","1","0","1","0","10/24/2017","8","         ","            ","             ",""
