"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","","","","","","","","",""
"467","2","    HPR-04105-01","FLEXIBLE HOSE ASSEMB ","ASSEMBLY  ","HOSE              ","   ","100904","521867","1","0","1","0","1","0","06/26/2014","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-04105-02","FLEXIBLE HOSE ASSEMB ","ASSEMBLY  ","HOSE              ","   ","100904","521867","2","0","1","0","1","0","06/26/2014","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-04135-01","MATERIAL SUPPLY, JOI ","SUPPLY    ","MATERIAL          ","   ","104597","531119","1","0","1","0","1","0","04/01/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-10018-01","CABLE, HELIAX, LDF4R ","CABLE     ","HELIAX            ","   ","104086","531157","2","0","1","0","1","0","08/07/2016","1","         ","            ","","","","","","","","","",""
"467","2","    HPR-02041-02","KIT, CABLE, MOD 863  ","KIT       ","CABLE             ","   ","107323","563328","2","0","1","0","1","0","02/28/2014","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-02041-03","KIT, CABLE, MOD 863  ","KIT       ","CABLE             ","   ","107323","563328","3","0","1","0","1","0","02/28/2014","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-02041-04","KIT, CABLE, MOD 863  ","KIT       ","CABLE             ","   ","107323","563328","4","0","1","0","1","0","02/28/2014","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-02041-05","KIT, CABLE, MOD 863  ","KIT       ","CABLE             ","   ","107323","563328","5","0","1","0","1","0","02/28/2014","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-02041-06","KIT, CABLE, MOD 863  ","KIT       ","CABLE             ","   ","107323","563328","6","0","1","0","1","0","02/28/2014","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-07340-01","MREC TEST INTERFACE  ","ENCLOSURE ","INTERFACE         ","   ","105455","565795","1","0","1","0","1","0","07/12/2015","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000711-01","VALVE, GATE, 1-1/2""  ","VALVE     ","GATE              ","   ","103936","590629","3","0","1","0","1","0","02/01/2013","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-08210-01","CONSOLE BASE, PILOT  ","CONSOLE BA","                  ","   ","104945","639009","46","0","1","0","1","0","02/05/2016","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-10011-01","ANTENNA, PRF/IFF, EA ","ANTENNA   ","                  ","   ","104945","639037","245","0","1","0","1","0","07/26/2016","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-10011-02","ANTENNA, PRF/IFF, EA ","ANTENNA   ","                  ","   ","104945","639037","246","0","1","0","1","0","07/26/2016","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-10011-03","ANTENNA, PRF/IFF, EA ","ANTENNA   ","                  ","   ","104945","639037","247","0","1","0","1","0","07/26/2016","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-09708-01","BEACON-TRANSPONDER,  ","BEACON    ","TRANSPONDER       ","   ","104945","639040","47","0","1","0","1","0","05/19/2016","8","         ","            ","","","","","","","","","",""
"467","2","  HPR-0000197-02","ANTENNA              ","ANTENNA   ","                  ","   ","104945","639046","40","0","1","0","1","0","12/16/2016","8","         ","            ","","","","","","","","","",""
