"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","","","","","","","","","","",""
"469","2","    HPR-09241-01","FREEZER, MARINE, 2-S ","FREEZER   ","MARINE            ","   ","102709","510015","1","870","1","0","1","870","05/27/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001379-01","SERVICES, SUBCONTRAC ","SERVICE   ","LABOR             ","   ","104597","510046","2","0","1","0","1","0","02/14/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09071-01","HVAC ADDITIONAL COMP ","HVAC      ","COMPONENTS        ","   ","102040","510051","1","277.15","1","0","1","277.15","05/30/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09071-02","HVAC ADDITIONAL COMP ","HVAC      ","COMPONENTS        ","   ","102040","510051","2","144.25","1","0","1","144.25","06/06/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-10004-01","HVAC ADDITIONAL COMP ","HVAC      ","COMPONENTS        ","   ","103406","510093","1","1100","1","0","1","1100","08/16/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001175-01","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","3400","510187","1","1909","1","0","1","1909","05/15/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001175-02","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","3400","510187","2","1908","1","0","1","1908","05/15/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001175-03","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","3400","510187","3","1910","1","0","1","1910","05/15/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-02965-25","TUBE, 1-1/2"", NOM, T ","TUBE      ","TYPE L            ","   ","104261","521668","18","5.3","60","0","60","318","03/20/2014","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-02965-26","TUBE, 2"", NOM, TYPE  ","TUBE      ","TYPE L            ","   ","104261","521668","19","8.55","40","0","40","342","03/20/2014","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-02965-27","TUBE, 3"", NOM, TYPE  ","TUBE      ","TYPE L            ","   ","104261","521668","20","16.5","20","0","20","330","03/20/2014","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-02965-28","PIPE, STN STL, 1/4""  ","PIPE      ","SEAMLESS          ","   ","104261","521668","21","1.41","20","0","20","28.2","03/20/2014","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-02965-29","PIPE, STN STL, 1/2""  ","PIPE      ","SEAMLESS          ","   ","104261","521668","22","2.54","20","0","20","50.8","03/20/2014","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-02965-30","PIPE, STN STL, 3/4""  ","PIPE      ","SEAMLESS          ","   ","104261","521668","23","5.18","20","0","20","103.6","03/20/2014","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-02965-31","TUBING, SST 316L, 3/ ","TUBING    ","OD X WALL         ","   ","104261","521668","24","2.75","20","0","20","55","03/20/2014","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-03308-06","PIPE, STEEL, 1/4"", . ","PIPE      ","PLAIN END         ","   ","104261","521773","4","4.17","100","90","10","41.7","04/28/2014","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-05432-01","PIPE, SSTL 304L, 3/4 ","PIPE      ","PLAIN FINISH      ","   ","104261","522118","1","3.12","315","294","21","65.52","11/07/2014","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-04288-01","PIPE, STAINLESS STEE ","PIPE      ","PLAIN FINISH      ","   ","104261","522204","1","41.5","20","0","20","830","02/06/2015","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-04136-01","MATERIAL SUPPLY, JOI ","SUPPLY    ","MATERIAL          ","   ","104597","531120","1","0","1","0","1","0","10/01/2015","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09620-01","STERN DOOR ASSY STBD ","ASSEMBLY  ","STERN DOOR        ","   ","104945","540186","67","0","1","0","1","0","05/26/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09736-01","STERN DOOR ASSY STBD ","ASSEMBLY  ","STERN DOOR        ","   ","104945","540186","68","0","1","0","1","0","07/01/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000686-01","DOORS, STERN         ","DOOR      ","STERN             ","   ","104945","540186","69","0","1","0","1","0","10/21/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-06547-01","DOOR OPEN/CLOSED CYL ","DOOR      ","CYLINDER          ","   ","104945","540186","70","0","1","0","1","0","10/26/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-05567-01","CABLE, SHIPBOARD     ","CABLE     ","                  ","   ","107323","565082","1","0","104","0","104","0","11/26/2014","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-05567-02","CABLE, SHIPBOARD     ","CABLE     ","                  ","   ","107323","565082","2","0","26","0","26","0","11/26/2014","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-05567-03","CABLE, SHIPBOARD     ","CABLE     ","                  ","   ","107323","565082","3","0","26","0","26","0","11/26/2014","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08980-01","CABLE, ELECTRIC, LSF ","CABLE     ","LOW SMOKE         ","   ","107323","566741","1","0","18","0","18","0","01/06/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08744-01","DOOR,SINGLE ACCESS C ","DOOR      ","                  ","   ","104974","566982","1","465.16","1","0","1","465.16","06/03/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-10017-01","CHARGING PANEL - SCB ","PANEL     ","                  ","   ","105210","605983","5","0","-1","0","-1","0","08/02/2016","3","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001413-01","CABINET 1, POWER DIS ","CABINET   ","DISTRIBUTION      ","   ","104945","639356","296","0","1","0","1","0","03/06/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001414-01","CABINET 3, RCVR SIGN ","CABINET   ","CONTROL           ","   ","104945","639356","297","0","1","0","1","0","03/08/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000688-01","PHONE, GLOBAL        ","PHONE     ","IP                ","   ","104945","639393","141","0","1","0","1","0","10/28/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09522-01","TSCE ENCLOSURE-8     ","ENCLOSURE ","EQUIPMENT         ","   ","104945","639397","26","0","1","0","1","0","05/04/2016","8","         ","            ","","","","","","","","","","","",""
