"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort"
"475","2","  HPR-0001186-01","VALVE, CHILL WATER C ","VALVE     ","CONTROL           ","   ","103406","510115","2","329.64","1","0","1","329.64","03/30/2017","8","         ","            ",""
"475","2","    HPR-04139-01","MATERIAL, LABOR SUPP ","SUPPLY    ","MATERIAL          ","   ","104597","531123","1","0","1","0","1","0","04/01/2017","8","         ","            ",""
"475","2","    HPR-08059-01","SKID, FILTER/ RECTIF ","SKID      ","FILTER            ","   ","104945","621392","186","0","1","0","1","0","08/29/2015","8","         ","            ",""
"475","2","    HPR-08059-02","SYSTEM COOLING, ESS. ","SYSTEM    ","COOLING           ","   ","104945","621392","187","0","1","0","1","0","08/29/2015","8","         ","            ",""
"475","2","    HPR-08059-03","UNIT, DRIVE, ESS     ","UNIT      ","DRIVE             ","   ","104945","621392","188","0","1","0","1","0","10/08/2015","8","         ","            ",""
"475","2","  HPR-0000392-01","ASSEMBLIES, OIL SPLA ","ASSEMBLY  ","RING              ","   ","104945","621412","44","0","5","0","5","0","09/21/2016","8","         ","            ",""
"475","2","  HPR-0000392-02","ASSEMBLIES, OIL SPLA ","ASSEMBLY  ","RING              ","   ","104945","621412","45","0","6","0","6","0","09/21/2016","8","         ","            ",""
"475","2","  HPR-0001635-01","VALVE, SWING CHECK,  ","VALVE     ","GROOVED           ","   ","104945","621421","130","0","1","0","1","0","04/17/2017","8","         ","            ",""
"475","2","  HPR-0000706-01","TRANSFORMER, (MIL SP ","TRANSFORME","SINGLE PHASE      ","   ","100397","652859","1","3373","2","0","2","6746","03/23/2017","8","         ","            ",""
"475","2","  HPR-0001569-01","RECEPTACLE, WATERTIG ","CONNECTOR ","DOUBLE POLE       ","   ","5884","652942","1","259","1","0","1","259","06/26/2017","8","         ","            ",""
"475","2","  HPR-0001517-01","POLYSULFIDE SEALANT, ","SEALANT   ","POLYSULFIDE       ","   ","107087","691663","1","36.82","24","0","24","883.68","04/15/2017","1","         ","            ",""
"475","2","  HPR-0000808-03","COUPLING, 1/4"" IPS,  ","COUPLING  ","SWAGED ENDS       ","   ","106891","786625","2","84.95","2","0","2","169.9","10/11/2016","8","         ","            ",""
"475","2","  HPR-0001085-02","BACKLFLOW PREVENTER, ","BACKFLOW P","                  ","   ","107693","786705","1","64.81","1","0","1","64.81","03/14/2017","8","         ","            ",""
"475","2","  HPR-0001144-01","FUNNEL, RND TOP, 3/4 ","          ","                  ","   ","100479","786722","1","438","2","0","2","876","03/17/2017","8","         ","            ",""
"475","2","  HPR-0001470-01","SLEEVE, PIPE, 5"" IPS ","PIPE      ","SLEEVE            ","   ","21014","786851","1","368.47","4","0","4","1473.88","02/17/2017","8","         ","            ",""
"475","2","  HPR-0001670-01","FUNNEL, 1"" IPS OUTLE ","FUNNEL    ","FLAT              ","   ","107825","786931","1","262","1","0","1","262","04/14/2017","8","         ","            ",""
"475","2","  HPR-0001635-05","LOKRING SS-3300 CPLG ","          ","                  ","   ","106891","786932","1","211.74","2","0","2","423.48","03/30/2017","8","         ","            ",""
"475","2","  HPR-0001635-04","ELBOW, 45 DEG, 1-1/4 ","ELBOW     ","AXIALLY SWAGED    ","   ","106891","786932","4","437.64","1","0","1","437.64","03/30/2017","8","         ","            ",""
"475","2","  HPR-0001635-06","CPLG, 1/2"" IPS, SST  ","          ","                  ","   ","106891","786932","7","100.39","2","0","2","200.78","03/30/2017","8","         ","            ",""
"475","2","  HPR-0001635-08","LOKRING SS-3300 ELB, ","          ","                  ","   ","106891","786932","10","284.45","4","0","4","1137.8","03/30/2017","8","         ","            ",""
"475","2","  HPR-0001613-02","LOKRING SS-3300 CPLG ","COUPLING  ","AXIALLY SWAGED    ","   ","106891","786932","14","180.45","1","0","1","180.45","03/30/2017","8","         ","            ",""
"475","2","  HPR-0001635-09","LOKRING SS-3300 TEE, ","TEE       ","AXIALLY SWAGED    ","   ","106891","786932","17","254.53","1","0","1","254.53","03/30/2017","8","         ","            ",""
"475","2","  HPR-0001635-07","UNION, 1/2"" IPS, SW, ","UNION     ","SOCKET WELD       ","   ","104261","786934","10","9.17","4","0","4","36.68","03/31/2017","8","         ","            ",""
"475","2","  HPR-0001588-03","UNION, 1/2"" IPS, SW, ","UNION     ","SOCKET WELD       ","   ","104261","786934","16","9.17","5","0","5","45.85","03/31/2017","8","         ","            ",""
"475","2","  HPR-0001588-02","REDUCER, INSERT, 1/2 ","REDUCER   ","INSERT            ","   ","104261","786934","17","2.97","10","0","10","29.7","03/31/2017","8","         ","            ",""
"475","2","  HPR-0001450-01","UNIT, NAVIGATIONAL,  ","UNIT      ","NAVIGATION        ","   ","104945","860113","64","0","1","0","1","0","03/08/2017","8","         ","            ",""
"475","2","  HPR-0001450-02","UNIT, NAVIGATIONAL,  ","UNIT      ","NAVIGATION        ","   ","104945","860113","65","0","1","0","1","0","03/08/2017","8","         ","            ",""
"475","2","    HPR-09781-01","SOCKET FOR SCREWED E ","SOCKET    ","                  ","   ","104945","890178","132","0","1","0","1","0","06/30/2016","8","         ","            ",""
"475","2","  HPR-0000835-01","LOKRING SS-3300 CPLG ","          ","                  ","   ","106891","930400","1","211.74","1","0","1","211.74","10/21/2016","8","         ","            ",""
"475","2","  HPR-0000466-02","VALVE, GATE, 1/2"" IP ","VALVE     ","GATE              ","   ","101589","930446","3","237","2","0","2","474","03/08/2017","8","         ","            ",""
"475","2","  HPR-0000466-03","VALVE, GATE, 1/4"" IP ","VALVE     ","GATE              ","   ","101589","930446","4","187","4","0","4","748","03/08/2017","8","         ","            ",""
"475","2","  HPR-0000986-01","VALVE, GATE, 2 IPS,  ","VALVE     ","RISING STEM       ","   ","101589","930461","2","670","1","0","1","670","03/23/2017","8","         ","            ",""
"475","2","  HPR-0000892-01","VALVE, BALL, 2"", BRO ","VALVE     ","BALL              ","   ","102519","930463","21","10155","1","0","1","10155","06/10/2017","1","         ","            ",""
"475","2","  HPR-0001029-01","CABLE, 2XSO-7        ","CABLE     ","ELECTRICAL        ","   ","104086","930465","1","2.33","480","0","480","1118.4","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-02","CABLE, ELECTRIC, 2XS ","CABLE     ","LIGHTWEIGHT       ","   ","104086","930465","2","1.99","166","0","166","330.34","12/28/2016","1","         ","            ",""
"475","2","  HPR-0001029-03","CABLE, ELECTRIC, 3XS ","CABLE     ","LOW SMOKE         ","   ","104086","930465","3","3.51","1285","0","1285","4510.35","12/28/2016","1","         ","            ",""
"475","2","  HPR-0001029-04","CABLE, ELECTRIC 3XSW ","CABLE     ","ELECTRIC          ","   ","104086","930465","4","3.84","377","0","377","1447.68","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-05","CABLE, ELECTRIC, 7XW ","CABLE     ","LIGHTWEIGHT       ","   ","104086","930465","5","2.63","1455","0","1455","3826.65","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-06","CABLE, 2000V, 313 MC ","CABLE     ","DLO               ","   ","104086","930465","6","5.76","290","0","290","1670.4","12/28/2016","1","         ","            ",""
"475","2","  HPR-0001029-07","CABLE, ELECTRIC, DX- ","CABLE     ","LIGHTWEIGHT       ","   ","104086","930465","7","0.46","9236","0","9236","4248.56","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-08","CABLE, ELECTRIC, FXO ","CABLE     ","LIGHTWEIGHT       ","   ","104086","930465","8","1.89","715","0","715","1351.35","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-09","CABLE, ELECTRIC, FXW ","CABLE     ","LIGHTWEIGHT       ","   ","104086","930465","9","1.12","300","0","300","336","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-10","CABLE, ELECTRICAL, L ","CABLE     ","ELECTRICAL        ","   ","104086","930465","10","1.39","220","0","220","305.8","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-11","CABLE, LSFSGU-150    ","CABLE     ","LOW SMOKE         ","   ","104086","930465","11","28.58","155","0","155","4429.9","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-12","ELEC CABLE,LSMSCS-7  ","CABLE     ","LOW SMOKE         ","   ","104086","930465","12","3.71","732","0","732","2715.72","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-13","CABLE, LSTCKX-12     ","CABLE     ","LOW SMOKE         ","   ","104086","930465","13","44.41","2161","0","2161","95970.01","04/06/2017","1","         ","            ",""
"475","2","  HPR-0001029-14","ELEC CABLE,LSTHOF-3, ","CABLE     ","LOW SMOKE         ","   ","104086","930465","14","1.06","55","0","55","58.3","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-15","CABLE, ELECTRICAL, L ","CABLE     ","ELECTRICAL        ","   ","104086","930465","15","19.34","95","0","95","1837.3","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-16","CABLE, ELECTRIC, LST ","CABLE     ","LOW SMOKE         ","   ","104086","930465","16","2.1","290","0","290","609","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-17","CABLE, LSTNW-4       ","CABLE     ","LOW SMOKE         ","   ","104086","930465","17","1.14","284","0","284","323.76","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-18","CABLE, ELECTRICAL, L ","CABLE     ","ELECTRICAL        ","   ","104086","930465","18","1.86","684","0","684","1272.24","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-19","CABLE, LSTSGS-23     ","CABLE     ","ELECTRICAL        ","   ","104086","930465","19","0.63","396","0","396","249.48","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-20","CABLE, ELECTRIC, MXC ","CABLE     ","LIGHTWEIGHT       ","   ","104086","930465","20","4.1","136","0","136","557.6","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-22","CABLE, ELECTRIC, TTX ","CABLE     ","LIGHTWEIGHT       ","   ","104086","930465","22","1.94","191","0","191","370.54","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-23","CABLE, ELECTRIC, TX- ","CABLE     ","LIGHTWEIGHT       ","   ","104086","930465","23","0.56","812","0","812","454.72","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-24","CABLE, ELECTRIC, TX- ","CABLE     ","LIGHTWEIGHT       ","   ","104086","930465","24","0.57","1960","0","1960","1117.2","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001029-25","CABLE, ELECTRIC, TXW ","CABLE     ","LIGHTWEIGHT       ","   ","104086","930465","25","1.4","1365","0","1365","1911","12/21/2016","1","         ","            ",""
"475","2","  HPR-0001256-01","VALVE, GATE, 1/4"" IP ","VALVE     ","GATE              ","   ","101589","930477","4","187","12","0","12","2244","04/13/2017","8","         ","            ",""
