"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","1st Actual Charged Date","Completion Date"
"481","1","            ","            ","DYA","          ","110","1","1","621","641","A1L  ","A1L   ","1","286888","    A1L00-110002","10","A1L MODS FORM PARTS           ","3","100","92","131.00 ","92.00 ","131.00 ","105.00 ","0.00 ","0.00 ","0.00 ","0.00 ","105.00 ","0.876 ","1.248 ","01/13/17","02/01/17","01/12/17","02/16/17","01/16/17","02/06/17"
"481","1","            ","            ","887","          ","150","1","1","62A","641","D1S  ","D1SD4 ","887","288745","    D1S00-150090","10","MATL D1SD3 D1SD4 FAB 150 SWBS ","2","100","0","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","1/1/1753","02/09/17"
"481","1","            ","            ","DYA","          ","110","1","1","621","641","A1L  ","A1L   ","1","286887","    A1L00-110001","10","A1L MODS FAB N/C              ","3","100","240","364.00 ","240.00 ","364.00 ","271.03 ","0.00 ","0.00 ","0.00 ","0.00 ","271.03 ","0.886 ","1.343 ","01/13/17","02/01/17","01/12/17","02/16/17","01/11/17","02/13/17"
"481","1","            ","            ","DYE","          ","110","1","1","621","641","E1L  ","E1L   ","1","287055","    E1L00-110002","10","E1L MODS FORM PARTS           ","3","100","136","166.00 ","136.00 ","166.00 ","87.00 ","0.00 ","0.00 ","0.00 ","0.00 ","87.00 ","1.563 ","1.908 ","01/24/17","02/13/17","01/16/17","02/17/17","02/01/17","02/13/17"
"481","1","            ","            ","DYO","          ","110","1","1","621","641","F3U  ","F3U   ","1","283612","    F3U00-110001","10","F3U MODS FAB N/C              ","3","100","205","219.00 ","205.00 ","219.00 ","253.00 ","0.00 ","0.00 ","0.00 ","0.00 ","253.00 ","0.810 ","0.866 ","08/08/16","08/22/16","12/13/16","02/17/17","12/15/16","02/13/17"
"481","1","            ","            ","887","          ","167","1","1","621","641","S    ","S00   ","999","288909","    S0000-167002","10","SW FAB 167 MISC BERPS         ","3","100","0","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","1/1/1753","02/14/17"
"481","1","            ","            ","DYJ","          ","110","1","1","621","641","F1L  ","F1L   ","1","287529","    F1L00-110001","10","F1L MODS FAB N/C              ","3","100","99","124.00 ","99.00 ","124.00 ","112.00 ","0.00 ","0.00 ","0.00 ","0.00 ","112.00 ","0.884 ","1.107 ","01/31/17","02/15/17","01/16/17","02/14/17","02/01/17","02/20/17"
"481","1","            ","            ","DYE","          ","110","1","1","621","641","E1L  ","E1L   ","1","287054","    E1L00-110001","10","E1L MODS FAB N/C              ","3","100","123","203.00 ","123.00 ","203.00 ","173.00 ","0.00 ","0.00 ","0.00 ","0.00 ","173.00 ","0.711 ","1.173 ","01/24/17","02/13/17","01/16/17","02/17/17","01/24/17","02/20/17"
"481","1","            ","            ","DYD","          ","110","1","1","621","641","B1L  ","B1L   ","1","288302","    B1L00-110003","10","B1L MODS FAB STRUCTURALS      ","2","100","154","84.00 ","154.00 ","84.00 ","120.50 ","0.00 ","0.00 ","0.00 ","0.00 ","120.50 ","1.278 ","0.697 ","02/27/17","03/09/17","02/14/17","02/24/17","02/09/17","02/20/17"
"481","1","            ","            ","DYJ","          ","110","1","1","621","641","F1L  ","F1L   ","1","287530","    F1L00-110002","10","F1L FORM PARTS                ","3","100","33","40.00 ","33.00 ","40.00 ","21.00 ","0.00 ","0.00 ","0.00 ","0.00 ","21.00 ","1.571 ","1.905 ","01/31/17","02/15/17","01/16/17","02/14/17","02/09/17","02/20/17"
"481","1","            ","            ","DYP","          ","110","1","1","621","641","S1U  ","S1U   ","1","287950","    S1U00-110003","10","S1U MODS FAB STRUCTURALS      ","2","100","258","217.00 ","258.00 ","217.00 ","203.00 ","0.00 ","0.00 ","0.00 ","0.00 ","203.00 ","1.271 ","1.069 ","02/16/17","03/02/17","02/03/17","02/17/17","01/31/17","02/20/17"
"481","1","            ","            ","887","          ","150","1","1","62A","641","D3S  ","D3SS1 ","887","289134","    D3SS1-150024","10","MATL D3SS1 D3SS2 FAB 150 SWBS ","2","100","0","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","1/1/1753","02/20/17"
"481","1","            ","            ","CNS","          ","512","5","1","625","625","E1L  ","E1LS2 ","53","288207","    E1L00-512002","10","E1LS2 FAB 512 HTWRK - SMS     ","28","100","40","6.00 ","40.00 ","6.00 ","2.00 ","0.00 ","0.00 ","0.00 ","0.00 ","2.00 ","20.000 ","3.000 ","05/22/17","06/12/17","05/22/17","06/12/17","02/03/17","02/22/17"
