"Parent - Operation","Lock Date","Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"    L6000-000877-999","2/18/2017","479","1","          ","            ","877","          ","0","2","TST","600","A1   ","A1    ","0","","    L6000-000877","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","8/24/2017","10/6/2017","8/31/2017","10/23/2017"
"    L6000-000943-999","2/18/2017","479","999000","          ","            ","943","NO LABOR  ","0","3","TST","600","A1   ","A1    ","999","","    L6000-000943","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","2/28/2018","3/22/2018","2/26/2018","3/28/2018"
"    L6000-000940-999","2/18/2017","479","999000","          ","            ","940","NO LABOR  ","0","3","TST","600","S    ","A1    ","999","","    L6000-000940","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/24/2018","6/18/2018","5/30/2018","8/8/2018"
"    L6000-000982-999","2/18/2017","479","1","          ","            ","982","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000982","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/25/2017","12/8/2017","11/1/2017","1/2/2018"
"    L6000-000976-999","2/18/2017","479","1","          ","            ","976","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000976","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/13/2017","11/28/2017","10/18/2017","12/11/2017"
"    L6000-000972-999","2/18/2017","479","1","          ","            ","972","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000972","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/25/2017","12/8/2017","11/1/2017","1/2/2018"
"    L6000-000967-999","2/18/2017","479","1","          ","            ","967","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000967","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/25/2017","12/8/2017","11/1/2017","1/2/2018"
"    L6000-000962-999","2/18/2017","479","1","          ","            ","962","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000962","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/13/2017","11/28/2017","10/18/2017","12/11/2017"
"    L6000-000H80-999","2/18/2017","479","1","          ","            ","888","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000H80","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000H38-999","2/18/2017","479","1","          ","            ","888","          ","0","2","TST","600","A1   ","A1    ","0","","    L6000-000H38","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000118-999","2/18/2017","479","1","          ","            ","118","          ","0","1","TST","600","A1   ","A1    ","0","","    L6000-000118","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","9/21/2017","11/28/2017","9/21/2017","1/18/2018"
"    L6000-000878-999","2/18/2017","479","1","          ","            ","878","          ","0","2","TST","600","A1   ","A1    ","0","","    L6000-000878","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","8/24/2017","10/6/2017","8/31/2017","10/23/2017"
"    L6000-000867-999","2/18/2017","479","1","          ","            ","867","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000867","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","12/7/2017","1/26/2018","11/8/2017","1/9/2018"
"    L6000-000851-999","2/18/2017","479","1","          ","            ","851","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000851","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","11/20/2017","1/11/2018","12/1/2017","1/30/2018"
"    L6000-000672-999","2/18/2017","479","1","          ","            ","672","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000672","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","8/24/2017","10/6/2017","8/31/2017","10/23/2017"
"    L6000-000141-999","2/18/2017","479","1","          ","            ","141","          ","0","1","TST","600","A1   ","A1    ","0","","    L6000-000141","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","11/29/2017","2/9/2018","1/19/2018","5/8/2018"
"    L6000-000645-999","2/18/2017","479","1","          ","            ","645","          ","0","2","TST","600","A1   ","A1    ","0","","    L6000-000645","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/27/2017","12/12/2017","12/1/2017","1/30/2018"
"    L6000-000884-999","2/18/2017","479","1","          ","            ","884","          ","0","2","TST","600","A1   ","A1    ","0","","    L6000-000884","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/9/2017","11/20/2017","11/6/2017","1/5/2018"
"    L6000-000659-999","2/18/2017","479","1","          ","            ","659","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000659","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/13/2017","11/28/2017","10/18/2017","12/11/2017"
"    L6000-000847-999","2/18/2017","479","1","          ","            ","847","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000847","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/13/2017","11/28/2017","10/18/2017","12/11/2017"
"    L6000-000692-999","2/18/2017","479","1","          ","            ","692","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000692","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/27/2017","12/12/2017","1/30/2018","3/21/2018"
"    L6000-000701-999","2/18/2017","479","1","          ","            ","701","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000701","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","11/13/2017","1/4/2018","11/22/2017","1/23/2018"
"    L6000-000723-999","2/18/2017","479","1","          ","            ","723","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000723","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/13/2017","11/28/2017","10/18/2017","12/11/2017"
"    L6000-000734-999","2/18/2017","479","1","          ","            ","734","          ","0","2","TST","600","A1   ","A1    ","0","","    L6000-000734","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/27/2017","12/12/2017","12/1/2017","1/30/2018"
"    L6000-000762-999","2/18/2017","479","1","          ","            ","762","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000762","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/27/2017","12/12/2017","1/30/2018","3/21/2018"
"    L6000-000763-999","2/18/2017","479","1","          ","            ","763","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000763","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/27/2017","12/12/2017","1/30/2018","3/21/2018"
"    L6000-000764-999","2/18/2017","479","1","          ","            ","764","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000764","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/27/2017","12/12/2017","1/30/2018","3/21/2018"
"    L6000-000778-999","2/18/2017","479","1","          ","            ","778","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000778","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/27/2017","12/12/2017","1/30/2018","3/21/2018"
"    L6000-000652-999","2/18/2017","479","1","          ","            ","652","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000652","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/25/2017","12/8/2017","11/1/2017","1/2/2018"
"    L6000-000BMA-999","2/18/2017","479","1","          ","            ","BMA","          ","0","1","TST","600","A1DD1","A1DD1 ","0","","    L6000-000BMA","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/1/2017","3/7/2017","3/14/2017","3/20/2017"
"    L6000-000BVS-999","2/18/2017","479","1","          ","            ","BVS","          ","0","5","TST","600","A1DD1","A1DD1 ","0","","    L6000-000BVS","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/1/2017","3/7/2017","3/14/2017","3/20/2017"
"    L6000-000BPA-999","2/18/2017","479","1","          ","            ","BPA","          ","0","1","TST","600","A1L  ","A1L   ","0","","    L6000-000BPA","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","2/13/2017","2/17/2017","2/21/2017","2/27/2017"
"    L6000-000931-999","2/18/2017","479","999000","          ","            ","931","NO LABOR  ","0","3","TST","600","S    ","A1L   ","999","","    L6000-000931","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/19/2018","5/11/2018","4/27/2018","5/29/2018"
"    L6000-000BPB-999","2/18/2017","479","1","          ","            ","BPB","          ","0","1","TST","600","A1L  ","A1LB1 ","0","","    L6000-000BPB","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","2/9/2017","2/17/2017","2/10/2017","2/20/2017"
"    L6000-000BRS-999","2/18/2017","479","1","          ","            ","BRS","          ","0","1","TST","600","A1L  ","A1LS1 ","0","","    L6000-000BRS","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","7/6/2016","7/12/2016","9/19/2016","2/3/2017"
"    L6000-000913-999","2/18/2017","479","999000","          ","            ","913","NO LABOR  ","0","2","TST","600","S    ","A1U   ","999","","    L6000-000913","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/2/2018","4/16/2018","5/17/2018","6/12/2018"
"    L6000-000812-999","2/18/2017","479","999000","          ","            ","812","NO LABOR  ","0","2","TST","600","S    ","A1U   ","999","","    L6000-000812","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/2/2018","4/27/2018","5/17/2018","6/29/2018"
"    L6000-000LAJ-999","2/18/2017","479","1","          ","            ","LAJ","          ","0","5","TST","600","A1U  ","A1U   ","0","","    L6000-000LAJ","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/18/2017","4/24/2017","3/22/2017","3/31/2017"
"    L6000-000BTA-999","2/18/2017","479","1","          ","            ","BTA","          ","0","1","TST","600","A1U  ","A1U   ","0","","    L6000-000BTA","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/19/2017","4/24/2017","4/24/2017","4/27/2017"
"    L6000-000BTB-999","2/18/2017","479","1","          ","            ","BTB","          ","0","1","TST","600","A1U  ","A1UD1 ","0","","    L6000-000BTB","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/8/2017","3/14/2017","3/9/2017","3/15/2017"
"    L6000-000BUC-999","2/18/2017","479","1","          ","            ","BUC","          ","0","1","TST","600","A1U  ","A1UD2 ","0","","    L6000-000BUC","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/1/2017","3/6/2017","3/7/2017","3/10/2017"
