"Project","Part Number","ETC","WP"
"","","","MATL-002-999"
"","","","MATL-008-999"
"","","","MATL-017-999"
"","","","MATL-042-999"
"","","","MATL-854-999"
"","","","MATL-900-999"
"471","Welding Supplies Allocation Load","","MATL-101-999"
"473","Welding Supplies Allocation Load","","MATL-101-999"
"475","Welding Supplies Allocation Load","","MATL-101-999"
"477","Welding Supplies Allocation Load","","MATL-101-999"
"479","Welding Supplies Allocation Load","","MATL-101-999"
"481","Welding Supplies Allocation Load","","MATL-101-999"
"483","Welding Supplies Allocation Load","","MATL-101-999"
"485","Welding Supplies Allocation Load","","MATL-101-999"
"471","Weld Gas Allocation Load","","MATL-102-999"
"473","Weld Gas Allocation Load","","MATL-102-999"
"475","Weld Gas Allocation Load","","MATL-102-999"
"477","Weld Gas Allocation Load","","MATL-102-999"
"479","Weld Gas Allocation Load","","MATL-102-999"
"481","Weld Gas Allocation Load","","MATL-102-999"
"483","Weld Gas Allocation Load","","MATL-102-999"
"485","Weld Gas Allocation Load","","MATL-102-999"
"471","Stock Inventory Allocation Load","","MATL-104-999"
"473","Stock Inventory Allocation Load","","MATL-104-999"
"475","Stock Inventory Allocation Load","","MATL-104-999"
"477","Stock Inventory Allocation Load","","MATL-104-999"
"479","Stock Inventory Allocation Load","","MATL-104-999"
"481","Stock Inventory Allocation Load","","MATL-104-999"
"483","Stock Inventory Allocation Load","","MATL-104-999"
"485","Stock Inventory Allocation Load","","MATL-104-999"
"471","Electrical Allocation Load","","MATL-300-999"
"473","Electrical Allocation Load","","MATL-300-999"
"475","Electrical Allocation Load","","MATL-300-999"
"477","Electrical Allocation Load","","MATL-300-999"
"479","Electrical Allocation Load","","MATL-300-999"
"481","Electrical Allocation Load","","MATL-300-999"
"483","Electrical Allocation Load","","MATL-300-999"
"485","Electrical Allocation Load","","MATL-300-999"
"471","Piping Allocation Load","","MATL-500-999"
"473","Piping Allocation Load","","MATL-500-999"
"475","Piping Allocation Load","","MATL-500-999"
"477","Piping Allocation Load","","MATL-500-999"
"479","Piping Allocation Load","","MATL-500-999"
"481","Piping Allocation Load","","MATL-500-999"
"483","Piping Allocation Load","","MATL-500-999"
"485","Piping Allocation Load","","MATL-500-999"
"477","Paint/Blast Media Allocation Load","","MATL-600-999"
"479","Paint/Blast Media Allocation Load","","MATL-600-999"
"481","Paint/Blast Media Allocation Load","","MATL-600-999"
"483","Paint/Blast Media Allocation Load","","MATL-600-999"
"485","Paint/Blast Media Allocation Load","","MATL-600-999"
"471","Paint/Blast Media Allocation Load","","MATL-631-999"
"473","Paint/Blast Media Allocation Load","","MATL-631-999"
"475","Paint/Blast Media Allocation Load","","MATL-631-999"
"471","Preservation Allocation Load","","MATL-993-999"
"473","Preservation Allocation Load","","MATL-993-999"
"475","Preservation Allocation Load","","MATL-993-999"
"477","Preservation Allocation Load","","MATL-993-999"
"479","Preservation Allocation Load","","MATL-993-999"
"481","Preservation Allocation Load","","MATL-993-999"
"483","Preservation Allocation Load","","MATL-993-999"
"485","Preservation Allocation Load","","MATL-993-999"
"477","GT Shim Allowance Load"," $ 40,000 ","MATL-180-999"
"479","GT Shim Allowance Load"," $ 40,000 ","MATL-180-999"
"481","GT Shim Allowance Load"," $ 40,000 ","MATL-180-999"
"483","GT Shim Allowance Load"," $ 40,000 ","MATL-180-999"
"485","GT Shim Allowance Load"," $ 40,000 ","MATL-180-999"
"471","Trials Misc Exp (Credit Card) Load"," $ 10,000 ","MATL-982-999"
"473","Trials Misc Exp (Credit Card) Load"," $ 10,000 ","MATL-982-999"
"475","Trials Misc Exp (Credit Card) Load"," $ 10,000 ","MATL-982-999"
"477","Trials Misc Exp (Credit Card) Load"," $ 10,000 ","MATL-982-999"
"479","Trials Misc Exp (Credit Card) Load"," $ 10,000 ","MATL-982-999"
"481","Trials Misc Exp (Credit Card) Load"," $ 10,000 ","MATL-982-999"
"483","Trials Misc Exp (Credit Card) Load"," $ 10,000 ","MATL-982-999"
"485","Trials Misc Exp (Credit Card) Load"," $ 10,000 ","MATL-982-999"
"469","180-01-00007"," $ 159,800 ","MATL-180-999"
"469","180-01-00008"," $ 50,248 ","MATL-180-999"
"469",""," $ 45,763 ","MATL-002-999"
"469",""," $ 6,325 ","MATL-008-999"
"469",""," $ 18,594 ","MATL-017-999"
"469","073-01-00002"," $ 40,045 ","MATL-073-001"
"469","073-99-00001"," $ 380 ","MATL-073-999"
"469",""," $ 4,771 ","MATL-104-999"
"469","244-01-MS005"," $ 210,300 ","MATL-244-001"
"469",""," $ 600 ","MATL-305-001"
"469","311-01-00001-L20"," $ 18,092 ","MATL-311-001"
"469",""," $ 1,800 ","MATL-321-999"
"469","321-02-00085"," $ 1,594 ","MATL-321-999"
"469","321-02-00492"," $ 2,893 ","MATL-321-999"
"469",""," $ 1,500 ","MATL-631-999"
"469",""," $ 51,916 ","MATL-635-004"
"469",""," $ 71,495 ","MATL-854-999"
"469",""," $ 750 ","MATL-993-999"
"469","982-01-00020"," $ 2,000 ","MATL-982-001"
"469","982-01-00024"," $ 4,774 ","MATL-982-001"
"469","982-01-00100"," $ 13,750 ","MATL-982-001"
"469","982-01-00102"," $ 5,000 ","MATL-982-001"
"469","982-01-00104"," $ 105,240 ","MATL-982-001"
"469","982-01-00105"," $ 26,250 ","MATL-982-001"
"469","982-01-00106"," $ 12,600 ","MATL-982-001"
"469","982-01-00108"," $ 42,210 ","MATL-982-001"
"469","982-01-00117"," $ 1,860 ","MATL-982-001"
"469","982-01-00119"," $ 2,000 ","MATL-982-001"
"469","982-01-00123"," $ 15,500 ","MATL-982-001"
"469","982-01-00129"," $ 7,200 ","MATL-982-001"
"469","982-01-00001"," $ 151,200 ","MATL-982-002"
"469","982-01-00037"," $ 60,900 ","MATL-982-003"
"469","986-01-DC100"," $ 265,000 ","MATL-982-005"
"469","982-01-00132"," $ 6,060 ","MATL-982-999"
"469",""," $ 10,000 ","MATL-982-999"
"469","992-01-00044"," $ 20,000 ","MATL-992-999"
"469","992-01-00046"," $ 1,950 ","MATL-992-999"
