"Buyer","Project","SWBS","Cont Supp","Item","Linked SPN","Description","Original SMOS  Qty","Remaining SMOS  Qty","In Yard Due Date","Lead time","Planned Order Date","UOM","Cust Item On Hand","Cust Item On Order","Cust Item Shortage","On Hold","Entered On Date","Last Mod Date","Last Price","Expected Amount",""
"8017","465","169","      ","    169-01-00008","SRV521-030600008","SERVICE, HANGAR DOOR INSTALL","1","1","11/21/2013","123","07/21/2013"," EA   ","0","0","1"," Yes    ","11/21/2013","03/10/2015","0","0",""
"8017","465","259","      ","    259-07-00084","804703-000000003","WELD RING, STAINLESS STL    ","24","14","08/01/2012","21","07/11/2012"," EA   ","0","0","14"," No     ","03/08/2011","10/11/2011","51.85","725.9",""
"8017","465","565","      ","    565-01-JMRCG","         ARCHIVE","VENDOR SERVICE, AUTHORIZED  ","1","1","06/30/2014","123","02/27/2014"," LO   ","0","0","1"," No     ","05/01/2014","05/01/2014","0","0",""
"8017","465","900","      ","    900-01-00001","         ARCHIVE","VNDR SRVC, BAE LABOR/MATERIA","1","1","02/09/2016","123","10/09/2015"," LO   ","0","0","1"," No     ","02/09/2016","02/09/2016","0","0",""
"8017","465","986","      ","    986-01-00573","TEST00-000001050","ADAPTER, 2, MALE X FEMALE, S","24","24","07/29/2015","35","06/24/2015"," EA   ","0","0","24"," No     ","07/29/2015","07/29/2015","27.86","668.64",""
"8017","465","986","      ","    986-01-00574","         ARCHIVE","BALL VALVE, 1 FEMALE, NPT, S","10","10","07/29/2015","35","06/24/2015"," LO   ","0","0","10"," No     ","07/29/2015","07/29/2015","23.82","238.2",""
"8017","465","986","      ","    986-01-00575","         ARCHIVE","ADAPTER, 1"" X 1"", MALE, STEE","15","15","07/29/2015","35","06/24/2015"," LO   ","0","0","15"," No     ","07/29/2015","07/29/2015","1.66","24.9",""
"8017","465","262","      ","262-YY-HA001-L50","            -L50","CERTIFICATES, CONSTRUCTION  ","1","1","05/27/2015","60","03/28/2015"," LO   ","0","0","1"," No     ","05/27/2015","05/27/2015","0","0",""
"8017","465","262","      ","262-YY-HA002-L50","            -L50","CERTIFICATES, CONSTRUCTION  ","1","1","05/27/2015","60","03/28/2015"," LO   ","0","0","1"," No     ","05/27/2015","05/27/2015","0","0",""
"8017","465","262","      ","262-YY-HA003-L50","            -L50","CERTIFICATES, CONSTRUCTION  ","1","1","05/27/2015","60","03/28/2015"," LO   ","0","0","1"," No     ","05/27/2015","05/27/2015","0","0",""
"8017","465","262","      ","262-YY-HA004-L50","            -L50","CERTIFICATES, CONSTRUCTION  ","1","1","05/27/2015","60","03/28/2015"," LO   ","0","0","1"," No     ","05/27/2015","05/27/2015","0","0",""
"8018","465","321","      ","    321-02-00184","712402670000-004","STUD SHLDR STL, 1/2-13 0.75 ","400","70","07/26/2013","56","05/31/2013"," EA   ","0","0","70"," No     ","07/14/2011","07/26/2013","2.5","175",""
"8018","465","604","      ","    604-01-00032","         ARCHIVE","DEADBOLT, BRASS W/THUMBTURN ","1","1","11/14/2014","14","10/31/2014"," LO   ","0","0","1"," No     ","10/29/2014","10/29/2014","0","0",""
"8019","465","110","      ","    110-01-08850","SRV521-030300020","VENDOR SERVICES TO CUT AND M","1","1","03/15/2013","123","11/12/2012"," LO   ","0","0","1"," No     ","02/28/2013","02/28/2013","0","0",""
"8019","465","150","      ","    150-00-00224","SRV521-030300241","SERVICES, ALUMINUM FLAT PLAT","1","1","07/24/2013","123","03/23/2013"," LO   ","0","0","1"," No     ","07/10/2013","07/10/2013","0","0",""
"8019","465","161","      ","    161-02-SEG0A","180632-000000001","CASTING - STEM BAR CASTING  ","1","1","11/04/2011","140","06/17/2011"," EA   ","0","0","1"," No     ","01/20/2011","12/15/2011","16500","16500",""
"8019","465","167","      ","    167-01-00427","611208-000000003","COVER, MH, RAISED, 15 X 23  ","0","0","05/25/2011","21","05/04/2011"," EA   ","0","25","25"," No     ","03/14/2011","01/07/2015","0","0",""
"8019","465","167","      ","    167-01-00473","610200-000000005","COVER, AVHC, RAISED, 254MM D","22","8","05/25/2011","42","04/13/2011"," EA   ","0","0","8"," No     ","03/14/2011","12/21/2011","59","472",""
"8019","465","180","      ","    180-23-40001","SRV521-030900367","PLATE, SHIM, RESILIENT MOUNT","16","16","08/29/2014","180","03/02/2014"," EA   ","0","0","16"," No     ","08/25/2014","08/25/2014","0","0",""
"8019","465","180","      ","    180-24-051BA","SRV521-030900370","SHIM, THRUST BEARING, MACHIN","1","1","02/03/2014","123","10/03/2013"," EA   ","0","0","1"," No     ","01/28/2014","01/28/2014","0","0",""
"8019","465","180","      ","    180-24-051BB","SRV521-030900371","SHIM, THRUST BEARING, MACHIN","1","1","02/03/2014","123","10/03/2013"," EA   ","0","0","1"," No     ","01/28/2014","01/28/2014","0","0",""
