"Buyer","Project","SWBS","Cont Supp","Item","Linked SPN","Description","Original SMOS  Qty","Remaining SMOS  Qty","In Yard Due Date","Lead time","Planned Order Date","UOM","Cust Item On Hand","Cust Item On Order","Cust Item Shortage","On Hold","Entered On Date","Last Mod Date","Last Price","Expected Amount"
"8017","467","565","      ","565-01-JMRCG","         ARCHIVE","VENDOR SERVICE, AUTHORIZED  ","1","1","06/30/2014","123","02/27/2014"," LO   ","0","0","1"," No     ","05/01/2014","05/01/2014","0","0"
"8017","467","986","      ","986-01-00588","TEST00-000001033","HOSE, 1-1/2"" RUBBER, MAX WOR","120","120","09/08/2015","49","07/21/2015"," LF   ","0","0","120"," No     ","09/08/2015","09/16/2015","0","0"
"8017","467","986","      ","986-01-TP002","TEST00-000000991","HOSE NIPPLE, 1-1/2"" IPS, TUR","26","6","03/06/2015","49","01/16/2015"," EA   ","0","0","6"," No     ","03/06/2015","03/06/2015","31.86","191.16"
"8017","467","986","      ","986-01-TP008","TEST00-000000997","HOSE NIPPLE, 2"" IPS, TURNED ","12","10","03/06/2015","49","01/16/2015"," EA   ","6","0","4"," No     ","03/06/2015","03/06/2015","34.51","138.04"
"8017","467","992","      ","992-01-00043-R01","SRV300-031000002","SRVC, REPLACE SECURITY BARRI","1","1","05/12/2016","123","01/10/2016"," EA   ","0","0","1"," No     ","05/12/2016","05/12/2016","4280","4280"
"8017","467","992","      ","992-01-00043-R02","SRV300-031000002","SRVC, REPLACE SECURITY BARRI","1","1","05/12/2016","123","01/10/2016"," EA   ","0","0","1"," No     ","05/12/2016","05/12/2016","4280","4280"
"8017","467","992","      ","992-01-00043-R03","SRV300-031000002","SRVC, REPLACE SECURITY BARRI","1","1","05/12/2016","123","01/10/2016"," EA   ","0","0","1"," No     ","05/19/2016","05/19/2016","1540","1540"
"8017","467","992","      ","992-01-00043-R04","SRV300-031000002","SRVC, REPLACE SECURITY BARRI","1","1","05/19/2016","123","01/17/2016"," EA   ","0","0","1"," No     ","05/19/2016","05/19/2016","3595","3595"
"8017","467","992","      ","992-01-00044-R01","SRV300-031000001","SRVC, REMOVE SECURITY BARRIE","1","1","05/12/2016","123","01/10/2016"," EA   ","0","0","1"," No     ","05/12/2016","05/12/2016","3585","3585"
"8017","467","992","      ","992-01-00044-R02","SRV300-031000001","SRVC, REMOVE SECURITY BARRIE","1","1","05/12/2016","123","01/10/2016"," EA   ","0","0","1"," No     ","05/12/2016","05/12/2016","3585","3585"
"8017","467","992","      ","992-01-00044-R03","SRV300-031000001","SRVC, REMOVE SECURITY BARRIE","1","1","05/12/2016","123","01/10/2016"," EA   ","0","0","1"," No     ","05/19/2016","05/19/2016","4280","4280"
"8018","467","321","      ","321-02-00184","712402670000-004","STUD SHLDR STL, 1/2-13 0.75 ","400","332","07/26/2013","56","05/31/2013"," EA   ","274","0","58"," No     ","07/14/2011","07/26/2013","2.5","145"
"8018","467","572","      ","572-04-00003","750205000000-001","TWO WHEELED HAND TRUCK      ","2","1","08/25/2014","123","04/24/2014"," EA   ","0","0","1"," No     ","05/28/2013","05/28/2013","290","290"
"8018","467","604","      ","604-01-00032","         ARCHIVE","DEADBOLT, BRASS W/THUMBTURN ","1","1","12/12/2014","14","11/28/2014"," LO   ","0","0","1"," No     ","10/29/2014","10/29/2014","0","0"
"8018","467","604","      ","604-01-006EP","         ARCHIVE","PADLOCK, LOW SECURITY, BRASS","50","1","01/10/2014","123","09/09/2013"," LO   ","0","0","1"," No     ","03/19/2013","03/19/2013","29.49","29.49"
"8018","467","984","      ","984-04-00067","821100-000000006","CARTRIDGE, OIL FILTER, SSDG'","24","24","03/02/2016","180","09/04/2015"," EA   ","0","0","24"," No     ","03/02/2016","03/02/2016","205.2","4924.8"
"8018","467","992","      ","992-01-00006","SRV515-012400001","UNITS, HEATING, INDUCTION, R","2","2","03/19/2013","123","11/16/2012"," LO   ","0","0","2"," No     ","03/19/2013","03/19/2013","0","0"
"8018","467","982","      ","982-01-00117-R01","                ","SRVC, RENTAL PORTABLE TOILET","1","1","05/20/2016","123","01/18/2016"," EA   ","0","0","1"," No     ","05/20/2016","05/20/2016","1","1"
"8019","467","150","      ","150-01-08751","SRV521-030900002","VENDOR SERVICES TO MACHINE D","1","1","05/14/2014","123","01/11/2014"," EA   ","0","0","1"," No     ","04/30/2014","04/30/2014","0","0"
"8019","467","167","      ","167-01-00425","611102-000000028","RING, MH, RAISED, 15 X 23   ","14","2","11/25/2011","21","11/04/2011"," EA   ","0","0","2"," No     ","08/23/2011","11/16/2011","65","130"
"8019","467","167","      ","167-01-00439","611208-000000001","COVER MH, FLUSH, 15 X 23    ","0","0","11/25/2011","120","07/28/2011"," EA   ","0","92","92"," No     ","08/23/2011","01/07/2015","70","6440"
"8019","467","167","      ","167-01-00472","610200-000000003","RING, AVHC, RAISED, 254 MM  ","11","1","11/25/2011","42","10/14/2011"," EA   ","0","0","1"," No     ","08/23/2011","12/21/2011","27.5","27.5"
"8019","467","180","      ","180-01-00884","SRV521-030500041","VENDOR SERVICES TO FAB FOUND","1","1","09/24/2013","123","05/24/2013"," LO   ","0","0","1"," No     ","08/15/2013","08/15/2013","6372.85","6372.85"
"8019","467","180","      ","180-01-00885","SRV521-030500042","VENDOR SERVICES TO FAB FOUND","1","1","09/24/2013","123","05/24/2013"," LO   ","0","0","1"," No     ","08/15/2013","08/15/2013","3817.15","3817.15"
"8019","467","180","      ","180-24-7026B","SRV521-030900572","SRVC, TO PROVIDE BEARING STU","1","1","03/15/2015","123","11/12/2014"," EA   ","0","0","1"," No     ","02/09/2015","02/09/2015","0","0"
"8019","467","184","      ","184-01-00009","SRV521-030900790","MACHINE DECOY LAUNCHERS     ","1","1","05/08/2014","14","04/24/2014"," EA   ","0","0","1"," No     ","05/08/2014","05/08/2014","0","0"
