"Buyer","Project","SWBS","Cont Supp","Item","LinkedSPN","Description","Original SMOS  Qty","Remaining SMOS  Qty","In Yard Due Date","Lead time","Planned Order Date","UOM","Cust Item On Hand","Cust Item On Order","Cust Item Shortage","On Hold","Entered On Date","Last Mod Date","Last Price","Expected Amount","Compare To Project","Most Recent Order Date"
"0","471","507","      ","507-10-LPF1L","790300000000-F1L","LABELS WITHIN GRAND MODULE F","1","0","07/25/2013","0","07/25/2013"," LO   ","0","1","1"," No     ","08/19/2016","08/25/2017","134.9","134.9","477","03/27/2017"
"0","471","507","      ","507-10-LPF2L","790300000000-F2L","LABELS WITHIN GRAND MODULE F","1","0","06/07/2013","0","06/07/2013"," LO   ","0","1","1"," No     ","08/19/2016","08/25/2017","3123.94","3123.94","477","03/27/2017"
"0","471","507","      ","507-10-LPF3L","790300000000-F3L","LABELS WITHIN GRAND MODULE F","1","0","08/08/2013","0","08/08/2013"," LO   ","0","1","1"," No     ","08/19/2016","08/25/2017","3942.05","3942.05","477","03/27/2017"
"0","471","507","      ","507-10-LPMF2","790300000000-MF2","LABELS WITHIN GRAND MODULE M","1","0","02/17/2014","0","02/17/2014"," LO   ","0","1","1"," No     ","08/19/2016","08/25/2017","7.6","7.6","473","01/05/2017"
"0","471","507","      ","507-10-LPMF3","790300000000-MF3","LABELS WITHIN GRAND MODULE M","1","0","04/11/2014","0","04/11/2014"," LO   ","0","1","1"," No     ","08/19/2016","08/25/2017","87.99","87.99","473","01/05/2017"
"1","471","324","      ","324-22-00006-L06","-L06","REPORT, IN-PLANT TEST, IAW A","1","0","06/04/2014","60","04/05/2014"," LO   ","0","1","1"," No     ","04/12/2017","08/25/2017","0","0","467","06/05/2017"
"8017","471","986","      ","986-01-00588","TEST00-000001033","HOSE, 1-1/2"" RUBBER, MAX WOR","120","0","06/07/2013","49","04/19/2013"," LF   ","0","120","120"," No     ","09/08/2015","08/25/2017","8.59","1030.8","469","01/28/2016"
"8018","471","300","      ","300-99-GWTAG","SRV526-031400003","ELECTRICAL TAGS GOODWILL    ","20000","0","06/07/2013","123","02/04/2013"," DOL  ","0","13128.8","13128.8"," No     ","02/24/2015","08/25/2017","1","13128.8","            ",""
"8018","471","992","      ","992-01-VS004","","VSR, MISC. SCAFFOLDING PARTS","1","0","06/07/2013","123","02/04/2013"," DOL  ","0","1","1"," No     ","07/24/2017","08/25/2017","1","1","475","07/26/2017"
"8019","471","110","      ","110-02-A1UD1","SRV521-030300117","VENDOR SERVICES TO ROLL 7MM ","1","0","12/20/2013","123","08/19/2013"," LO   ","0","1","1"," No     ","06/12/2015","08/25/2017","100","100","469","12/20/2013"
"8019","471","150","      ","150-00-DC012","100407-000000001","DETACOUPLE/BIMETALLIC STRIP ","2100","0","06/07/2013","145","01/13/2013"," LF   ","0","606","606"," No     ","03/26/2012","08/25/2017","2.0833","1262.4798","            ",""
"8019","471","167","      ","167-01-00426","611102-000000030","RING, MH, RAISED, 15 X 23   ","27","0","06/07/2013","21","05/17/2013"," EA   ","5","10","10"," No     ","05/31/2012","08/25/2017","115.95","1159.5","            ",""
"8019","471","167","      ","167-01-00427","611208-000000003","COVER, MH, RAISED, 15 X 23  ","46","-13","06/07/2013","21","05/17/2013"," EA   ","0","16","3"," No     ","05/31/2012","08/25/2017","0","0","            ",""
"8019","471","167","      ","167-01-00444","611102-000000025","RING, MH, FL, 15X18, HSLA,  ","5","2","06/07/2013","120","02/07/2013"," EA   ","0","0","2"," No     ","05/31/2012","08/25/2017","0","0","            ",""
"8019","471","167","      ","167-01-00471","610200-000000002","COVER, AVHC, FLUSH, 254MM DI","6","3","06/07/2013","42","04/26/2013"," EA   ","0","5","8"," No     ","05/31/2012","08/25/2017","0","0","            ",""
"8019","471","180","      ","180-23-40001","SRV521-030900367","PLATE, SHIM, RESILIENT MOUNT","16","0","06/07/2013","180","12/09/2012"," EA   ","0","16","16"," No     ","08/25/2014","08/25/2017","150","2400","            ",""
"8019","471","180","      ","180-24-7026B","SRV521-030900572","SRVC, TO PROVIDE BEARING STU","1","0","07/15/2013","123","03/14/2013"," EA   ","0","1","1"," No     ","02/09/2015","08/25/2017","0","0","            ",""
"8019","471","180","      ","180-24-M0001","SRV521-030900573","MACHINING, BEARING SHIMS    ","1","0","06/07/2013","123","02/04/2013"," EA   ","0","1","1"," No     ","07/29/2014","08/25/2017","965","965","465","01/26/2015"
"8019","471","180","      ","180-94-00002","SRV521-030900782","SEAL MNT PLATE, BHD 45      ","2","0","06/07/2013","14","05/24/2013"," EA   ","0","2","2"," No     ","03/27/2013","08/25/2017","578","1156","450","04/22/2010"
"8019","471","180","      ","180-96-00003","SRV521-030900783","SEAL MNT PLATE, BHD 54 & BHD","6","0","06/07/2013","17","05/21/2013"," EA   ","0","6","6"," No     ","03/27/2013","08/25/2017","4320","25920","477","06/16/2015"
"8019","471","201","      ","201-A1-00001","180433-000000006","BASE, MOUNTING GUARD        ","16","16","07/29/2013","42","06/17/2013"," EA   ","0","0","16"," No     ","12/12/2014","08/25/2017","0","0","            ",""
"8019","471","243","      ","243-05-VS001","SRV524-030300003","SERVICE, ROLL PARTS, 4 PARTS","1","0","09/06/2013","123","05/06/2013"," LO   ","0","1","1"," No     ","10/31/2013","08/25/2017","675","675","469","11/04/2013"
"8019","471","321","      ","321-02-00668","SRV526-030600022","SERVICE, VENDOR, TO REMOVE  ","1","0","06/07/2013","123","02/04/2013"," EA   ","0","1","1"," No     ","05/14/2014","08/25/2017","135","135","475","04/21/2016"
"8019","471","512","      ","512-01-00015","SRV527-030500001","HVAC PENETRATION SLEEVE FABR","1","0","06/11/2013","60","04/12/2013"," EA   ","0","1","1"," No     ","04/12/2012","08/25/2017","1645","1645","479","05/11/2017"
"8019","471","612","      ","612-02-0S60A","180203-000000001","SUB ASSEMBLY S60A HINGE ASSY","20","10","05/07/2014","123","01/04/2014"," EA   ","0","0","10"," No     ","05/23/2012","08/25/2017","860","8600","            ",""
"8019","471","612","      ","612-02-0S6AA","725402-000000001","NET FRAME STABILIZER CLIP 6M","64","0","06/29/2014","0","06/29/2014"," EA   ","0","64","64"," No     ","12/19/2012","08/25/2017","0","0","483","04/28/2017"
"8019","471","612","      ","612-02-0S6DA","180204-000000002","SUB ASSEMBLY S6DA LATCH ASSY","38","32","05/07/2014","123","01/04/2014"," EA   ","0","6","38"," No     ","05/23/2012","08/25/2017","200","7600","479","04/17/2017"
"8019","471","612","      ","612-02-0SP01","180200-000000002","PENDANT ASSY WITH TURNBUCKLE","62","7","05/07/2014","123","01/04/2014"," EA   ","0","0","7"," No     ","05/23/2012","08/25/2017","0","0","            ",""
"8019","471","623","      ","623-06-0L3HR","690800-000000010","HANDRAIL L3HR (SKETCH 7C)   ","4","3","04/17/2014","123","12/15/2013"," EA   ","0","0","3"," No     ","05/30/2012","08/25/2017","376.09","1128.27","            ",""
"8019","471","656","      ","656-01-00018","100303-000000001","EXPANDED METAL,ALUM ALLOY,4X","3","0","03/27/2014","180","09/28/2013"," EA   ","0","3","3"," No     ","08/18/2017","08/25/2017","0","0","            ",""
"8019","471","665","      ","665-01-087AD","780800-000000020","VERTICAL RETAINING BRACKET  ","13","0","01/20/2014","0","01/20/2014"," EA   ","0","13","13"," No     ","02/28/2017","08/25/2017","0","0","            ",""
"8019","471","671","      ","671-01-00019","110103-000000001","ROUND BAR,13MM,ALUM,5083-H11","1","0","04/03/2014","180","10/05/2013"," EA   ","0","1","1"," No     ","08/18/2017","08/25/2017","61.95","61.95","10","05/20/2010"
"8019","471","992","      ","992-01-00059","SRV515-030500002","KEEL STANDS FROM C6 CHANNEL ","24","0","06/07/2013","123","02/04/2013"," EA   ","0","24","24"," No     ","05/29/2014","08/25/2017","588","14112","403","07/03/2006"
"8019","471","992","      ","992-01-00060","SRV515-030500003","KEEL STANDS FROM C6 CHANNEL ","16","0","06/07/2013","123","02/04/2013"," EA   ","0","16","16"," No     ","05/29/2014","08/25/2017","445","7120","403","07/12/2006"
"8019","471","127","      ","127-01-53301-L11","-L11","CERTIFICATES, REGULATORY BOD","1","0","08/05/2014","60","06/06/2014"," LO   ","0","1","1"," No     ","05/25/2012","08/25/2017","0","0","481","05/16/2017"
"8019","471","127","      ","127-01-53301-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","0","08/05/2014","60","06/06/2014"," EA   ","0","1","1"," No     ","05/25/2012","08/25/2017","0","0","465","12/09/2011"
"8019","471","127","      ","127-01-53301-L68","-L68","CERTIFICATES, VENDOR WELDING","1","0","08/05/2014","123","04/04/2014"," LO   ","0","1","1"," No     ","05/25/2012","08/25/2017","0","0","481","05/16/2017"
"8019","471","161","      ","161-02-SEG0A-L68","-L68","CERTIFICATES, VENDOR WELDING","1","0","10/14/2013","123","06/13/2013"," LO   ","0","1","1"," No     ","06/12/2015","08/25/2017","0","0","475","04/24/2014"
"8019","471","161","      ","161-02-SEG0B-L68","-L68","CERTIFICATES, VENDOR WELDING","1","0","10/14/2013","123","06/13/2013"," LO   ","0","1","1"," No     ","06/12/2015","08/25/2017","0","0","475","04/24/2014"
