"Buyer","Project","SWBS","Cont Supp","Item","Linked SPN","Description","Original SMOS  Qty","Remaining SMOS  Qty","In Yard Due Date","Lead time","Planned Order Date","UOM","Cust Item On Hand","Cust Item On Order","Cust Item Shortage","On Hold","Entered On Date","Last Mod Date","Last Price","Expected Amount","Compare To Project","Most Recent Order Date"
"8017","473","986","      ","986-01-00588","TEST00-000001033","HOSE, 1-1/2"" RUBBER, MAX WOR","120","120","01/20/2014","49","12/02/2013"," LF   ","0","0","120"," No     ","09/08/2015","08/28/2017","8.59","1030.8","469","01/28/2016"
"8017","473","259","      ","259-05-SP002-L06","            -L06","REPORT, IN-PLANT TEST       ","1","1","03/21/2014","60","01/20/2014"," LO   ","0","0","1"," No     ","04/30/2013","08/28/2017","0.01","0.01","450","07/16/2009"
"8017","473","259","      ","259-05-SP002-L50","            -L50","CERTIFICATES, CONSTRUCTION  ","1","1","03/21/2014","60","01/20/2014"," LO   ","0","0","1"," No     ","04/30/2013","08/28/2017","0.01","0.01","450","07/16/2009"
"8017","473","259","      ","259-05-SP002-L68","            -L68","CERTIFICATES, VENDOR WELDING","1","1","03/21/2014","123","11/18/2013"," LO   ","0","0","1"," No     ","04/30/2013","08/28/2017","0","0","            ",""
"8018","473","610","      ","610-00-00002","SRV525-032200005","SRVC, FIRE EXTINGUISHERS, FI","1","1","01/20/2014","123","09/19/2013"," LO   ","0","0","1"," No     ","08/03/2017","08/28/2017","0","0","            ",""
"8018","473","992","      ","992-01-VS004","                ","VSR, MISC. SCAFFOLDING PARTS","1","1","01/20/2014","123","09/19/2013"," DOL  ","0","0","1"," No     ","07/24/2017","08/28/2017","1","1","475","07/26/2017"
"8019","473","167","      ","167-01-00449","611208-000000002","COVER, MH, FL, 15 X 18      ","5","3","01/20/2014","60","11/21/2013"," EA   ","0","0","3"," No     ","03/10/2014","08/28/2017","0","0","            ",""
"8019","473","180","      ","180-24-7026B","SRV521-030900572","SRVC, TO PROVIDE BEARING STU","1","1","02/28/2014","123","10/28/2013"," EA   ","0","0","1"," No     ","06/12/2015","08/28/2017","0","0","            ",""
"8019","473","180","      ","180-24-M0001","SRV521-030900573","MACHINING, BEARING SHIMS    ","1","1","01/20/2014","123","09/19/2013"," EA   ","0","0","1"," No     ","07/29/2014","08/28/2017","965","965","465","01/26/2015"
"8019","473","180","      ","180-94-00002","SRV521-030900782","SEAL MNT PLATE, BHD 45      ","2","2","01/20/2014","14","01/06/2014"," EA   ","0","0","2"," No     ","12/04/2013","08/28/2017","578","1156","450","04/22/2010"
