"Buyer","Project","SWBS","Cont Supp","Item","LinkedSPN","Description","Original SMOS  Qty","Remaining SMOS  Qty","In Yard Due Date","Lead time","Planned Order Date","UOM","Cust Item On Hand","Cust Item On Order","Cust Item Shortage","On Hold","Entered On Date","Last Mod Date","Last Price","Expected Amount"
"8028","475","002","      ","HPR-09393-01","330408-000000056","LTG KIT, GAS TURBINE MACH RM","1","1","03/11/2016","56","01/15/2016"," EA   ","0","0","1"," No     ","03/11/2016","03/11/2016","0","0"
"8026","475","008","      ","008-01-00001","SRV300-010200001","SERVICES, MODULE DELIVERY IA","1","1","10/15/2014","123","06/14/2014"," LO   ","0","0","1"," No     ","10/06/2014","05/29/2017","0","0"
"8021","475","042","      ","042-01-00061","SRV520-012000101","CLEANING SERVICES FOR LCS   ","8","8","10/15/2014","123","06/14/2014"," EA   ","0","0","8"," No     ","03/19/2014","05/29/2017","0","0"
"8026","475","042","      ","042-01-00003","SRV520-031900001","SRVC, PHOTOGRAPHY, CLOSE-OUT","1","1","10/15/2014","123","06/14/2014"," LO   ","0","0","1"," No     ","04/14/2016","05/29/2017","0","0"
"8026","475","073","      ","073-01-00002","SRV533-011000001","SRVC, AIRBORNE NOISE & VIBRA","1","1","10/15/2014","100","07/07/2014"," LO   ","0","0","1"," No     ","02/26/2016","05/29/2017","0","0"
"8020","475","110","      ","13-1630200420","13-1630200420","ANGLE, 3"" X 2"" X 1/4"" X 20',","55","9.9","10/15/2014","90","07/17/2014"," EA   ","0.9","10.1","20"," No     ","11/19/2013","05/29/2017","55","1100"
"8020","475","110","      ","15-16M0600440","15-16M0600440","BEAM, 6"" X 4.4# X 40', M SHA","192","88","10/15/2014","145","05/23/2014"," EA   ","0","0","88"," No     ","12/03/2013","05/29/2017","127.9642","11260.8496"
"8020","475","110","      ","15-16M1201140","15-16M1201140","BEAM, 12"" X 11.8# X 40', M S","100","23","10/15/2014","145","05/23/2014"," EA   ","0","0","23"," No     ","12/03/2013","05/29/2017","225.02","5175.46"
"8020","475","110","      ","15-16W1201440","15-16W1201440","BEAM, 12"" X 14# X 40', W SHA","60","34","10/15/2014","145","05/23/2014"," EA   ","0","0","34"," No     ","12/03/2013","05/29/2017","253.71","8626.14"
"8020","475","110","      ","15-16W1201640","15-16W1201640","BEAM, 12"" X 16# X 40', W SHA","70","34","10/15/2014","145","05/23/2014"," EA   ","0","0","34"," No     ","12/03/2013","05/29/2017","289.02","9826.68"
"8025","475","110","      ","110-00-00020","110101-000000001","FLAT BAR, STL, A-36, 1/4""X1""","4","4","10/15/2014","240","02/17/2014"," EA   ","0","0","4"," No     ","06/12/2015","05/29/2017","15.17","60.68"
"8034","475","110","      ","15-16S0601220","15-16S0601220","BEAM, 6"" X 12.5# X 20', S SH","1","1","10/15/2014","123","06/14/2014"," EA   ","0","0","1"," No     ","05/03/2017","05/29/2017","0","0"
"8045","475","110","      ","11-13M040T40","11-13M040T40","PLATE, 4MM X 96"" X 40', STEE","136","1","10/15/2014","180","04/18/2014"," EA   ","0","0","1"," No     ","12/20/2013","05/29/2017","1736","1736"
"8045","475","110","      ","11-13M060T40","11-13M060T40","PLATE, 6MM X 96"" X 40', STEE","11","2","10/15/2014","180","04/18/2014"," EA   ","0","0","2"," No     ","12/20/2013","05/29/2017","1504.68","3009.36"
"8045","475","110","      ","11-13M160T40","11-13M160T40","PLATE, 16MM X 96"" X 40', STE","5","1","10/15/2014","180","04/18/2014"," EA   ","0","0","1"," No     ","12/20/2013","05/29/2017","3852.31","3852.31"
"8045","475","110","      ","11-13M410T40","11-13M410T40","PLATE, 41MM X 96"" X 40', STE","1","1","10/15/2014","180","04/18/2014"," EA   ","0","0","1"," No     ","12/20/2013","05/29/2017","8205.57","8205.57"
"8045","475","110","      ","11-14M125T40","11-14M125T40","PLATE, 12.5MM(20.1#) X 96"" X","10","2","10/15/2014","180","04/18/2014"," EA   ","0","0","2"," No     ","12/20/2013","05/29/2017","8978.23","17956.46"
