"Buyer","Project","SWBS","Cont Supp","Item","Linked SPN","Description","Original SMOS  Qty","Remaining SMOS  Qty","In Yard Due Date","Lead time","Planned Order Date","UOM","Cust Item On Hand","Cust Item On Order","Cust Item Shortage","On Hold","Entered On Date","Last Mod Date","Last Price","Expected Amount"
"8017","479","169","      ","169-99-COCNG","SRV521-011500003","AUTHORIZED CHANGE           ","1","1","08/08/2016","123","04/07/2016"," LO   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8017","479","259","      ","259-06-00700","110601-000000001","DRILL ROD, 19/32 DIA, 3' LON","1","1","05/02/2016","240","09/05/2015"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8017","479","665","      ","665-05-10007","SRV525-030600107","MATERIAL AND LABOR TO INSTAL","1","1","12/14/2015","123","08/13/2015"," LO   ","0","0","1"," No     ","03/11/2015","05/29/2017","0","0"
"8017","479","986","      ","986-01-TP016","580000-000000008","BELLOW ALIGN SP0OL, 1-1/2"", ","4","0","02/04/2016","123","10/04/2015"," EA   ","0","4","4"," No     ","02/11/2016","05/29/2017","0","0"
"8017","479","986","      ","986-01-TP017","580000-000000001","BELLOW ALIGN SP0OL, 3"", ALUM","2","0","02/04/2016","123","10/04/2015"," EA   ","0","2","2"," No     ","02/11/2016","05/29/2017","0","0"
"8017","479","986","      ","986-01-TP018","580000-000000002","BELLOW ALIGN SP0OL, 4"", ALUM","2","0","02/22/2016","123","10/22/2015"," EA   ","0","2","2"," No     ","02/11/2016","05/29/2017","0","0"
"8017","479","986","      ","986-01-TP019","580000-000000003","BELLOW ALIGN SP0OL, 5"", ALUM","4","0","02/04/2016","123","10/04/2015"," EA   ","0","4","4"," No     ","02/11/2016","05/29/2017","0","0"
"8017","479","986","      ","986-01-TP020","580000-000000004","BELLOW ALIGN SP0OL, 8"", ALUM","6","-2","02/04/2016","123","10/04/2015"," EA   ","0","8","6"," No     ","02/11/2016","05/29/2017","0","0"
"8017","479","986","      ","986-01-TP021","580000-000000006","BELLOW ALIGN SP0OL, 10"", ALU","2","0","02/04/2016","123","10/04/2015"," EA   ","0","2","2"," No     ","02/11/2016","05/29/2017","0","0"
"8017","479","202","      ","202-01-00055-L26","            -L26","CERTIFICATE, IDENTICALITY   ","1","1","12/14/2015","60","10/15/2015"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8017","479","202","      ","202-01-00056-L26","            -L26","CERTIFICATE, IDENTICALITY   ","1","1","12/14/2015","60","10/15/2015"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8017","479","202","      ","202-01-00057-L26","            -L26","CERTIFICATE, IDENTICALITY   ","1","1","12/14/2015","60","10/15/2015"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8017","479","256","      ","256-01-HA070-L50","            -L50","CERTIFICATES, CONSTRUCTION  ","1","1","05/02/2016","60","03/03/2016"," LO   ","0","0","1"," No     ","06/30/2015","05/29/2017","0","0"
"8017","479","259","      ","259-05-SP001-L06","            -L06","REPORT, IN-PLANT TEST       ","1","1","01/12/2016","60","11/13/2015"," LO   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8018","479","439","      ","439-01-00036","382100000079-001","1:2 VGA HUB, GAFEN INC      ","1","1","12/14/2015","123","08/13/2015"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8019","479","150","      ","150-00-00011","100402-000000005","PLATE, CRES 2205, 2' X 3'   ","3","2","12/14/2015","180","06/17/2015"," EA   ","0","0","2"," No     ","02/24/2015","05/29/2017","0","0"
"8019","479","150","      ","150-00-00029","100402447601-E04","PLATE, 3'X4', 61.2#, CRES 22","2","1","07/10/2017","180","01/11/2017"," EA   ","0","0","1"," No     ","04/13/2016","05/29/2017","0","0"
"8019","479","150","      ","150-00-DC012","100407-000000001","DETACOUPLE/BIMETALLIC STRIP ","2100","397","12/14/2015","145","07/22/2015"," LF   ","325","0","90"," No     ","02/24/2015","05/29/2017","1.6666","149.994"
"8019","479","161","      ","161-02-SEGAB","090300-000000001","ASSEMBLY CONSISTING OF      ","1","1","09/20/2016","123","05/20/2016"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8019","479","167","      ","167-01-00427","611208-000000003","COVER, MH, RAISED, 15 X 23  ","36","32","12/14/2015","21","11/23/2015"," EA   ","28","0","4"," No     ","08/07/2015","05/29/2017","35.65","142.6"
"8019","479","180","      ","180-23-00001","SRV521-030900804","SHIM, STBD MPDE, MACHININING","1","1","04/25/2016","123","12/24/2015"," EA   ","0","0","1"," No     ","04/14/2017","05/29/2017","0","0"
"8019","479","180","      ","180-23-00002","SRV521-032200343","SHIM, PORT MPDE, MACHININING","1","1","04/25/2016","123","12/24/2015"," EA   ","0","0","1"," No     ","04/14/2017","05/29/2017","0","0"
"8019","479","180","      ","180-23-09T01","SRV521-030900109","SHIM, STBD GAS TURBINE      ","1","1","12/14/2015","123","08/13/2015"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8019","479","180","      ","180-23-09T02","SRV521-030900110","SHIM, STBD GAS TURBINE      ","1","1","12/14/2015","123","08/13/2015"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8019","479","180","      ","180-23-09T03","SRV521-030900111","SHIM, STBD GAS TURBINE      ","1","1","12/14/2015","123","08/13/2015"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8019","479","180","      ","180-23-09T04","SRV521-030900112","SHIM, STBD GAS TURBINE      ","1","1","12/14/2015","123","08/13/2015"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8019","479","180","      ","180-23-09T05","SRV521-030900113","SHIM, STBD GAS TURBINE      ","1","1","12/14/2015","123","08/13/2015"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8019","479","180","      ","180-23-09T06","SRV521-030900114","SHIM, STBD GAS TURBINE      ","1","1","12/14/2015","123","08/13/2015"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8019","479","180","      ","180-23-09T07","SRV521-030900115","SHIM, STBD GAS TURBINE      ","1","1","12/14/2015","123","08/13/2015"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
