"Buyer","Project","SWBS","Cont Supp","Item","Linked SPN","Description","Original SMOS  Qty","Remaining SMOS  Qty","In Yard Due Date","Lead time","Planned Order Date","UOM","Cust Item On Hand","Cust Item On Order","Cust Item Shortage","On Hold","Entered On Date","Last Mod Date","Last Price","Expected Amount"
"8017","481","169","      ","169-99-COCNG","SRV521-011500003","AUTHORIZED CHANGE           ","1","1","02/14/2017","123","10/14/2016"," LO   ","0","0","1"," No     ","07/23/2015","05/29/2017","0","0"
"8017","481","259","      ","259-06-00700","110601-000000001","DRILL ROD, 19/32 DIA, 3' LON","1","1","11/07/2016","240","03/12/2016"," EA   ","0","0","1"," No     ","07/23/2015","05/29/2017","0","0"
"8017","481","665","      ","665-05-10007","SRV525-030600107","MATERIAL AND LABOR TO INSTAL","1","1","06/30/2016","123","02/28/2016"," LO   ","0","0","1"," No     ","07/23/2015","05/29/2017","0","0"
"8017","481","986","      ","986-01-TP016","580000-000000008","BELLOW ALIGN SP0OL, 1-1/2"", ","4","4","09/06/2016","123","05/06/2016"," EA   ","0","0","4"," No     ","02/11/2016","05/29/2017","0","0"
"8017","481","986","      ","986-01-TP017","580000-000000001","BELLOW ALIGN SP0OL, 3"", ALUM","2","2","09/06/2016","123","05/06/2016"," EA   ","0","0","2"," No     ","02/11/2016","05/29/2017","0","0"
"8017","481","986","      ","986-01-TP018","580000-000000002","BELLOW ALIGN SP0OL, 4"", ALUM","2","2","12/01/2016","123","07/31/2016"," EA   ","0","0","2"," No     ","02/11/2016","05/29/2017","0","0"
"8017","481","986","      ","986-01-TP019","580000-000000003","BELLOW ALIGN SP0OL, 5"", ALUM","4","4","09/06/2016","123","05/06/2016"," EA   ","0","0","4"," No     ","02/11/2016","05/29/2017","0","0"
"8017","481","986","      ","986-01-TP020","580000-000000004","BELLOW ALIGN SP0OL, 8"", ALUM","6","4","09/06/2016","123","05/06/2016"," EA   ","0","2","6"," No     ","02/11/2016","05/29/2017","0","0"
"8017","481","986","      ","986-01-TP021","580000-000000006","BELLOW ALIGN SP0OL, 10"", ALU","2","2","09/06/2016","123","05/06/2016"," EA   ","0","0","2"," No     ","02/11/2016","05/29/2017","0","0"
"8017","481","202","      ","202-01-00055-L26","            -L26","CERTIFICATE, IDENTICALITY   ","1","1","06/30/2016","60","05/01/2016"," EA   ","0","0","1"," No     ","07/23/2015","05/29/2017","0","0"
"8017","481","202","      ","202-01-00056-L26","            -L26","CERTIFICATE, IDENTICALITY   ","1","1","06/30/2016","60","05/01/2016"," EA   ","0","0","1"," No     ","07/23/2015","05/29/2017","0","0"
"8017","481","202","      ","202-01-00057-L26","            -L26","CERTIFICATE, IDENTICALITY   ","1","1","06/30/2016","60","05/01/2016"," EA   ","0","0","1"," No     ","07/23/2015","05/29/2017","0","0"
"8018","481","167","      ","167-01-00100","728900-000000001","DEADBOLT, SLIDING, 1"" BOLT  ","2","0","06/30/2016","14","06/16/2016"," EA   ","0","2","2"," No     ","07/23/2015","05/29/2017","119.95","239.9"
"8018","481","439","      ","439-01-00036","382100000079-001","1:2 VGA HUB, GAFEN INC      ","1","1","06/30/2016","123","02/28/2016"," EA   ","0","0","1"," No     ","07/23/2015","05/29/2017","0","0"
"8019","481","127","      ","127-01-25601","160200-000000003","TANK, MPDE, JACKET WATER    ","2","2","06/19/2017","123","02/16/2017"," EA   ","0","0","2"," No     ","07/23/2015","05/29/2017","5520.49","11040.98"
"8019","481","127","      ","127-01-26101","160200-000000004","TANK, SSDG FUEL SERVICE PORT","1","1","04/21/2017","23","03/29/2017"," EA   ","0","0","1"," No     ","07/23/2015","05/29/2017","15640.44","15640.44"
"8019","481","127","      ","127-01-26102","160200-000000005","TANK, SSDG FUEL SERVICE     ","1","1","04/21/2017","23","03/29/2017"," EA   ","0","0","1"," No     ","07/23/2015","05/29/2017","15640.44","15640.44"
"8019","481","127","      ","127-01-26103","160200-000000006","TANK, MAIN PROPULSION FUEL  ","2","2","06/19/2017","123","02/16/2017"," EA   ","0","0","2"," No     ","07/23/2015","05/29/2017","6353.38","12706.76"
"8019","481","127","      ","127-01-26201","160200-000000007","TANK, SSDG LUBE OIL STORAGE ","1","1","04/21/2017","23","03/29/2017"," EA   ","0","0","1"," No     ","07/23/2015","05/29/2017","6544.46","6544.46"
