"Buyer","Project","SWBS","Cont Supp","Item","LinkedSPN","Description","Original SMOS  Qty","Remaining SMOS  Qty","In Yard Due Date","Lead time","Planned Order Date","UOM","Cust Item On Hand","Cust Item On Order","Cust Item Shortage","On Hold","Entered On Date","Last Mod Date","Last Price","Expected Amount"
"8017","483","169","      ","169-99-COCNG","SRV521-011500003","AUTHORIZED CHANGE           ","1","1","08/12/2017","123","04/11/2017"," LO   ","0","0","1"," No     ","08/07/2015","05/31/2017","0","0"
"8017","483","259","      ","259-06-00700","110601-000000001","DRILL ROD, 19/32 DIA, 3' LON","1","1","05/22/2017","240","09/24/2016"," EA   ","0","0","1"," No     ","08/07/2015","05/31/2017","0","0"
"8017","483","665","      ","665-05-10007","SRV525-030600107","MATERIAL AND LABOR TO INSTAL","1","1","01/18/2017","123","09/17/2016"," LO   ","0","0","1"," No     ","08/07/2015","05/31/2017","0","0"
"8017","483","986","      ","986-01-TP016","580000-000000008","BELLOW ALIGN SPOOL, 1-1/2"", ","4","4","03/23/2017","123","11/20/2016"," EA   ","0","0","4"," No     ","02/11/2016","05/31/2017","0","0"
"8017","483","986","      ","986-01-TP017","580000-000000001","BELLOW ALIGN SPOOL, 3"", ALUM","2","2","03/23/2017","123","11/20/2016"," EA   ","0","0","2"," No     ","02/11/2016","05/31/2017","0","0"
"8017","483","986","      ","986-01-TP018","580000-000000002","BELLOW ALIGN SPOOL, 4"", ALUM","2","2","06/12/2017","123","02/09/2017"," EA   ","0","0","2"," No     ","02/11/2016","05/31/2017","0","0"
"8017","483","986","      ","986-01-TP019","580000-000000003","BELLOW ALIGN SPOOL, 5"", ALUM","4","4","03/23/2017","123","11/20/2016"," EA   ","0","0","4"," No     ","02/11/2016","05/31/2017","0","0"
"8017","483","986","      ","986-01-TP020","580000-000000004","BELLOW ALIGN SPOOL, 8"", ALUM","6","6","03/23/2017","123","11/20/2016"," EA   ","0","0","6"," No     ","02/11/2016","05/31/2017","0","0"
"8017","483","986","      ","986-01-TP021","580000-000000006","BELLOW ALIGN SPOOL, 10"", ALU","2","2","03/23/2017","123","11/20/2016"," EA   ","0","0","2"," No     ","02/11/2016","05/31/2017","0","0"
"8017","483","202","      ","202-01-00055-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","01/18/2017","60","11/19/2016"," EA   ","0","0","1"," No     ","08/07/2015","05/31/2017","0","0"
"8017","483","202","      ","202-01-00056-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","01/18/2017","60","11/19/2016"," EA   ","0","0","1"," No     ","08/07/2015","05/31/2017","0","0"
"8017","483","202","      ","202-01-00057-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","01/18/2017","60","11/19/2016"," EA   ","0","0","1"," No     ","08/07/2015","05/31/2017","0","0"
"8017","483","259","      ","259-05-SP001-L06","-L06","REPORT, IN-PLANT TEST       ","1","1","02/08/2017","60","12/10/2016"," LO   ","0","0","1"," No     ","08/07/2015","05/31/2017","0","0"
"8018","483","167","      ","167-01-00100","728900-000000001","DEADBOLT, SLIDING, 1"" BOLT  ","2","2","01/18/2017","14","01/04/2017"," EA   ","0","0","2"," No     ","08/07/2015","05/31/2017","0","0"
"8018","483","439","      ","439-01-00036","382100000079-001","1:2 VGA HUB, GAFEN INC      ","1","1","01/18/2017","123","09/17/2016"," EA   ","0","0","1"," No     ","08/07/2015","05/31/2017","0","0"
"8018","483","583","      ","583-01-00047","704300-000000007","STRAP ASSEMBLY              ","2","2","04/09/2018","30","03/10/2018"," EA   ","0","0","2"," No     ","08/07/2015","05/31/2017","140.81","281.62"
"8018","483","622","      ","622-01-00003","701927-000000002","STANDARD CONNECTING LINK, 6.","472","472","12/06/2017","30","11/06/2017"," EA   ","0","0","472"," No     ","06/22/2015","05/31/2017","12.97","6121.84"
"8019","483","110","      ","110-01-08633","SRV521-032200436","VNDR SRVC, TO CUT ALL PARTS ","1","1","05/29/2017","123","01/26/2017"," EA   ","0","0","1"," No     ","01/25/2016","05/31/2017","9700","9700"
"8019","483","110","      ","110-01-A1L00","SRV521-030300104","VENDOR SERVICES TO CUT PARTS","1","1","01/18/2017","123","09/17/2016"," LO   ","0","0","1"," No     ","08/07/2015","05/31/2017","6201.11","6201.11"
"8019","483","110","      ","110-01-A2LB1","SRV521-030300106","VENDOR SERVICE TO CUT PARTS ","1","1","01/18/2017","123","09/17/2016"," LO   ","0","0","1"," No     ","08/07/2015","05/31/2017","4800","4800"
"8019","483","110","      ","110-01-S2LE1","SRV521-030300115","VENDOR SERVICES TO CUT PARTS","1","1","05/29/2017","123","01/26/2017"," LO   ","0","0","1"," No     ","08/07/2015","05/31/2017","1250","1250"
