"Proj.","FM","HB","Seq","SWBS","Prod. Order","Opr","Task","WS/T","ECP/REA","Item","Description","Earliest Start Dt","Earliest End Date","BUDGET","% PROG","EARNED HOURS","ACTUAL","EAC"
"MFG","","","","","","","","","","","","","","","","","",""
"477","5","477","900","992","116542","10","20","    ","          ","       0477-0901","LCS 17 BOAT TEMPORARY SERVICES","        ","        ","0","95","0","305.14","370.14"
"477","6","477","P     ","0","116241","10","2","    ","          ","       0477-0908","LCS 17 LEAD DUTIES & MEETINGS ","        ","        ","0","99","0","267.54","270.24"
"477","1","D1S ","D1SD4 ","0","116765","10","4","    ","263","    D1S00-500003","LCS 17 D1SD4 INSTGRP500 SOC2.2","        ","        ","220","100","220","282.77","282.77"
"477","1","D1S ","D1SD1 ","505","116785","10","4","    ","259","    D1S00-500001","LCS 17 D1SD1 INST GP500 SOC2.2","        ","        ","225","100","225","430.52","430.52"
"477","1","D1S ","D1SD2 ","505","116794","10","4","    ","261","    D1S00-500002","LCS 17 D1SD2 INST GP500 SOC2.2","        ","        ","312.5","100","312.5","299.5","299.5"
"477","1","D1S ","D1SD3 ","505","116766","10","4","    ","262","    D1S00-500010","LCS 17 D1SD3 INSTL 500 HOTWORK","        ","        ","140","100","140","218.06","218.06"
"477","1","D1S ","D1SD3 ","505","0","10","4","    ","262","    D1SD3-505002","LCS 17 D1SD3 INST ANTICE HNGR ","        ","        ","467","0","0","0","0"
"477","1","D1S ","D1SD4 ","505","0","10","4","    ","263","    D1SD4-505002","LCS 17 D1SD4 INST ANTICE HNGR ","        ","        ","467","0","0","0","0"
"477","2","D1S ","D1SD2 ","150","116738","10","4","    ","163","    D1S00-150066","LCS 17 D1SD2 CONSTRCT FIT BS_1","        ","        ","10","100","10","38","38"
"477","2","D1S ","D1SD2 ","150","116739","10","4","    ","164","    D1S00-150067","LCS 17 D1SD2 CONSTRT WELD BS_1","        ","        ","41","100","41","14.5","14.5"
"477","2","D1S ","D1SD2 ","150","116740","10","4","    ","165","    D1S00-150068","LCS 17 D1SD2 CONSTRCT FIT BS_2","        ","        ","209","100","209","100.52","100.52"
"477","2","D1S ","D1SD2 ","150","116741","10","4","    ","166","    D1S00-150069","LCS 17 D1SD2 CONSTRT WELD BS_2","        ","        ","162","100","162","0","0"
"477","2","D1S ","D1SD2 ","150","116742","10","4","    ","167","    D1S00-150070","LCS 17 D1SD2 CONSTRCT FIT BS_3","        ","        ","322","100","322","357.95","357.95"
"477","2","D1S ","D1SD2 ","150","116743","10","4","    ","168","    D1S00-150071","LCS 17 D1SD2 CONSTRT WELD BS_3","        ","        ","481","100","481","327.02","327.02"
"477","2","D1S ","D1SD4 ","150","116676","10","4","    ","228","    D1S00-150042","LCS 17 D1SD4 CONSTRCT FIT BS_1","        ","        ","51.5","100","51.5","62","62"
"477","2","D1S ","D1SD4 ","150","116677","10","4","    ","229","    D1S00-150043","LCS 17 D1SD4 CONSTRT WELD BS_1","        ","        ","18.5","100","18.5","0","0"
"477","2","D1S ","D1SD4 ","150","116678","10","4","    ","230","    D1S00-150044","LCS 17 D1SD4 CONSTRCT FIT BS_2","        ","        ","150","100","150","166","166"
"477","2","D1S ","D1SD4 ","150","116679","10","4","    ","231","    D1S00-150045","LCS 17 D1SD4 CONSTRT WELD BS_2","        ","        ","184","100","184","253.02","253.02"
"477","2","D1S ","D1SD4 ","150","116680","10","4","    ","232","    D1S00-150046","LCS 17 D1SD4 CONSTRCT FIT BS_3","        ","        ","48","100","48","24","24"
"477","2","D1S ","D1SD4 ","150","116681","10","4","    ","233","    D1S00-150047","LCS 17 D1SD4 CONSTRT WELD BS_3","        ","        ","72","100","72","0","0"
"477","2","D1S ","D1SD4 ","150","116865","10","4","    ","277","    D1S00-150086","LCS 17 D1SD4 TOPSIDE POST ACE ","        ","        ","50","100","50","20","20"
"477","2","D1S ","D1SD3 ","150","116892","10","4","    ","284","    D1S00-150050","LCS 17 D1SD3/D4 STK FIT HRS   ","03/16/2015","        ","66.5","100","66.5","103.98","103.98"
"477","2","D1S ","D1SD4 ","150","116893","10","4","    ","285","    D1S00-150051","LCS 17 D1SD3/D4 STK WELD HRS  ","03/16/2015","        ","202.5","100","202.5","144.45","144.45"
"477","2","D1S ","D1SD2 ","512","116774","10","4","    ","83","    D1S00-512008","LCS 17 D1SD2 INSTL 512 LOUVERS","        ","        ","7","100","7","64.03","64.03"
"477","2","D1S ","D1SD2 ","625","116858","10","4","    ","275","    D1SD2-625001","LCS 17 D1SD2 DRL WND WIPR PH  ","        ","        ","48","100","48","31","31"
"477","2","D1S ","D1SD2 ","992","116746","10","4","    ","171","    D1S00-992004","LCS 17 D1SD2 INST ROL STRUCTRE","        ","        ","86.5","100","86.5","59.5","59.5"
"477","2","D1S ","D1SD4 ","992","116684","10","19","    ","236","    D1S00-992010","LCS 17 D1SD4 INST ROL STRUCTRE","        ","        ","60","100","60","42.95","42.95"
"477","3","D1S ","D1SD1 ","150","116697","10","4","    ","96","    D1S00-150001","LCS 17 D1SD1 SUB ASSY A       ","        ","        ","8","100","8","5.5","5.5"
"477","3","D1S ","D1SD1 ","150","116698","10","4","    ","97","    D1S00-150002","LCS 17 D1SD1 SUB ASSY C       ","        ","        ","80","100","80","62.11","62.11"
"477","3","D1S ","D1SD1 ","150","116699","10","4","    ","98","    D1S00-150003","LCS 17 D1SD1 SUB ASSY G       ","        ","        ","5","100","5","6.52","6.52"
"477","3","D1S ","D1SD1 ","150","116700","10","4","    ","99","    D1S00-150004","LCS 17 D1SD1 SUB ASSY M       ","        ","        ","156","100","156","171","171"
"477","3","D1S ","D1SD1 ","150","116701","10","4","    ","100","    D1S00-150005","LCS 17 D1SD1 SUB ASSY N       ","        ","        ","65","100","65","104.13","104.13"
"477","3","D1S ","D1SD1 ","150","116704","10","4","    ","103","    D1S00-150008","LCS 17 D1SD1 MAJ ASSY S1      ","        ","        ","88","100","88","108.97","108.97"
"477","3","D1S ","D1SD1 ","150","116705","10","4","    ","104","    D1S00-150009","LCS 17 D1SD1 MAJ ASSY S2      ","        ","        ","110","100","110","66","66"
"477","3","D1S ","D1SD1 ","150","116706","10","4","    ","105","    D1S00-150010","LCS 17 D1SD1 MAJ ASSY S3      ","        ","        ","294","100","294","240.42","240.42"
"477","3","D1S ","D1SD1 ","150","116707","10","4","    ","106","    D1S00-150011","LCS 17 D1SD1 MAJ ASSY S4      ","        ","        ","294","100","294","231.57","231.57"
"477","3","D1S ","D1SD1 ","150","116708","10","4","    ","108","    D1S00-150052","LCS 17 D1SD1 MAJ ASSY T1      ","        ","        ","14","100","14","12","12"
"477","3","D1S ","D1SD1 ","150","116709","10","4","    ","109","    D1S00-150053","LCS 17 D1SD1 MAJ ASSY T2      ","        ","        ","12.75","100","12.75","20.44","20.44"
"477","3","D1S ","D1SD1 ","150","116710","10","4","    ","110","    D1S00-150054","LCS 17 D1SD1 MAJ ASSY T3      ","        ","        ","63","100","63","40.5","40.5"
"477","3","D1S ","D1SD1 ","150","116711","10","4","    ","111","    D1S00-150055","LCS 17 D1SD1 MAJ ASSY T4      ","        ","        ","28","100","28","48.5","48.5"
"477","3","D1S ","D1SD2 ","150","116724","10","4","    ","148","    D1S00-150012","LCS 17 D1SD2 SUB ASSY A       ","        ","        ","11","100","11","4.53","4.53"
"477","3","D1S ","D1SD2 ","150","116725","10","4","    ","149","    D1S00-150013","LCS 17 D1SD2 SUB ASSY C       ","        ","        ","78","100","78","108","108"
"477","3","D1S ","D1SD2 ","150","116726","10","4","    ","150","    D1S00-150014","LCS 17 D1SD2 SUB ASSY M       ","        ","        ","365","100","365","157.93","157.93"
"477","3","D1S ","D1SD2 ","150","116727","10","4","    ","151","    D1S00-150015","LCS 17 D1SD2 SUB ASSY N       ","        ","        ","110","100","110","71.55","71.55"
"477","3","D1S ","D1SD2 ","150","116730","10","4","    ","154","    D1S00-150018","LCS 17 D1SD2 MAJ ASSY S1      ","        ","        ","51","100","51","61.54","61.54"
"477","3","D1S ","D1SD2 ","150","116731","10","4","    ","155","    D1S00-150019","LCS 17 D1SD2 MAJ ASSY S2      ","        ","        ","24","100","24","50","50"
"477","3","D1S ","D1SD2 ","150","116732","10","4","    ","156","    D1S00-150020","LCS 17 D1SD2 MAJ ASSY S3      ","        ","        ","178","100","178","223.98","223.98"
"477","3","D1S ","D1SD2 ","150","116733","10","4","    ","157","    D1S00-150021","LCS 17 D1SD2 MAJ ASSY S4      ","        ","        ","300","100","300","264.75","264.75"
"477","3","D1S ","D1SD2 ","150","116734","10","4","    ","159","    D1S00-150062","LCS 17 D1SD2 MAJ ASSY T1      ","        ","        ","8","100","8","7","7"
"477","3","D1S ","D1SD2 ","150","116735","10","4","    ","160","    D1S00-150063","LCS 17 D1SD2 MAJ ASSY T2      ","        ","        ","6","100","6","11","11"
"477","3","D1S ","D1SD2 ","150","116736","10","4","    ","161","    D1S00-150064","LCS 17 D1SD2 MAJ ASSY T3      ","        ","        ","3","100","3","6","6"
"477","3","D1S ","D1SD2 ","150","116737","10","4","    ","162","    D1S00-150065","LCS 17 D1SD2 MAJ ASSY T4      ","        ","        ","6","100","6","22","22"
"477","3","D1S ","D1SD4 ","150","116669","10","4","    ","220","    D1S00-150030","LCS 17 D1SD4 SUB ASSY M       ","        ","        ","25","100","25","51.5","51.5"
"477","3","D1S ","D1SD4 ","150","116670","10","4","    ","221","    D1S00-150031","LCS 17 D1SD4 SUB ASSY N       ","        ","        ","112","100","112","131.53","131.53"
"477","3","D1S ","D1SD4 ","150","116673","10","4","    ","224","    D1S00-150034","LCS 17 D1SD4 MAJ ASSY S1      ","        ","        ","91","100","91","64","64"
"477","3","D1S ","D1SD4 ","150","116674","10","4","    ","225","    D1S00-150035","LCS 17 D1SD4 MAJ ASSY S2      ","        ","        ","87","100","87","48.5","48.5"
"477","3","D1S ","D1SD4 ","150","116675","10","4","    ","227","    D1S00-150041","LCS 17 D1SD4 MAJ ASSY T1      ","        ","        ","13.5","100","13.5","10","10"
"477","3","D1S ","D1SD3 ","150","116647","10","4","    ","130","    D1S00-150022","LCS 17 D1SD3 SUB ASSY C       ","05/07/2015","        ","10","100","10","0","0"
"477","3","D1S ","D1SD3 ","150","116648","10","4","    ","131","    D1S00-150023","LCS 17 D1SD3 SUB ASSY G       ","05/07/2015","        ","10","100","10","0","0"
"477","3","D1S ","D1SD3 ","150","116645","10","4","    ","132","    D1S00-150024","LCS 17 D1SD3 SUB ASSY M       ","05/07/2015","        ","115","100","115","163.18","163.18"
"477","3","D1S ","D1SD3 ","150","116646","10","4","    ","133","    D1S00-150025","LCS 17 D1SD3 SUB ASSY N       ","05/07/2015","        ","121","100","121","92.48","92.48"
"477","3","D1S ","D1SD3 ","150","116649","10","4","    ","136","    D1S00-150028","LCS 17 D1SD3 MAJ ASSY S1      ","05/07/2015","        ","27","100","27","34","34"
"477","3","D1S ","D1SD3 ","150","116650","10","4","    ","137","    D1S00-150029","LCS 17 D1SD3 MAJ ASSY S2      ","05/07/2015","        ","42","100","42","23.5","23.5"
"477","4","D1S ","D1SD1 ","150","116712","10","4","    ","113","    D1S00-150056","LCS 17 D1SD1 CONSTRCT FIT BS_1","        ","        ","24","100","24","47.98","47.98"
"477","4","D1S ","D1SD1 ","150","116713","10","4","    ","114","    D1S00-150057","LCS 17 D1SD1 CONSTRT WELD BS_1","        ","        ","25","100","25","26.02","26.02"
"477","4","D1S ","D1SD1 ","150","116714","10","4","    ","115","    D1S00-150058","LCS 17 D1SD1 CONSTRCT FIT BS_2","        ","        ","217","100","217","218.5","218.5"
"477","4","D1S ","D1SD1 ","150","116715","10","4","    ","116","    D1S00-150059","LCS 17 D1SD1 CONSTRT WELD BS_2","        ","        ","178","100","178","189.67","189.67"
"477","4","D1S ","D1SD1 ","150","116716","10","4","    ","117","    D1S00-150060","LCS 17 D1SD1 CONSTRCT FIT BS_3","        ","        ","456","100","456","592.53","592.53"
"477","4","D1S ","D1SD1 ","150","116717","10","4","    ","118","    D1S00-150061","LCS 17 D1SD1 CONSTRT WELD BS_3","        ","        ","690","100","690","753.38","753.38"
"477","4","D1S ","D1SD3 ","150","116653","10","4","    ","139","    D1S00-150037","LCS 17 D1SD3 CONSTRCT FIT BS_2","        ","        ","130","100","130","127.66","127.66"
"477","4","D1S ","D1SD3 ","150","116654","10","4","    ","140","    D1S00-150038","LCS 17 D1SD3 CONSTRT WELD BS_2","        ","        ","238","100","238","315","315"
"477","4","D1S ","D1SD3 ","150","116655","10","4","    ","141","    D1S00-150039","LCS 17 D1SD3 CONSTRCT FIT BS_3","        ","        ","42","100","42","36","36"
"477","4","D1S ","D1SD3 ","150","116656","10","4","    ","142","    D1S00-150040","LCS 17 D1SD3 CONSTRT WELD BS_3","        ","        ","39","100","39","35.5","35.5"
"477","4","D1S ","D1SD3 ","150","116651","10","4","    ","143","    D1S00-150072","LCS 17 D1SD3 CONSTRCT FIT BS_1","        ","        ","37","100","37","203","203"
"477","4","D1S ","D1SD3 ","150","116652","10","4","    ","144","    D1S00-150073","LCS 17 D1SD3 CONSTRT WELD BS_1","        ","        ","55","100","55","46.5","46.5"
"477","4","D1S ","D1SD3 ","150","116863","10","4","    ","276","    D1S00-150085","LCS 17 D1SD3 TOPSIDE POST ACE ","        ","        ","50","100","50","2.02","2.02"
