"Proj.","FM","HB","Seq","SWBS","Prod. Order","Opr","Task","WS/T","ECP/REA","Item","Description","Earliest Start Dt","Earliest End Date","BUDGET","% PROG","EARNED HOURS","ACTUAL","EAC","","",""
"MFG","","","","","","","","","","","","","","","","","","","","",""
"479","5","479","900","992","117033","10","20","    ","          ","       0479-0901","LCS 19 BOAT TEMPORARY SERVICES","        ","        ","0","83","0","261.99","315.65","","",""
"479","5","479","900","992","117317","10","20","    ","          ","     0479-R90900","UPRIGHT BUILD STANDS & JIGS   ","        ","        ","0","100","0","18","18","","",""
"479","6","479","P     ","0","117029","10","20","    ","          ","       0479-0908","LCS 19 LEAD DUTIES & MEETINGS ","        ","        ","0","23","0","218.03","418.03","","",""
"479","0","    ","      ","0","0","10","880","    ","170","    D1TD1-R90300","LCS 19 D1TD1 XCES DWG REVW    ","05/25/2015","        ","0","0","0","0","0","","",""
"479","1","D1S ","D1SD3 ","0","117169","10","16","    ","131","    D1S00-500010","LCS 19 D1SD3 INSTL 500 HOTWORK","        ","        ","218","100","218","183.25","183.25","","",""
"479","1","D1S ","D1SD4 ","0","117168","10","16","    ","152","    D1S00-500003","LCS 19 D1SD4 INSTGRP500 SOC2.2","        ","        ","282","100","282","234.85","234.85","","",""
"479","1","D1S ","D1SD1 ","505","117166","10","16","    ","75","    D1S00-500001","LCS 19 D1SD1 INST GP500 SOC2.2","        ","        ","430","100","430","410.97","410.97","","",""
"479","1","D1S ","D1SD2 ","505","117167","10","16","    ","104","    D1S00-500002","LCS 19 D1SD2 INST GP500 SOC2.2","        ","        ","300","100","300","287.05","287.05","","",""
"479","2","D1S ","D1SD1 ","150","117223","10","8","    ","278","    D1S00-150074","LCS 19 D1SD1 FH STACK FIT     ","        ","        ","116","100","116","157.72","157.72","","",""
"479","2","D1S ","D1SD1 ","150","117224","10","9","    ","283","    D1S00-150075","LCS 19 D1SD1 FH STACK WELD    ","        ","        ","327","100","327","390","390","","",""
"479","2","D1S ","D1SD2 ","150","117157","10","8","    ","93","    D1S00-150066","LCS 19 D1SD2 CONSTRCT FIT BS_1","        ","        ","38","100","38","16","16","","",""
"479","2","D1S ","D1SD2 ","150","117158","10","9","    ","94","    D1S00-150067","LCS 19 D1SD2 CONSTRT WELD BS_1","        ","        ","15","100","15","9.5","9.5","","",""
"479","2","D1S ","D1SD2 ","150","117159","10","8","    ","95","    D1S00-150068","LCS 19 D1SD2 CONSTRCT FIT BS_2","        ","        ","110","100","110","371.5","371.5","","",""
"479","2","D1S ","D1SD2 ","150","117160","10","9","    ","96","    D1S00-150069","LCS 19 D1SD2 CONSTRT WELD BS_2","        ","        ","162","100","162","174.77","174.77","","",""
"479","2","D1S ","D1SD2 ","150","117161","10","8","    ","97","    D1S00-150070","LCS 19 D1SD2 CONSTRCT FIT BS_3","        ","        ","322","100","322","226","226","","",""
"479","2","D1S ","D1SD2 ","150","117162","10","9","    ","98","    D1S00-150071","LCS 19 D1SD2 CONSTRT WELD BS_3","        ","        ","400","100","400","334.53","334.53","","",""
"479","2","D1S ","D1SD2 ","150","117217","10","4","    ","279","    D1S00-150084","LCS 19 D1SD2 TOPSIDE POST ACE ","        ","        ","30","100","30","38","38","","",""
"479","2","D1S ","D1SD3 ","150","117060","10","8","    ","121","    D1S00-150037","LCS 19 D1SD3 CONSTRCT FIT BS_2","        ","        ","130","100","130","301.74","301.74","","",""
"479","2","D1S ","D1SD3 ","150","117061","10","9","    ","122","    D1S00-150038","LCS 19 D1SD3 CONSTRT WELD BS_2","        ","        ","315","100","315","250","250","","",""
"479","2","D1S ","D1SD3 ","150","117063","10","9","    ","124","    D1S00-150040","LCS 19 D1SD3 CONSTRT WELD BS_3","        ","        ","38","100","38","50","50","","",""
"479","2","D1S ","D1SD3 ","150","117065","10","9","    ","126","    D1S00-150073","LCS 19 D1SD3 CONSTRT WELD BS_1","        ","        ","50","100","50","42","42","","",""
"479","2","D1S ","D1SD4 ","150","117104","10","4","    ","280","    D1S00-150086","LCS 19 D1SD4 TOPSIDE POST ACE ","        ","        ","30","100","30","36.5","36.5","","",""
"479","2","D1S ","D1SD3 ","150","117072","10","8","    ","271","    D1S00-150050","LCS 19 D1SD3/D4 STK FIT HRS   ","03/16/2015","        ","65","100","65","104","104","","",""
"479","2","D1S ","D1SD4 ","150","117073","10","9","    ","272","    D1S00-150051","LCS 19 D1SD3/D4 STK WELD HRS  ","03/16/2015","        ","202","100","202","157.98","157.98","","",""
"479","2","D1S ","D1SD4 ","150","117093","10","9","    ","143","    D1S00-150043","LCS 19 D1SD4 CONSTRT WELD BS_1","08/20/2015","        ","20","100","20","12","12","","",""
"479","2","D1S ","D1SD4 ","150","117094","10","8","    ","144","    D1S00-150044","LCS 19 D1SD4 CONSTRCT FIT BS_2","08/20/2015","        ","166","100","166","239.8","239.8","","",""
"479","2","D1S ","D1SD4 ","150","117095","10","9","    ","145","    D1S00-150045","LCS 19 D1SD4 CONSTRT WELD BS_2","08/20/2015","        ","200","100","200","117.1","117.1","","",""
"479","2","D1S ","D1SD4 ","150","117097","10","9","    ","147","    D1S00-150047","LCS 19 D1SD4 CONSTRT WELD BS_3","08/20/2015","        ","75","100","75","20","20","","",""
"479","2","D1S ","D1SD2 ","992","117219","10","19","    ","106","    D1S00-992004","LCS 19 D1SD2 UPRIGHT LIFTSTRCT","        ","        ","60","100","60","19.5","19.5","","",""
"479","2","D1S ","D1SD3 ","992","117067","10","19","    ","133","    D1S00-992007","LCS 19 D1SD3 INST ROL STRUCTRE","        ","        ","30","100","30","24.98","24.98","","",""
"479","2","D1S ","D1SD4 ","992","117106","10","19","    ","153","    D1S00-992010","LCS 19 D1SD4 INST ROL STRUCTRE","        ","        ","50","100","50","67","67","","",""
