"SWBS","Item#","Desc.","UOM","Qty","Unit Cost","Ext. Cost",""
"001","001-01-00001","INBOUND FREIGHT               ","LO ","1","$988,038.00","$988,038.00",""
"002","002-01-00001","HPR-DMR MISC. EQUIPMENT       ","LO ","1","$514,805.00","$514,805.00",""
"012","012-01-00001","WARRANTY MATERIAL SUPPORT     ","LO ","1","$0.00","$0.00",""
"041","041-01-00001","CONFIGURATION MANAGEMENT      ","EA ","0","$2,557.00","$0.00",""
"041","041-01-00002","CONFIGURATION MANAGEMENT      ","EA ","0","$104,852.00","$0.00",""
"041","041-01-00003","MATERIAL ESCALATION 2008-2009 ","EA ","1","$0.00","$0.00",""
"041","041-01-00004","PROGRAM MGT RESERVE           ","EA ","1","$0.01","$0.01",""
"041","041-01-00005","UID START UP (NRE)            ","EA ","1","$0.00","$0.00",""
"041","041-01-00006","UID EQUIPMENT TAGGING (RE)    ","EA ","1","$18,025.00","$18,025.00",""
"042","042-00-00001","COMPUTER LICENSE, PRIMAVERA   ","EA ","1","$28,000.00","$28,000.00",""
"042","042-01-00001","LEASE AGREEMENT, MONTHLY, FOR ","EA ","30","$0.01","$0.30",""
"042","042-01-00002","SKIRTING, INSTALLATION OF SKIR","EA ","4","$0.01","$0.04",""
"042","042-01-00004","SERVICES, SET-UP AND TEAR-DOWN","EA ","2","$0.01","$0.02",""
"042","042-01-00005","TIE-DOWNS, FOR TEMPORARY OFFIC","EA ","2","$0.01","$0.02",""
"042","042-01-00006","RAMP, HANDI-CAP, FOR ACCESS TO","EA ","2","$0.01","$0.02",""
"042","042-01-00007","CABINET, FILE, STEEL, 4 DRAWER","EA ","30","$0.01","$0.31",""
"042","042-01-00008","TABLE, CONFERENCE, RECT       ","EA ","3","$0.01","$0.03",""
"042","042-01-00009","CHAIRS, FOR CONFERENCE TABLE  ","EA ","20","$0.01","$0.21",""
"042","042-01-00010","COPIER/FAX                    ","EA ","100","$0.01","$1.03",""
"042","042-01-00011","SOFTWARE, VOICEMAIL FOR CISCO ","EA ","3","$0.01","$0.03",""
"042","042-01-00012","DRY ERASE BOARD, 72"" X 48""    ","EA ","5","$0.01","$0.05",""
"042","042-01-00016","PHONES, OFFICE, COMPATIBLE    ","EA ","20","$0.01","$0.21",""
"042","042-01-00018","PHONES, COMPATIBLE WITH MMC   ","EA ","10","$0.01","$0.10",""
"042","042-01-00019","CASE, BOOK, W/ 3 SHELVES      ","EA ","30","$0.01","$0.31",""
"042","042-01-00020","DESK, DOUBLE PEDESTAL         ","EA ","30","$0.01","$0.31",""
"042","042-01-00021","CHAIR, DESK, ADJUSTABLE, LOW  ","EA ","30","$0.01","$0.31",""
"042","042-01-00022","BREWER, COFFEE, BUNN          ","EA ","4","$0.01","$0.04",""
"042","042-01-00023","DECANTER, EASY POUR,BLK HANDLE","EA ","4","$0.01","$0.04",""
"042","042-01-00024","MICROWAVE, AMANA, 2.1 CU FT   ","EA ","3","$0.01","$0.03",""
"042","042-01-00025","REFRIGERATOR, GENERAL ELECTRIC","EA ","3","$0.01","$0.03",""
"042","042-01-00027","SERVICES, SMARTNET            ","EA ","60","$0.01","$0.62",""
"042","042-01-00028","FURNITURE, MISCELLANEOUS      ","LO ","2","$0.01","$0.02",""
"042","042-01-00029","PHONES, OFFICE COMPATIBLE     ","EA ","2","$0.01","$0.02",""
"042","042-01-00030","SERVICES, SMARTNET            ","EA ","3","$0.01","$0.03",""
"042","042-01-00031","PRIMAVERA PROJECT PLANNER     ","EA ","1","$0.01","$0.01",""
"042","042-01-00040","SERVICES, INSTALLATION, LOCK  ","LO ","1","$0.01","$0.01",""
"042","042-01-00044","PHONE, IP, CISCO MODEL 7912   ","EA ","1","$0.01","$0.01",""
"042","042-01-00045","SERVICE, SMARTNET FOR 7912    ","EA ","1","$0.01","$0.01",""
"042","042-01-00046","SOFTWARE, VOICE MAIL          ","EA ","1","$0.01","$0.01",""
"042","042-01-00047","SOFTWARE, VOICE MAIL          ","EA ","1","$0.01","$0.01",""
"042","042-01-00048","PHONE, IP, CISCO MODEL 7912   ","EA ","1","$0.01","$0.01",""
"042","042-01-00049","SERVICE, SMARTNET FOR 7912    ","EA ","1","$0.01","$0.01",""
"042","042-01-00050","SOFTWARE, VOICE MAIL          ","EA ","2","$0.01","$0.02",""
"042","042-01-00051","SOFTWARE, VOICE MAIL          ","EA ","1","$0.01","$0.01",""
"042","042-01-00052","MEDIUM OAK/PUTTY DESK WITH    ","EA ","1","$0.01","$0.01",""
"042","042-01-00053","FOUR SHELF BOOKCASE LIGHT GRAY","EA ","1","$0.01","$0.01",""
"042","042-01-00054","UTILITY TABLE CHROME LEGS     ","EA ","1","$0.01","$0.01",""
"042","042-01-00055","CONFERENCE ROOM HIGH BACK     ","EA ","1","$0.01","$0.01",""
"042","042-01-00056","STACK CHAIRS BLACK VINYL,     ","EA ","2","$0.01","$0.02",""
"042","042-01-00057","WINSERVER CAL 2003 ENGLISH    ","EA ","3","$0.01","$0.03",""
"042","042-01-00058","EXCHANGE CAL 2003 ENGLISH PER ","EA ","3","$0.01","$0.03",""
"042","042-01-00059","7940 IP PHONE                 ","EA ","2","$0.01","$0.02",""
"042","042-01-00060","SMARTNET FOR 7940 IP PHONE    ","EA ","2","$0.01","$0.02",""
"042","042-01-00061","CLEANING SERVICES FOR LCS TEMP","EA ","5","$0.01","$0.05",""
"042","042-01-00069","DESK, DOUBLE PEDESTAL         ","EA ","1","$0.01","$0.01",""
"042","042-01-00070","CHAIR, HIGH BACK              ","EA ","1","$0.01","$0.01",""
"042","042-01-00071","CHATSWORTH CUBE IT CABINET    ","EA ","1","$0.01","$0.01",""
"042","042-01-00080","CISCO TELEPHONE CP-7912G-CH1  ","EA ","2","$0.01","$0.02",""
"042","042-01-00081","CISCO TELEPHONE CP-7941G-CH1  ","EA ","2","$0.01","$0.02",""
"042","042-01-00082","CISCO IP PHONE 7911G          ","EA ","15","$0.01","$0.15",""
"042","042-01-00083","CALL MANAGER DEVICE LICENSE   ","EA ","1","$0.01","$0.01",""
"042","042-01-00085","CATALYST 3750 48 PORT POE     ","EA ","1","$0.01","$0.01",""
"042","042-01-00086","CISCO SFP (LH) LONG HAUL      ","EA ","2","$0.01","$0.02",""
"042","042-01-00088","COFFEE MAKER POUR OVER UNIT   ","EA ","1","$0.01","$0.01",""
"042","042-01-00089","GE MICROWAVE OVEN 1100 WATT   ","EA ","1","$0.01","$0.01",""
"042","042-01-00090","LEASED OFFICE UNITS -PCW312   ","LO ","1","$0.01","$0.01",""
"042","042-01-0018A","SHREDDER, HIGH SECURITY.      ","EA ","1","$0.01","$0.01",""
"042","042-02-00003","DESK, DOUBLE PEDESTAL         ","EA ","2","$0.01","$0.02",""
"042","042-02-00004","CHAIR, DESK, ADJUSTABLE       ","EA ","2","$0.01","$0.02",""
"042","042-02-00005","PHONES, OFFICE, COMPATIBLE    ","EA ","2","$0.01","$0.02",""
"073","073-01-00002","SERVICES, AIRBORNE NOISE &    ","LO ","1","$125,000.00","$125,000.00",""
"073","073-01-00003","RENTAL EQUIPMENT FOR NOISE    ","EA ","1","$10,300.00","$10,300.00",""
"073","073-01-M0001","MOUNTS, SHOCK AND VIBRATION   ","EA ","8","$1,782.62","$14,260.97",""
"076","076-01-00001","RELIABILITY, MAINTAINABILITY  ","EA ","0","$2,633.71","$0.00",""
"076","076-01-00002","FAILURE MODES AND EFFECTS     ","EA ","0","$41,091.85","$0.00",""
"076","076-01-00003","RELIABILITY, MAINTAINABILITY  ","EA ","0","$2,633.71","$0.00",""
"076","076-01-00004","RELIABILITY, MAINTAINABILITY  ","EA ","0","$2,633.71","$0.00",""
"076","076-01-00005","DATA COLLECTION               ","EA ","0","$14,816.55","$0.00",""
"080","080-01-00001","INTEGRATED SUPPORT PLAN       ","EA ","0","$7,902.16","$0.00",""
"080","080-01-00002","PROGRAM MANAGEMENT            ","EA ","0","$410,918.50","$0.00",""
"081","081-01-00001","LIFE CYCLE SUPPORT PLAN       ","EA ","0","$5,268.45","$0.00",""
"081","081-01-00002","CLASS MAINTENANCE PLAN        ","EA ","0","$27,394.91","$0.00",""
"081","081-01-00003","MAINTENANCE PROCEDURE CARDS   ","EA ","0","$131,375.47","$0.00",""
"083","083-01-00001","EQUIPMENT LOGISTIC SUPPORT    ","EA ","0","$20,545.41","$0.00",""
"083","083-01-00002","SUBCONTRACT SERVICES FOR      ","EA ","0","$103,000.00","$0.00",""
"083","083-02-00001","HAYSTACK GOLD LICENSES        ","EA ","0","$0.01","$0.00",""
"083","083-02-00002","ILS IT SUPPORT SERVICES       ","LO ","0","$5,150.00","$0.00",""
"086","086-01-00001","TECHNICAL MANUAL PLAN         ","EA ","0","$2,633.71","$0.00",""
"086","086-01-00002","TECHNICAL MANUAL STATUS RPT   ","EA ","0","$4,938.85","$0.00",""
"086","086-01-00003","SHIP INFORMATION BOOK         ","EA ","1","$67,867.73","$67,867.73",""
"086","086-01-00004","DAMAGE CONTROL BOOK           ","EA ","1","$17,287.52","$17,287.52",""
"086","086-01-00005","DAMAGE CONTROL DIAGRAMS       ","EA ","1","$42,196.01","$42,196.01",""
"086","086-01-00006","BOAT HANDLING AND STORAGE     ","EA ","1","$4,269.35","$4,269.35",""
"086","086-01-00007","ENGINEERING CONTROL SYSTEM    ","EA ","1","$14,147.05","$14,147.05",""
"086","086-01-00008","SHIP CONTROL SYSTEM OPERATION ","EA ","1","$14,147.05","$14,147.05",""
