"MMC Ship 5 Recurring BOM","","",""
"","","",""
"Sum of Ext. Cost","","",""
"SWBS Group","2-digit SWBS","3-digit SWBS","Total"
"000","000","002","$529,320.44 "
"","","008","$1,015,896.72 "
"","010","012","$0.00 "
"","040","041","$18,533.24 "
"","","042","$28,794.46 "
"","070","073","$153,777.99 "
"","","076","$0.00 "
"","080","080","$0.00 "
"","","081","$0.00 "
"","","083","$0.00 "
"","","086","$237,024.16 "
"","","089","$388,433.94 "
"","090","092","$372,499.48 "
"000 Total","","","$2,744,280.44 "
"100","100","101","$544,228.26 "
"","","102","$402,233.36 "
"","","104","$1,217,962.95 "
"","110","110","$4,634,625.62 "
"","120","127","$279,895.93 "
"","150","150","$2,655,291.37 "
"","160","160","$0.01 "
"","","161","$277,841.84 "
"","","164","$391,926.28 "
"","","167","$2,317,719.98 "
"","","169","$1,358,758.07 "
"","180","180","$558,282.41 "
"","","184","$335,397.54 "
"","190","192","$11,439.73 "
"100 Total","","","$14,985,603.34 "
"200","200","200","$2,287.54 "
"","","201","$90,358.13 "
"","","202","$297,635.84 "
"","230","233","$90,256.44 "
"","","234","$941,943.10 "
"","240","241","$744,143.46 "
"","","243","$739,580.17 "
"","","244","$225,900.91 "
"","","247","$264,989.50 "
"","250","251","$729,250.63 "
"","","252","$39,156.49 "
"","","256","$1,874,717.26 "
"","","259","$2,793,217.51 "
"","260","261","$952,497.55 "
"","","262","$781,195.69 "
"","","264","$0.00 "
"200 Total","","","$10,567,130.23 "
"300","300","300","$2,411.12 "
"","","302","$673,316.94 "
"","","304","$1,895,881.74 "
"","","305","$20,563.92 "
"","310","311","$3,208,921.74 "
"","","313","$245,905.00 "
"","","314","$593,436.43 "
"","320","320","$156,956.01 "
"","","321","$1,002,165.37 "
"","","324","$4,448,710.59 "
"","330","330","$538,645.19 "
"300 Total","","","$12,786,914.05 "
"400","400","400","$0.01 "
"","","407","$10,281.96 "
"","410","410","$1,701.62 "
"","","411","$0.44 "
"","","415","$32,105.40 "
"","420","420","$4,872.15 "
"","","421","$33,430.82 "
"","","422","$51,055.99 "
"","","423","$0.01 "
"","","424","$0.20 "
"","","426","$0.56 "
"","430","430","$641,072.47 "
"","","432","$110,730.47 "
"","","433","$269,712.91 "
"","","434","$23,439.14 "
"","","436","$126,741.62 "
"","","437","$112,955.10 "
"","","438","$0.71 "
"","","439","$368,169.38 "
"","440","441","$2,977.37 "
"","","443","$20,683.31 "
"","","446","$2,131.85 "
"","450","453","$7,818.47 "
"","","455","$0.35 "
"","470","472","$108.53 "
"","","474","$0.58 "
"","","475","$1,446,736.07 "
"","480","481","$2,653.92 "
"","490","491","$0.00 "
"","","492","$18,296.98 "
"","","493","$109.00 "
"","","494","$337,483.04 "
"400 Total","","","$3,625,270.42 "
"500","500","500","$0.01 "
"","","504","$1,375.81 "
"","","505","$1,841,932.96 "
"","","506","$342,706.02 "
"","","507","$143,931.49 "
"","","508","$67,196.08 "
"","","509","$28,994.30 "
"","510","512","$5,406,711.11 "
"","","513","$450.35 "
"","","514","$1,142,584.02 "
"","520","521","$1,340,962.77 "
"","","526","$38,235.08 "
"","","528","$324,095.09 "
"","","529","$528,018.09 "
"","530","531","$244,310.27 "
"","","533","$239,235.14 "
"","540","541","$939,023.28 "
"","","542","$386,159.61 "
"","","549","$151,700.42 "
"","550","551","$1,133,995.04 "
"","","555","$2,590,190.09 "
"","","556","$558,730.92 "
"","560","565","$3,088,601.27 "
"","570","571","$34,118.65 "
"","","572","$12,770.99 "
"","","573","$1,297,855.35 "
"","580","581","$953,497.91 "
"","","582","$498,621.62 "
"","","583","$549,228.98 "
"","","588","$158,457.48 "
"","590","593","$489,094.93 "
"500 Total","","","$24,532,785.15 "
"600","600","600","$7,274.22 "
"","","602","$65,388.53 "
"","","603","$16,980.43 "
"","","604","$34,507.57 "
"","","605","$2,109.60 "
"","610","610","$44,084.22 "
"","","611","$76,443.02 "
"","","612","$349,843.29 "
"","","613","$10,426.85 "
"","620","622","$292,515.02 "
"","","623","$189,173.75 "
"","","624","$13,726.44 "
"","","625","$251,332.08 "
"","630","630","$56,828.23 "
"","","631","$1,055,649.09 "
"","","633","$300,133.35 "
"","","634","$193,783.41 "
"","","635","$3,657,729.14 "
"","","637","$688,511.73 "
"","640","640","$917,654.33 "
"","","644","$401,808.72 "
"","650","651","$365,318.38 "
"","","652","$85,974.93 "
"","","655","$27,526.45 "
"","","656","$10,955.78 "
"","660","664","$227,161.67 "
"","","665","$300,099.75 "
"","670","670","$1,110.45 "
"","","671","$488,124.92 "
"","","672","$66,264.80 "
"600 Total","","","$10,198,440.15 "
"700","700","702","$12,321.41 "
"","710","711","$782.71 "
"","","712","$90,899.02 "
"","","713","$137.66 "
"","720","721","$9,000.36 "
"","760","763","$92,888.85 "
"","780","780","$234,763.39 "
"700 Total","","","$440,793.39 "
"800","800","800","$0.01 "
"","810","813","$0.02 "
"","820","829","$150,373.67 "
"","830","830","$411,278.40 "
"","","831","$3,084.59 "
"","840","845","$28,789.50 "
"","850","852","$56,764.66 "
"","","854","$207,695.39 "
"","890","894","$56,299.90 "
"","","897","$0.01 "
"800 Total","","","$914,286.13 "
"900","920","920","$553.81 "
"","980","982","$2,625,592.06 "
"","","984","$282,930.79 "
"","","986","$269,884.86 "
"","990","990","$387,848.90 "
"","","992","$157,427.17 "
"","","994","$277,612.92 "
"","","996","$205,654.53 "
"","","999","$11,626.19 "
"900 Total","","","$4,219,131.23 "
"Grand Total","","","$85,014,634.54 "
