"MMC Ship 8 Recurring BOM","","",""
"","","",""
"Sum of Ext. Cost","","",""
"SWBS3","SWBS2","SWBS","Total"
"000","000","002","$536,730.93 "
"","","008","$1,030,119.27 "
"","010","012","$0.00 "
"","040","041","$18,792.71 "
"","","042","$29,197.58 "
"","070","073","$155,930.88 "
"","","076","$0.00 "
"","080","080","$0.00 "
"","","081","$0.00 "
"","","083","$0.00 "
"","","086","$240,342.50 "
"","","089","$393,872.02 "
"","090","092","$377,714.48 "
"000 Total","","","$2,782,700.36 "
"100","100","101","$551,847.45 "
"","","102","$407,864.63 "
"","","104","$1,235,014.43 "
"","110","110","$4,699,510.38 "
"","120","127","$283,814.47 "
"","150","150","$2,692,465.45 "
"","160","160","$0.01 "
"","","161","$281,731.63 "
"","","164","$397,413.25 "
"","","167","$2,350,168.06 "
"","","169","$1,377,780.68 "
"","180","180","$566,098.36 "
"","","184","$340,093.10 "
"","190","192","$11,599.89 "
"100 Total","","","$15,195,401.79 "
"200","200","200","$2,319.57 "
"","","201","$91,623.15 "
"","","202","$301,802.74 "
"","230","233","$91,520.03 "
"","","234","$955,130.30 "
"","240","241","$754,561.47 "
"","","243","$749,934.29 "
"","","244","$229,063.53 "
"","","247","$268,699.35 "
"","250","251","$739,460.14 "
"","","252","$39,704.68 "
"","","256","$1,900,963.30 "
"","","259","$2,815,320.85 "
"","260","261","$965,832.52 "
"","","262","$792,132.43 "
"","","264","$0.00 "
"200 Total","","","$10,698,068.34 "
"300","300","300","$2,444.88 "
"","","302","$682,743.37 "
"","","304","$1,922,424.09 "
"","","305","$20,851.81 "
"","310","311","$3,271,381.16 "
"","","313","$249,347.67 "
"","","314","$601,744.54 "
"","320","320","$159,153.40 "
"","","321","$1,016,195.68 "
"","","324","$4,375,579.34 "
"","330","330","$546,186.23 "
"300 Total","","","$12,848,052.16 "
"400","400","400","$0.01 "
"","","407","$10,425.91 "
"","410","410","$1,725.45 "
"","","411","$0.45 "
"","","415","$32,554.88 "
"","420","420","$4,940.36 "
"","","421","$33,898.86 "
"","","422","$51,770.77 "
"","","423","$0.01 "
"","","424","$0.20 "
"","","426","$0.56 "
"","430","430","$650,047.49 "
"","","432","$112,280.69 "
"","","433","$273,488.89 "
"","","434","$23,767.28 "
"","","436","$128,516.00 "
"","","437","$114,536.47 "
"","","438","$0.72 "
"","","439","$373,323.75 "
"","440","441","$3,019.05 "
"","","443","$20,972.88 "
"","","446","$2,161.70 "
"","450","453","$7,927.93 "
"","","455","$0.35 "
"","470","472","$110.05 "
"","","474","$0.58 "
"","","475","$1,423,199.26 "
"","480","481","$2,691.07 "
"","490","491","$0.00 "
"","","492","$18,553.14 "
"","","493","$110.53 "
"","","494","$342,207.80 "
"400 Total","","","$3,632,233.08 "
"500","500","500","$0.01 "
"","","504","$1,395.07 "
"","","505","$1,867,720.02 "
"","","506","$347,503.90 "
"","","507","$145,946.53 "
"","","508","$68,136.83 "
"","","509","$29,400.22 "
"","510","512","$5,543,003.97 "
"","","513","$456.65 "
"","","514","$1,158,580.20 "
"","520","521","$1,359,736.25 "
"","","526","$38,770.37 "
"","","528","$328,632.42 "
"","","529","$535,410.34 "
"","530","531","$247,730.62 "
"","","533","$242,584.43 "
"","540","541","$952,169.60 "
"","","542","$391,565.85 "
"","","549","$153,824.22 "
"","550","551","$1,149,870.97 "
"","","555","$2,626,452.75 "
"","","556","$566,553.15 "
"","560","565","$3,147,899.70 "
"","570","571","$34,596.32 "
"","","572","$12,949.78 "
"","","573","$1,316,025.33 "
"","580","581","$966,846.88 "
"","","582","$505,602.33 "
"","","583","$556,918.19 "
"","","588","$160,675.89 "
"","590","593","$495,942.25 "
"500 Total","","","$24,952,901.05 "
"600","600","600","$7,376.06 "
"","","602","$66,303.97 "
"","","603","$17,218.16 "
"","","604","$34,990.68 "
"","","605","$2,139.14 "
"","610","610","$44,701.40 "
"","","611","$77,513.22 "
"","","612","$354,741.09 "
"","","613","$10,572.82 "
"","620","622","$296,610.23 "
"","","623","$191,822.19 "
"","","624","$13,918.61 "
"","","625","$254,850.73 "
"","630","630","$57,623.83 "
"","","631","$1,070,428.18 "
"","","633","$304,335.22 "
"","","634","$196,496.38 "
"","","635","$3,742,261.60 "
"","","637","$715,447.73 "
"","640","640","$954,841.83 "
"","","644","$417,511.62 "
"","650","651","$372,582.75 "
"","","652","$88,892.69 "
"","","655","$28,140.19 "
"","","656","$11,109.16 "
"","660","664","$230,341.93 "
"","","665","$309,392.05 "
"","670","670","$1,126.00 "
"","","671","$494,958.67 "
"","","672","$67,192.50 "
"600 Total","","","$10,435,440.62 "
"700","700","702","$12,493.91 "
"","710","711","$793.67 "
"","","712","$92,171.61 "
"","","713","$139.58 "
"","720","721","$9,126.36 "
"","760","763","$94,189.30 "
"","780","780","$238,050.08 "
"700 Total","","","$446,964.50 "
"800","800","800","$0.01 "
"","810","813","$0.02 "
"","820","829","$152,478.90 "
"","830","830","$417,036.30 "
"","","831","$3,127.77 "
"","840","845","$29,192.55 "
"","850","852","$57,559.36 "
"","","854","$210,603.12 "
"","890","894","$57,088.10 "
"","","897","$0.01 "
"800 Total","","","$927,086.14 "
"900","920","920","$561.56 "
"","980","982","$2,662,350.35 "
"","","984","$286,891.82 "
"","","986","$273,663.25 "
"","990","990","$393,278.78 "
"","","992","$159,631.15 "
"","","994","$281,499.50 "
"","","996","$208,533.70 "
"","","999","$11,788.96 "
"900 Total","","","$4,278,199.07 "
"Grand Total","","","$86,197,047.13 "
