"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"466","1","LCS5 CHIT   ","37","0","          ","169","1","2","621","621","900","866","130","242203","    L1900-169001","10","LCS 5-LM SUPPORT-STERN RAMP   ","12","100","0.00","380.00","0.00","380.00","425.30","0.00","0.00","0.00","0.00","425.30","0.00","0.89","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","37 Total","","","","","","","","","","","","","","","","","0.00","380.00","0.00","380.00","425.30","0.00","0.00","0.00","0.00","425.30","","","","","",""
"466","1","LCS5 CHIT   ","48","0","CF 1977   ","180","1","6","621","621","Z60  ","963","45","258044","    L9900-X00758","10","CF 1977 MODIFY 963 FDN 74675  ","42","100","0.00","20.00","0.00","20.00","32.00","0.00","0.00","0.00","0.00","32.00","0.00","0.62","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","48 Total","","","","","","","","","","","","","","","","","0.00","20.00","0.00","20.00","32.00","0.00","0.00","0.00","0.00","32.00","","","","","",""
"466","1","LCS5 CHIT   ","59","0","          ","241","2","6","624","624","900","900","66","242205","    L4900-241002","10","LCS 5-LM SUPPORT REQ-MITCHELL ","39","100","0.00","10.00","0.00","10.00","10.00","0.00","0.00","0.00","0.00","10.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"466","1","LCS5 CHIT   ","59","0","          ","247","2","6","624","624","993","962","66","257977","    L4993-247046","10","962 VS RR TO REALGN HYDR CPLGS","39","100","0.00","48.00","0.00","48.00","50.00","0.00","0.00","0.00","0.00","50.00","0.00","0.96","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","59 Total","","","","","","","","","","","","","","","","","0.00","58.00","0.00","58.00","60.00","0.00","0.00","0.00","0.00","60.00","","","","","",""
"466","1","LCS5 CHIT   ","60","0","          ","241","2","6","624","624","900","900","66","242204","    L4900-241001","10","LCS 5-LM SUPPORT REQUEST-RENK ","39","100","0.00","19.00","0.00","19.00","19.00","0.00","0.00","0.00","0.00","19.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"466","1","LCS5 CHIT   ","60","0","          ","241","2","6","623","624","900","951","66","257985","    L9900-V00011","10","VEN-951-HYDRAULIC PUMPS       ","890","100","0.00","60.00","0.00","60.00","67.00","0.00","0.00","0.00","0.00","67.00","0.00","0.90","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","60 Total","","","","","","","","","","","","","","","","","0.00","79.00","0.00","79.00","86.00","0.00","0.00","0.00","0.00","86.00","","","","","",""
