"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"483","1","            ","            ","0","          ","0","0","20","600","600","S    ","S00   ","0","","    L6000-000000","600","BUDGET FOR MFG                ","83","0","575467.00","575467.00","0.00","0.00","0.00","575467.00","0.00","0.00","0.00","575467.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000000-600","0","0","621428.00","621428.00","-45961.00"
"483","1","            ","            ","888","NO LABOR  ","0","0","20","600","600","S    ","S00   ","0","","    L6000-000001","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000001-600","0","0","0.00","0.00","0.00"
"483","1","            ","            ","LSF","SUP 558820","0","9","8","600","600","S    ","S00   ","0","","    L6000-000LSF","600","BUDGET FOR MFG                ","83","0","2625.00","2625.00","0.00","0.00","0.00","2625.00","0.00","0.00","0.00","2625.00","","","10/15/2018","11/9/2018","4/19/2019","5/2/2019","    L6000-000LSF-600","0","0","2625.00","2625.00","0.00"
"483","1","            ","            ","QBD","          ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBD","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","6/5/2017","12/22/2017","6/5/2017","12/22/2017","    L6000-000QBD-600","0","0","0.00","0.00","0.00"
"483","1","            ","            ","QBH","          ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBH","600","BUDGET FOR MFG                ","83","0","10879.00","10879.00","0.00","0.00","0.00","10879.00","0.00","0.00","0.00","10879.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6000-000QBH-600","0","0","10879.00","10879.00","0.00"
"483","1","            ","            ","QBM","          ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBM","600","BUDGET FOR MFG                ","83","0","11426.00","11426.00","0.00","0.00","0.00","11426.00","0.00","0.00","0.00","11426.00","","","1/2/2019","11/26/2019","1/2/2019","6/17/2020","    L6000-000QBM-600","0","0","11426.00","11426.00","0.00"
"483","1","            ","            ","888","          ","0","9","11","600","647","S    ","S00   ","0","","    L6000-000QCH","647","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000QCH-647","0","0","0.00","0.00","0.00"
"483","1","            ","            ","QCM","          ","0","9","11","600","647","S    ","S00   ","0","","    L6000-000QCM","647","BUDGET FOR MFG                ","83","0","20760.00","20760.00","0.00","0.00","0.00","20760.00","0.00","0.00","0.00","20760.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6000-000QCM-647","0","0","20760.00","20760.00","0.00"
"483","1","            ","            ","QCR","          ","0","9","11","600","647","S    ","S00   ","0","","    L6000-000QCR","647","BUDGET FOR MFG                ","83","0","27240.00","27240.00","0.00","0.00","0.00","27240.00","0.00","0.00","0.00","27240.00","","","1/2/2019","11/26/2019","1/2/2019","6/17/2020","    L6000-000QCR-647","0","0","27240.00","27240.00","0.00"
"483","1","            ","            ","QEQ","          ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QEQ","600","BUDGET FOR MFG                ","83","0","300.00","300.00","0.00","0.00","0.00","300.00","0.00","0.00","0.00","300.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000QEQ-600","0","0","300.00","300.00","0.00"
"483","1","            ","            ","QES","          ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QES","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","6/5/2017","12/22/2017","6/5/2017","12/22/2017","    L6000-000QES-600","0","0","0.00","0.00","0.00"
"483","1","            ","            ","QEW","          ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QEW","600","BUDGET FOR MFG                ","83","0","3217.00","3217.00","0.00","0.00","0.00","3217.00","0.00","0.00","0.00","3217.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6000-000QEW-600","0","0","3217.00","3217.00","0.00"
"483","1","            ","            ","QEX","          ","0","5","11","600","600","S    ","S00   ","0","","    L6000-000QEX","600","BUDGET FOR MFG                ","83","0","360.00","360.00","0.00","0.00","0.00","360.00","0.00","0.00","0.00","360.00","","","1/2/2019","11/26/2019","1/2/2019","6/17/2020","    L6000-000QEX-600","0","0","360.00","360.00","0.00"
"483","1","            ","            ","888","          ","0","5","11","600","600","S    ","S00   ","0","","    L6000-000QEZ","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000QEZ-600","0","0","0.00","0.00","0.00"
"483","1","            ","            ","QFD","          ","0","5","11","600","600","S    ","S00   ","0","","    L6000-000QFD","600","BUDGET FOR MFG                ","83","0","398.00","398.00","0.00","0.00","0.00","398.00","0.00","0.00","0.00","398.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6000-000QFD-600","0","0","398.00","398.00","0.00"
"483","1","            ","            ","QFH","          ","0","6","11","600","600","S    ","S00   ","0","","    L6000-000QFH","600","BUDGET FOR MFG                ","83","0","1487.00","1487.00","0.00","0.00","0.00","1487.00","0.00","0.00","0.00","1487.00","","","1/2/2019","11/26/2019","1/2/2019","6/17/2020","    L6000-000QFH-600","0","0","1487.00","1487.00","0.00"
"483","1","            ","            ","QFK","          ","0","6","11","600","600","S    ","S00   ","0","","    L6000-000QFK","600","BUDGET FOR MFG                ","83","0","440.00","440.00","0.00","0.00","0.00","440.00","0.00","0.00","0.00","440.00","","","7/3/2017","12/22/2017","6/5/2017","12/22/2017","    L6000-000QFK-600","0","0","440.00","440.00","0.00"
"483","1","            ","            ","QFP","          ","0","6","11","600","600","S    ","S00   ","0","","    L6000-000QFP","600","BUDGET FOR MFG                ","83","0","1844.00","1844.00","0.00","0.00","0.00","1844.00","0.00","0.00","0.00","1844.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6000-000QFP-600","0","0","1844.00","1844.00","0.00"
"483","1","            ","            ","888","          ","0","9","11","600","647","S    ","S00   ","0","","    L6000-000QGA","647","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000QGA-647","0","0","0.00","0.00","0.00"
"483","1","            ","            ","QGE","          ","0","9","11","600","647","S    ","S00   ","0","","    L6000-000QGE","647","BUDGET FOR MFG                ","83","0","10000.00","10000.00","0.00","0.00","0.00","10000.00","0.00","0.00","0.00","10000.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6000-000QGE-647","0","0","10000.00","10000.00","0.00"
"483","1","            ","            ","QGI","          ","0","9","11","600","647","S    ","S00   ","0","","    L6000-000QGI","647","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/2/2019","11/26/2019","1/2/2019","6/17/2020","    L6000-000QGI-647","0","0","0.00","0.00","0.00"
