"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"470","1","LCS9 CHIT   ","245","   ","245","897","9","14","620","620","900","900","0","943428","    L6200-000001","10","LN SHAFT/THRUST BRNG OP/INSP  ","6000","100","0.00","300.00","0.00","300.00","570.31","0.00","0.00","0.00","0.00","570.31","0.00","0.53","","","",""
"","","","245 Total","","","","","","","","","","","","","","","","","0.00","300.00","0.00","300.00","570.31","0.00","0.00","0.00","0.00","570.31","","","","","",""
"470","1","LCS9 CHIT   ","247","   ","247","897","9","14","620","620","900","900","0","943429","    L6200-000002","10","SALARY SUPPORT FOR 262 MOD    ","6000","100","0.00","160.00","0.00","160.00","21.87","0.00","0.00","0.00","0.00","21.87","0.00","7.32","","","",""
"","","","247 Total","","","","","","","","","","","","","","","","","0.00","160.00","0.00","160.00","21.87","0.00","0.00","0.00","0.00","21.87","","","","","",""
"470","1","LCS9 CHIT   ","508","   ","508","830","8","14","524","524","900","900","0","945107","    L5240-000001","10","STBD STEERABLE STERN TUBE SEAL","1566","100","0.00","3.00","0.00","3.00","41.58","0.00","0.00","0.00","0.00","41.58","0.00","0.07","","","",""
"","","","508 Total","","","","","","","","","","","","","","","","","0.00","3.00","0.00","3.00","41.58","0.00","0.00","0.00","0.00","41.58","","","","","",""
"470","1","LCS9 CHIT   ","523","   ","523","830","8","14","520","520","900","900","0","945196","    L5200-000001","10","INTERCEPTOR SALARY SUPPORT    ","1537","54","0.00","240.00","0.00","129.60","40.80","100.00","0.00","0.00","0.00","140.80","0.00","3.18","","","",""
"","","","523 Total","","","","","","","","","","","","","","","","","0.00","240.00","0.00","129.60","40.80","100.00","0.00","0.00","0.00","140.80","","","","","",""
"470","1","LCS9 CHIT   ","526","   ","526","830","8","14","520","520","900","900","0","945202","    L5200-000002","10","DARK SHIP LUBE OIL COAST DOWN ","1566","50","0.00","200.00","0.00","100.00","198.62","75.00","0.00","0.00","0.00","273.62","0.00","0.50","","","",""
"","","","526 Total","","","","","","","","","","","","","","","","","0.00","200.00","0.00","100.00","198.62","75.00","0.00","0.00","0.00","273.62","","","","","",""
"470","1","LCS9 CHIT   ","595","   ","595","830","8","14","524","524","900","900","0","945575","    L5240-000002","10","SHAFT DAMPER INSTL CF2432 ENG ","1566","0","0.00","100.00","0.00","0.00","0.00","100.00","0.00","0.00","0.00","100.00","","","","","",""
"","","","595 Total","","","","","","","","","","","","","","","","","0.00","100.00","0.00","0.00","0.00","100.00","0.00","0.00","0.00","100.00","","","","","",""
"470","1","LCS9 CHIT   ","604","   ","          ","897","8","14","515","515","900","900","0","945600","    L6110-000001","10","CHRG ANCHOR WINDLASS TRBLSHOOT","1566","100","0.00","100.00","0.00","100.00","0.50","0.00","0.00","0.00","0.00","0.50","0.00","200.00","","","",""
"","","","604 Total","","","","","","","","","","","","","","","","","0.00","100.00","0.00","100.00","0.50","0.00","0.00","0.00","0.00","0.50","","","","","",""
"470","1","LCS9 CHIT   ","607","   ","          ","897","8","14","515","515","900","900","0","945640","    L6110-000002","10","M&M DIVING SALARY SUPPORT     ","1566","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"","","","607 Total","","","","","","","","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"470","1","LCS9 CHIT   ","623","   ","          ","897","8","14","515","515","900","900","0","945638","    L6110-000003","10","MAG 1 CRANE TEST-ENG &MFG SUPV","1566","100","0.00","16.00","0.00","16.00","8.18","0.00","0.00","0.00","0.00","8.18","0.00","1.96","","","",""
"","","","623 Total","","","","","","","","","","","","","","","","","0.00","16.00","0.00","16.00","8.18","0.00","0.00","0.00","0.00","8.18","","","","","",""
"470","1","LCS9 CHIT   ","628","   ","628","897","9","14","620","620","900","900","0","945614","    L6200-000003","10","RR FILTER SHIELD              ","6000","100","0.00","8.00","0.00","8.00","15.15","0.00","0.00","0.00","0.00","15.15","0.00","0.53","","","",""
"","","","628 Total","","","","","","","","","","","","","","","","","0.00","8.00","0.00","8.00","15.15","0.00","0.00","0.00","0.00","15.15","","","","","",""
"","","","Grand Total","","","","","","","","","","","","","","","","","0.00","2246.00","0.00","1625.20","1778.87","550.00","0.00","0.00","0.00","2328.87","0.000","0.914","","","",""
