"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"471","1","            ","            ","WQD","          ","34","2","13","180","180","900","900","0","933890","    L1800-000003","10","Q4-2012 SECURITY              ","1531","100","46.00","46.00","46.00","46.00","67.12","0.00","0.00","0.00","0.00","67.12","0.685 ","0.685 ","10/1/2012","12/21/2012","10/1/2012","12/21/2012","    L1800-000003-10","67.12","0","0","67.12","0.00 "
"471","1","            ","            ","W6E","          ","34","2","13","180","180","900","900","0","934592","    L1800-000004","10","Q1-2013 SECURITY              ","1531","100","168.00","168.00","168.00","168.00","191.20","0.00","0.00","0.00","0.00","191.20","0.879 ","0.879 ","1/2/2013","3/29/2013","1/2/2013","3/29/2013","    L1800-000004-10","191.2","0","0","191.2","0.00 "
"471","1","            ","            ","4C7","          ","34","2","13","180","180","900","900","0","934596","    L1800-000008","10","Q1-2014 SECURITY              ","1531","100","180.00","180.00","180.00","180.00","187.21","0.00","0.00","0.00","0.00","187.21","0.961 ","0.961 ","1/2/2014","3/28/2014","1/2/2014","3/28/2014","    L1800-000008-10","187.21","0","0","187.21","0.00 "
"471","1","            ","            ","W6G","          ","34","2","13","180","180","900","900","0","934594","    L1800-000006","10","Q3-2013 SECURITY              ","1531","100","189.00","189.00","189.00","189.00","192.73","0.00","0.00","0.00","0.00","192.73","0.981 ","0.981 ","7/1/2013","9/27/2013","7/1/2013","9/27/2013","    L1800-000006-10","192.73","0","0","192.73","0.00 "
"471","1","            ","            ","WQC","          ","34","2","13","180","180","900","900","0","933065","    L1800-000002","10","Q3-2012 SECURITY              ","1531","100","54.00","54.00","54.00","54.00","54.92","0.00","0.00","0.00","0.00","54.92","0.983 ","0.983 ","7/2/2012","9/28/2012","7/2/2012","9/28/2012","    L1800-000002-10","54.92","0","0","54.92","0.00 "
"471","1","            ","            ","W6H","          ","34","2","13","180","180","900","900","0","934595","    L1800-000007","10","Q4-2013 SECURITY              ","1531","100","182.00","182.00","182.00","182.00","184.32","0.00","0.00","0.00","0.00","184.32","0.987 ","0.987 ","9/30/2013","12/23/2013","9/30/2013","12/23/2013","    L1800-000007-10","184.32","0","0","184.32","0.00 "
"471","1","            ","            ","W6J","          ","34","2","13","180","180","900","900","0","934597","    L1800-000009","10","Q2-2014 SECURITY              ","1531","100","191.00","191.00","191.00","191.00","192.31","0.00","0.00","0.00","0.00","192.31","0.993 ","0.993 ","3/31/2014","6/27/2014","3/31/2014","6/27/2014","    L1800-000009-10","192.31","0","0","192.31","0.00 "
"471","1","            ","            ","W6F","          ","34","2","13","180","180","900","900","0","934593","    L1800-000005","10","Q2-2013 SECURITY              ","1531","100","191.00","191.00","191.00","191.00","190.01","0.00","0.00","0.00","0.00","190.01","1.005 ","1.005 ","4/1/2013","6/28/2013","4/1/2013","6/28/2013","    L1800-000005-10","190.01","0","0","190.01","0.00 "
"471","1","            ","            ","WQB","          ","34","2","13","180","180","900","900","0","933064","    L1800-000001","10","Q2-2012 SECURITY              ","1531","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","5/29/2012","3/29/2013","5/29/2012","3/29/2013","    L1800-000001-10","0","0","0","0","0.00 "
"471","1","            ","            ","888","          ","34","2","13","180","180","900","900","0","934598","    L1800-000010","10","Q3-2014 SECURITY              ","1531","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L1800-000010-10","0","0","0","0","0.00 "
