"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"485","1","            ","            ","0","                                        ","          ","    ","0","0","20","600","600","S    ","S00   ","0","","    L6000-000000","600","BUDGET FOR MFG                ","83","0","462409.00","462409.00","0.00","0.00","0.00","462409.00","0.00","0.00","0.00","462409.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000000-600","0","0","486538","486538","(24129.00)"
"485","1","            ","            ","888","                                        ","NO LABOR  ","    ","0","0","20","600","600","S    ","S00   ","0","","    L6000-000001","600","BUDGET FOR OUTSOURCE          ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000001-600","0","0","0","0","0.00 "
"485","1","            ","            ","LSF","1.34.1.2.5.S.MFG-AF                     ","SUP 558843","    ","0","9","8","600","600","S    ","S00   ","0","","    L6000-000LSF","600","BUDGET FOR MFG                ","83","0","2625.00","2625.00","0.00","0.00","0.00","2625.00","0.00","0.00","0.00","2625.00","","","6/11/2019","7/11/2019","8/27/2019","9/26/2019","    L6000-000LSF-600","0","0","2625","2625","0.00 "
"485","1","            ","            ","PCV","1.34.1.2.5.S.MFG-WT                     ","          ","    ","0","9","8","600","600","S    ","S00   ","0","","    L6000-000PCV","600","BUDGET FOR MFG                ","83","0","180.00","180.00","0.00","0.00","0.00","180.00","0.00","0.00","0.00","180.00","","","3/16/2020","4/24/2020","3/30/2020","5/8/2020","    L6000-000PCV-600","-","-","-","-","180.00 "
"485","1","            ","            ","PCW","1.34.1.2.5.S.MFG-WT                     ","          ","    ","0","9","8","600","600","S    ","S00   ","0","","    L6000-000PCW","600","BUDGET FOR MFG                ","83","0","360.00","360.00","0.00","0.00","0.00","360.00","0.00","0.00","0.00","360.00","","","4/27/2020","6/3/2020","5/11/2020","6/25/2020","    L6000-000PCW-600","-","-","-","-","360.00 "
"485","1","            ","            ","QBD","1.34.1.6.3.MFG-SR                       ","          ","    ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBD","600","BUDGET FOR MFG                ","83","0","9355.00","9355.00","0.00","0.00","0.00","9355.00","0.00","0.00","0.00","9355.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6000-000QBD-600","0","0","9355","9355","0.00 "
"485","1","            ","            ","QBH","1.34.1.6.3.MFG-SR                       ","          ","    ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBH","600","BUDGET FOR MFG                ","83","0","8904.00","8904.00","0.00","0.00","0.00","8904.00","0.00","0.00","0.00","8904.00","","","1/2/2019","12/23/2019","1/2/2019","12/23/2019","    L6000-000QBH-600","0","0","8904","8904","0.00 "
"485","1","            ","            ","QBM","1.34.1.6.3.MFG-SR                       ","          ","    ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBM","600","BUDGET FOR MFG                ","83","0","3586.00","3586.00","0.00","0.00","0.00","3586.00","0.00","0.00","0.00","3586.00","","","1/2/2020","8/7/2020","1/2/2020","8/7/2020","    L6000-000QBM-600","0","0","3586","3586","0.00 "
"485","1","            ","            ","QCH","1.34.1.6.3.MFG-SR                       ","          ","    ","0","9","11","600","647","S    ","S00   ","0","","    L6000-000QCH","647","BUDGET FOR MFG                ","83","0","21760.00","21760.00","0.00","0.00","0.00","21760.00","0.00","0.00","0.00","21760.00","","","4/2/2018","12/21/2018","4/2/2018","12/21/2018","    L6000-000QCH-647","0","0","21760","21760","0.00 "
"485","1","            ","            ","QCM","1.34.1.6.3.MFG-SR                       ","          ","    ","0","9","11","600","647","S    ","S00   ","0","","    L6000-000QCM","647","BUDGET FOR MFG                ","83","0","20760.00","20760.00","0.00","0.00","0.00","20760.00","0.00","0.00","0.00","20760.00","","","1/2/2019","12/23/2019","1/2/2019","12/23/2019","    L6000-000QCM-647","0","0","20760","20760","0.00 "
"485","1","            ","            ","QCR","1.34.1.6.3.MFG-SR                       ","          ","    ","0","9","11","600","647","S    ","S00   ","0","","    L6000-000QCR","647","BUDGET FOR MFG                ","83","0","5480.00","5480.00","0.00","0.00","0.00","5480.00","0.00","0.00","0.00","5480.00","","","1/2/2020","8/7/2020","1/2/2020","8/7/2020","    L6000-000QCR-647","0","0","5480","5480","0.00 "
"485","1","            ","            ","QEQ","1.34.1.6.3.MFG-SR                       ","          ","    ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QEQ","600","BUDGET FOR MFG                ","83","0","800.00","800.00","0.00","0.00","0.00","800.00","0.00","0.00","0.00","800.00","","","1/2/2019","6/28/2019","1/2/2019","6/28/2019","    L6000-000QEQ-600","0","0","800","800","0.00 "
"485","1","            ","            ","888","                                        ","          ","    ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QES","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000QES-600","0","0","0","0","0.00 "
"485","1","            ","            ","QEW","1.34.1.6.3.MFG-SR                       ","          ","    ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QEW","600","BUDGET FOR MFG                ","83","0","4717.00","4717.00","0.00","0.00","0.00","4717.00","0.00","0.00","0.00","4717.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6000-000QEW-600","0","0","4717","4717","0.00 "
"485","1","            ","            ","QEX","1.34.1.6.3.MFG-SR                       ","          ","    ","0","5","11","600","600","S    ","S00   ","0","","    L6000-000QEX","600","BUDGET FOR MFG                ","83","0","104.00","104.00","0.00","0.00","0.00","104.00","0.00","0.00","0.00","104.00","","","1/2/2020","8/7/2020","1/2/2020","8/7/2020","    L6000-000QEX-600","0","0","104","104","0.00 "
"485","1","            ","            ","QEZ","1.34.1.6.3.MFG-SR                       ","          ","    ","0","5","11","600","600","S    ","S00   ","0","","    L6000-000QEZ","600","BUDGET FOR MFG                ","83","0","256.00","256.00","0.00","0.00","0.00","256.00","0.00","0.00","0.00","256.00","","","7/2/2018","12/21/2018","7/2/2018","12/21/2018","    L6000-000QEZ-600","0","0","256","256","0.00 "
"485","1","            ","            ","QFD","1.34.1.6.3.MFG-SR                       ","          ","    ","0","5","11","600","600","S    ","S00   ","0","","    L6000-000QFD","600","BUDGET FOR MFG                ","83","0","398.00","398.00","0.00","0.00","0.00","398.00","0.00","0.00","0.00","398.00","","","1/2/2019","12/23/2019","1/2/2019","12/23/2019","    L6000-000QFD-600","0","0","398","398","0.00 "
"485","1","            ","            ","QFH","1.34.1.6.3.MFG-SR                       ","          ","    ","0","6","11","600","600","S    ","S00   ","0","","    L6000-000QFH","600","BUDGET FOR MFG                ","83","0","607.00","607.00","0.00","0.00","0.00","607.00","0.00","0.00","0.00","607.00","","","1/2/2020","8/7/2020","1/2/2020","8/7/2020","    L6000-000QFH-600","0","0","607","607","0.00 "
"485","1","            ","            ","QFK","1.34.1.6.3.MFG-SR                       ","          ","    ","0","6","11","600","600","S    ","S00   ","0","","    L6000-000QFK","600","BUDGET FOR MFG                ","83","0","880.00","880.00","0.00","0.00","0.00","880.00","0.00","0.00","0.00","880.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6000-000QFK-600","0","0","880","880","0.00 "
"485","1","            ","            ","QFP","1.34.1.6.3.MFG-SR                       ","          ","    ","0","6","11","600","600","S    ","S00   ","0","","    L6000-000QFP","600","BUDGET FOR MFG                ","83","0","2284.00","2284.00","0.00","0.00","0.00","2284.00","0.00","0.00","0.00","2284.00","","","1/2/2019","12/23/2019","1/2/2019","12/23/2019","    L6000-000QFP-600","0","0","2284","2284","0.00 "
