"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"479","1","            ","            ","WQL","1.25.3.1.1.FIN-PF                       ","          ","    ","897","8","13","201","515","900","900","0","941564","    L2010-000005","10","2017-LOE PFA SUPPORT          ","1579","25.7","1580.00","1580.00","406.06","406.06","540.61","1080.40","0.00","0.00","0.00","1621.01","0.751 ","0.751 ","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L2010-000005-10","498.66","0","1080.4","1579.06","41.95 "
"479","1","            ","            ","WQH","1.25.3.1.1.FIN-PF                       ","          ","    ","897","8","13","201","515","900","900","0","941563","    L2010-000004","10","2016-LOE PFA SUPPORT          ","1579","100","1000.00","1000.00","1000.00","1000.00","1202.51","0.00","0.00","0.00","0.00","1202.51","0.832 ","0.832 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L2010-000004-10","1202.51","0","0","1202.51","0.00 "
"479","1","            ","            ","WQD","1.25.3.1.1.FIN-PF                       ","          ","    ","897","8","13","201","515","900","900","0","941562","    L2010-000003","10","2015-LOE PFA SUPPORT          ","1579","100","772.00","772.00","772.00","772.00","828.06","0.00","0.00","0.00","0.00","828.06","0.932 ","0.932 ","1/2/2015","12/23/2015","1/2/2015","12/23/2015","    L2010-000003-10","828.06","0","0","828.06","0.00 "
"479","1","            ","            ","WQA","1.25.3.1.1.FIN-PF                       ","          ","    ","897","8","13","201","515","900","900","0","941147","    L2010-000001","10","Q3-2014 PFA SUPPORT           ","1560","100","187.00","187.00","187.00","187.00","187.75","0.00","0.00","0.00","0.00","187.75","0.996 ","0.996 ","6/30/2014","9/26/2014","6/30/2014","9/26/2014","    L2010-000001-10","187.75","0","0","187.75","0.00 "
"479","1","            ","            ","WQC","1.25.3.1.1.FIN-PF                       ","          ","    ","897","8","13","201","515","900","900","0","941561","    L2010-000002","10","Q4-2014 PFA SUPPORT           ","1579","100","75.00","75.00","75.00","75.00","74.49","0.00","0.00","0.00","0.00","74.49","1.007 ","1.007 ","9/29/2014","12/23/2014","9/29/2014","12/23/2014","    L2010-000002-10","74.49","0","0","74.49","0.00 "
"479","1","            ","            ","WQQ","1.25.3.1.1.FIN-PF                       ","          ","    ","897","8","13","201","515","900","900","0","941565","    L2010-000006","10","2018-LOE PFA SUPPORT          ","1579","0","1560.00","1560.00","0.00","0.00","0.00","1560.00","0.00","0.00","0.00","1560.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L2010-000006-10","0","0","1560","1560","0.00 "
"479","1","            ","            ","WCS","1.25.3.1.1.FIN-PF                       ","          ","    ","897","8","13","201","515","900","900","0","945728","    L2010-000007","10","Q-FINAL PFA SUPPORT           ","1579","0","500.00","500.00","0.00","0.00","0.00","500.00","0.00","0.00","0.00","500.00","","","1/2/2019","1/3/2019","1/2/2019","6/11/2019","    L2010-000007-10","0","0","500","500","0.00 "
"479","1","            ","            ","0","                                        ","          ","    ","897","8","20","201","515","900","900","0","941145","    L2010-990000","897","BUDGET FOR PFA                ","1598","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L2010-990000-897","0","0","0","0","0.00 "
"479","1","            ","            ","888","                                        ","          ","    ","897","8","13","201","515","900","900","0","941545","    L6110-000003","10","Q4-2014 PFA SUPPORT           ","1579","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6110-000003-10","0","0","0","0","0.00 "
"","","","","","","","","","","","201 Total","","","","","","","","","","","5674.00","5674.00","2440.06","2440.06","2833.42","3140.40","0.00","0.00","0.00","5973.82","","","","","","","","2791.47","0","3140.4","5931.87","41.95 "
"479","1","            ","            ","WDL","1.25.3.1.2.PUR-AD                       ","          ","    ","980","9","13","301","301","900","900","0","941182","    L3000-000005","10","2017-LOE PURCHASING SUPPORT   ","3007","25.7","1200.00","1200.00","308.40","308.40","1075.51","2696.00","0.00","0.00","0.00","3771.51","0.287 ","0.287 ","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L3000-000005-10","950.36","0","2757","3707.36","64.15 "
"479","1","            ","            ","WDH","1.25.3.1.2.PUR-AD                       ","          ","    ","980","9","13","301","301","900","900","0","941181","    L3000-000004","10","2016-LOE PURCHASING SUPPORT   ","3007","100","1902.00","1902.00","1902.00","1902.00","3162.27","0.00","0.00","0.00","0.00","3162.27","0.601 ","0.601 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L3000-000004-10","3162.27","0","0","3162.27","0.00 "
"479","1","            ","            ","WDD","1.25.3.1.2.PUR-AD                       ","          ","    ","980","9","13","301","301","900","900","0","941180","    L3000-000003","10","2015-LOE PURCHASING SUPPORT   ","3007","100","1600.00","1600.00","1600.00","1600.00","2195.35","0.00","0.00","0.00","0.00","2195.35","0.729 ","0.729 ","1/2/2015","12/23/2015","1/2/2015","12/23/2015","    L3000-000003-10","2195.35","0","0","2195.35","0.00 "
"479","1","            ","            ","WDC","1.25.3.1.2.PUR-AD                       ","          ","    ","980","9","13","301","301","900","900","0","941148","    L3000-000002","10","Q4-2014 PURCHASING SUPPORT    ","3007","100","150.00","150.00","150.00","150.00","117.62","0.00","0.00","0.00","0.00","117.62","1.275 ","1.275 ","9/29/2014","12/23/2014","9/29/2014","12/23/2014","    L3000-000002-10","117.62","0","0","117.62","0.00 "
"479","1","            ","            ","WDB","1.25.3.1.2.PUR-AD                       ","          ","    ","980","9","13","301","301","900","900","0","941143","    L3000-000001","10","Q3-2014 PURCHASING SUPPORT    ","3007","100","175.00","175.00","175.00","175.00","74.39","0.00","0.00","0.00","0.00","74.39","2.352 ","2.352 ","6/30/2014","9/26/2014","6/30/2014","9/26/2014","    L3000-000001-10","74.39","0","0","74.39","0.00 "
"479","1","            ","            ","WDD","1.25.3.1.2.PUR-AD                       ","PCW 886   ","    ","980","9","13","301","301","900","PCW886","0","942892","    L3000-000008","10","2015-LOE PUCH SUPPORT PCW 886 ","3007","100","173.00","173.00","173.00","173.00","43.95","0.00","0.00","0.00","0.00","43.95","3.936 ","3.936 ","1/2/2015","12/23/2015","1/2/2015","12/23/2015","    L3000-000008-10","43.95","0","0","43.95","0.00 "
"479","1","            ","            ","WDH","1.25.3.1.2.PUR-AD                       ","PCW 886   ","    ","980","9","13","301","301","900","PCW886","0","942893","    L3000-000009","10","2016-LOE PUCH SUPPORT PCW 886 ","3007","100","256.00","256.00","256.00","256.00","1.42","0.00","0.00","0.00","0.00","1.42","180.282 ","180.282 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L3000-000009-10","1.42","0","0","1.42","0.00 "
"479","1","            ","            ","WDQ","1.25.3.1.2.PUR-AD                       ","          ","    ","980","9","13","301","301","900","900","0","941183","    L3000-000006","10","2018-LOE PURCHASING SUPPORT   ","3007","0","702.00","702.00","0.00","0.00","0.00","4243.00","0.00","0.00","0.00","4243.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L3000-000006-10","0","0","4243","4243","0.00 "
"479","1","            ","            ","WDH","1.25.3.1.2.PUR-AD                       ","PCW 710   ","    ","980","9","13","301","301","900","PCW710","0","942131","    L3000-000007","10","2016-LOE PCW 710 PURCH SUPPORT","3007","100","61.00","61.00","61.00","61.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L3000-000007-10","0","0","0","0","0.00 "
"479","1","            ","            ","WDU","1.25.3.1.2.PUR-AD                       ","          ","    ","980","9","13","301","301","900","900","0","945718","    L3000-000010","10","Q-FINAL PURCHASING SUPPORT    ","3007","0","10.00","10.00","0.00","0.00","0.00","10.00","0.00","0.00","0.00","10.00","","","1/2/2019","1/3/2019","1/2/2019","6/11/2019","    L3000-000010-10","0","0","10","10","0.00 "
"479","1","            ","            ","0","                                        ","          ","    ","980","9","20","301","301","900","900","0","941095","    L3000-990000","980","BUDGET FOR PURCHASING         ","3098","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L3000-990000-980","0","0","0","0","0.00 "
"","","","","","","","","","","","301 Total","","","","","","","","","","","6229.00","6229.00","4625.40","4625.40","6670.51","6949.00","0.00","0.00","0.00","13619.51","","","","","","","","6545.36","0","7010","13555.36","64.15 "
"479","1","            ","            ","WBH","1.25.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","941771","    L6500-000011","10","Q1-2016 LOE PP&C PRC          ","3013","100","0.00","380.00","0.00","380.00","305.46","0.00","0.00","0.00","0.00","305.46","0.000 ","1.244 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000011-10","305.46","0","0","305.46","0.00 "
"479","1","            ","            ","WBH","1.25.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","941772","    L6500-000012","10","Q1-2016 LOE PP&C IMS/EVMS     ","3010","100","0.00","450.00","0.00","450.00","357.83","0.00","0.00","0.00","0.00","357.83","0.000 ","1.258 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000012-10","357.83","0","0","357.83","0.00 "
"479","1","            ","            ","WBH","1.25.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","941773","    L6500-000013","10","Q1-2016 LOE PP&C PLANNING     ","3014","100","0.00","900.00","0.00","900.00","635.84","0.00","0.00","0.00","0.00","635.84","0.000 ","1.415 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000013-10","635.84","0","0","635.84","0.00 "
"479","1","            ","            ","WBL","1.25.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","941775","    L6500-000015","10","Q1-2017 LOE PP&C PRC          ","3013","100","0.00","650.00","0.00","650.00","235.92","0.00","0.00","0.00","0.00","235.92","0.000 ","2.755 ","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000015-10","225.52","0","19","244.52","(8.60)"
"479","1","            ","            ","WBL","1.25.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","941776","    L6500-000016","10","Q1-2017 LOE PP&C IMS          ","3010","100","0.00","650.00","0.00","650.00","782.66","0.00","0.00","0.00","0.00","782.66","0.000 ","0.831 ","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000016-10","735.38","0","62","797.38","(14.72)"
"479","1","            ","            ","WBL","1.25.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","941777","    L6500-000017","10","Q1-2017 LOE PP&C TPG          ","3014","100","0.00","3250.00","0.00","3250.00","3237.59","0.00","0.00","0.00","0.00","3237.59","0.000 ","1.004 ","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000017-10","2957.92","0","250","3207.92","29.67 "
