"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"481","1","            ","            ","WQD","1.28.3.1.1.FIN-PF                       ","          ","    ","897","8","13","201","515","900","900","0","943862","    L2010-000002","10","2016-LOE PFA SUPPORT          ","1579","100","1000.00","1000.00","1000.00","1000.00","1276.94","0.00","0.00","0.00","0.00","1276.94","0.783 ","0.783 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L2010-000002-10","1276.94","0","0","1276.94","0.00 "
"481","1","            ","            ","WQH","1.28.3.1.1.FIN-PF                       ","          ","    ","897","8","13","201","515","900","900","0","943863","    L2010-000003","10","2017-LOE PFA SUPPORT          ","1579","25.7","1000.00","1000.00","257.00","257.00","252.11","750.00","0.00","0.00","0.00","1002.11","1.019 ","1.019 ","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L2010-000003-10","234.88","0","850","1084.88","(82.77)"
"481","1","            ","            ","WQC","1.28.3.1.1.FIN-PF                       ","          ","    ","897","8","13","201","515","900","900","0","943731","    L2010-000001","10","2015-LOE PFA SUPPORT          ","1579","100","125.00","125.00","125.00","125.00","117.90","0.00","0.00","0.00","0.00","117.90","1.060 ","1.060 ","9/28/2015","12/23/2015","9/28/2015","12/23/2015","    L2010-000001-10","117.9","0","0","117.9","0.00 "
"481","1","            ","            ","WQL","1.28.3.1.1.FIN-PF                       ","          ","    ","897","8","13","201","515","900","900","0","943864","    L2010-000004","10","2018-LOE PFA SUPPORT          ","1579","0","1000.00","1000.00","0.00","0.00","0.00","1000.00","0.00","0.00","0.00","1000.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L2010-000004-10","0","0","1000","1000","0.00 "
"481","1","            ","            ","WQQ","1.28.3.1.1.FIN-PF                       ","          ","    ","897","8","13","201","515","900","900","0","943865","    L2010-000005","10","2019-LOE PFA SUPPORT          ","1579","0","600.00","600.00","0.00","0.00","0.00","600.00","0.00","0.00","0.00","600.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L2010-000005-10","0","0","600","600","0.00 "
"481","1","            ","            ","0","                                        ","          ","    ","897","8","20","201","515","900","900","0","943732","    L2010-990000","897","BUDGET FOR PFA                ","1598","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L2010-990000-897","0","0","0","0","0.00 "
"","","","","","","","","","","","201 Total","","","","","","","","","","","3725.00","3725.00","1382.00","1382.00","1646.95","2350.00","0.00","0.00","0.00","3996.95","","","","","","","","1629.72","0","2450","4079.72","(82.77)"
"481","1","            ","            ","WDC","1.28.3.1.2.PUR-AD                       ","          ","    ","980","9","13","301","301","900","900","0","943765","    L3000-000001","10","Q4-2015 PURCHASING SUPPORT    ","3003","100","260.00","960.00","260.00","960.00","345.51","0.00","0.00","0.00","0.00","345.51","0.753 ","2.779 ","9/28/2015","12/23/2015","9/28/2015","12/23/2015","    L3000-000001-10","345.51","0","0","345.51","0.00 "
"481","1","            ","            ","WDH","1.28.3.1.2.PUR-AD                       ","          ","    ","980","9","13","301","301","900","900","0","944897","    L3000-000003","10","2017-LOE PURCHASING SUPPORT   ","3003","25.7","3900.00","3900.00","1002.30","1002.30","1095.02","3413.00","0.00","0.00","0.00","4508.02","0.915 ","0.915 ","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L3000-000003-10","977.93","0","3522","4499.93","8.09 "
"481","1","            ","            ","WDD","1.28.3.1.2.PUR-AD                       ","          ","    ","980","9","13","301","301","900","900","0","944149","    L3000-000002","10","2016-LOE PURCHASING SUPPORT   ","3003","100","4279.00","4279.00","4279.00","4279.00","2342.20","0.00","0.00","0.00","0.00","2342.20","1.827 ","1.827 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L3000-000002-10","2342.2","0","0","2342.2","0.00 "
"481","1","            ","            ","WDL","1.28.3.1.2.PUR-AD                       ","          ","    ","980","9","13","301","301","900","900","0","944898","    L3000-000004","10","2018-LOE PURCHASING SUPPORT   ","3003","0","2872.00","2872.00","0.00","0.00","0.00","4150.00","0.00","0.00","0.00","4150.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L3000-000004-10","0","0","4150","4150","0.00 "
"481","1","            ","            ","WDQ","1.28.3.1.2.PUR-AD                       ","          ","    ","980","9","13","301","301","900","900","0","944899","    L3000-000005","10","2019-LOE PURCHASING SUPPORT   ","3003","0","602.00","602.00","0.00","0.00","0.00","1752.00","0.00","0.00","0.00","1752.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L3000-000005-10","0","0","1752","1752","0.00 "
"481","1","            ","            ","0","                                        ","          ","    ","980","9","20","301","301","900","900","0","943733","    L3000-990000","980","BUDGET FOR PURCHASING         ","3098","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L3000-990000-980","0","0","0","0","0.00 "
"","","","","","","","","","","","301 Total","","","","","","","","","","","11913.00","12613.00","5541.30","6241.30","3782.73","9315.00","0.00","0.00","0.00","13097.73","","","","","","","","3665.64","0","9424","13089.64","8.09 "
"481","1","            ","            ","WBD","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943916","    L6500-000002","10","Q1-2016 LOE PP&C WORK         ","3014","100","0.00","200.00","0.00","200.00","109.59","0.00","0.00","0.00","0.00","109.59","0.000 ","1.825 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000002-10","109.59","0","0","109.59","0.00 "
"481","1","            ","            ","WBD","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943917","    L6500-000003","10","Q2-2016 LOE PP&C PRC          ","3014","100","0.00","650.00","0.00","650.00","167.82","0.00","0.00","0.00","0.00","167.82","0.000 ","3.873 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000003-10","167.82","0","0","167.82","0.00 "
"481","1","            ","            ","WBD","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943918","    L6500-000004","10","Q2-2016 LOE PP&C IMS/EVMS     ","3014","100","0.00","650.00","0.00","650.00","176.59","0.00","0.00","0.00","0.00","176.59","0.000 ","3.681 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000004-10","176.59","0","0","176.59","0.00 "
"481","1","            ","            ","WBD","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943919","    L6500-000005","10","Q2-2016 LOE PP&C PLANNING     ","3014","100","0.00","1625.00","0.00","1625.00","238.80","0.00","0.00","0.00","0.00","238.80","0.000 ","6.805 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000005-10","238.8","0","0","238.8","0.00 "
"481","1","            ","            ","WBD","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943920","    L6500-000006","10","Q3-2016 LOE PP&C PRC          ","3014","100","0.00","390.00","0.00","390.00","393.01","0.00","0.00","0.00","0.00","393.01","0.000 ","0.992 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000006-10","393.01","0","0","393.01","0.00 "
"481","1","            ","            ","WBD","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943921","    L6500-000007","10","Q3-2016 LOE PP&C IMS/EVMS     ","3014","100","0.00","520.00","0.00","520.00","548.29","0.00","0.00","0.00","0.00","548.29","0.000 ","0.948 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000007-10","548.29","0","0","548.29","0.00 "
"481","1","            ","            ","WBD","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943922","    L6500-000008","10","Q3-2016 LOE PP&C PLANNING     ","3014","100","0.00","260.00","0.00","260.00","667.02","0.00","0.00","0.00","0.00","667.02","0.000 ","0.390 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000008-10","667.02","0","0","667.02","0.00 "
"481","1","            ","            ","WBD","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943923","    L6500-000009","10","Q4-2016 LOE PP&C PRC          ","3014","100","0.00","455.00","0.00","455.00","329.27","0.00","0.00","0.00","0.00","329.27","0.000 ","1.382 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000009-10","329.27","0","0","329.27","0.00 "
"481","1","            ","            ","WBD","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943924","    L6500-000010","10","Q4-2016 LOE PP&C IMS/EVMS     ","3014","100","0.00","520.00","0.00","520.00","568.21","0.00","0.00","0.00","0.00","568.21","0.000 ","0.915 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000010-10","568.21","0","0","568.21","0.00 "
