"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"326","1","620","AC 41       ","   ","","AC 41     ","    ","830","8","14","520","520","900","900","0","947111","    L5200-000001","10","AC 41 BUILD SPEC INSTULATION  ","1501","86","548.00","548.00","471.28","471.28","474.05","74.00","0.00","0.00","0.00","548.05","0.99","0.99","","","",""
"326","1","620","AC 41       ","   ","","AC 41     ","    ","830","8","20","520","520","900","900","0","947110","    L5200-990000","830","BDGT CLIN 0620 AC41           ","1599","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"","","","AC 41        Total","","","","","","","","","","","","","","","","","","","548.00","548.00","471.28","471.28","474.05","74.00","0.00","0.00","0.00","548.05","","","","","",""
"326","1","620","AC 75       ","1","                                        ","AC 75     ","    ","304","3","20","626","626","900","900","0","","    L6000-00AC75","625","BUDGET CLIN 0620 EFFORT AC75  ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","6/16/2017","4/27/2018","6/16/2017","4/27/2018"
"326","1","620","AC 75       ","1","                                        ","AC 75     ","    ","304","3","98","626","626","S    ","S00   ","75","293725","    S0000-304001","10","AC 75 PROD CANNON PLUGS       ","56","100","132.00","132.00","132.00","132.00","52.00","0.00","0.00","0.00","0.00","52.00","2.54","2.54","6/16/2017","4/27/2018","6/16/2017","4/27/2018"
"","","","AC 75        Total","","","","","","","","","","","","","","","","","","","132.00","132.00","132.00","132.00","52.00","0.00","0.00","0.00","0.00","52.00","","","","","",""
"326","1","620","CDS05       ","   ","","CDS05     ","    ","812","8","14","515","515","900","CDS05 ","0","946889","    L6110-000001","10","CDS05 PROGRAM FINANCE SUPPORT ","1507","0","500.00","500.00","0.00","0.00","1326.56","454.00","0.00","0.00","0.00","1780.56","0.00","0.00","","","",""
"326","1","620","CDS05       ","   ","","CDS05     ","    ","812","8","14","515","515","900","CDS05 ","0","946890","    L6110-000002","10","CDS05 ENGINEERING SUPPORT     ","1507","0","2141.00","2141.00","0.00","0.00","1086.44","2141.00","0.00","0.00","0.00","3227.44","0.00","0.00","","","",""
"326","1","620","CDS05       ","   ","","CDS05     ","    ","812","8","14","515","515","900","CDS05 ","0","946891","    L6110-000003","10","CDS05 PMO SUPPORT             ","1507","0","1088.00","1088.00","0.00","0.00","670.14","1088.00","0.00","0.00","0.00","1758.14","0.00","0.00","","","",""
"326","1","620","CDS05       ","   ","","AC-63     ","    ","897","8","14","515","515","900","CDS05 ","0","946892","    L6110-000004","10","AC-63 DRS SCOPE ELECT PLANT   ","1560","100","0.00","48.00","0.00","48.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
