"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"470","1","LCS9 CHIT   ","67","0","                                        ","          ","    ","243","2","6","624","624","S    ","SS0   ","66","258010","    SS000-243003","10","SS0 VS MACH SHFT TO C/G PORT  ","39","100","0.00","40.00","0.00","40.00","40.00","0.00","0.00","0.00","0.00","40.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"470","1","LCS9 CHIT   ","67","0","                                        ","          ","    ","243","2","6","624","624","S    ","SS0   ","66","258012","    SS000-243004","10","SS0 VS MACH SHFT TO C/G STBD  ","39","100","0.00","39.00","0.00","39.00","40.00","0.00","0.00","0.00","0.00","40.00","0.00","0.97","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"470","1","LCS9 CHIT   ","67","0","                                        ","          ","    ","243","2","6","624","624","S    ","SS0   ","66","258013","    SS000-243005","10","SS0 VS MACH SHFT TO S/G PORT  ","39","100","0.00","40.00","0.00","40.00","40.00","0.00","0.00","0.00","0.00","40.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"470","1","LCS9 CHIT   ","67","0","                                        ","          ","    ","243","2","6","624","624","S    ","SS0   ","66","258014","    SS000-243006","10","SS0 VS MACH SHFT TO S/G STBD  ","39","100","0.00","39.00","0.00","39.00","38.00","0.00","0.00","0.00","0.00","38.00","0.00","1.03","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","67 Total","","","","","","","","","","","","","","","","","","","0.00","158.00","0.00","158.00","158.00","0.00","0.00","0.00","0.00","158.00","","","","","",""
"470","1","LCS9 CHIT   ","83","0","                                        ","          ","    ","631","6","3","648","648","866","866","19","260911","    L9900-V00001","10","VEN-866-BLAST & PAINT RAMP OF ","890","100","0.00","120.00","0.00","120.00","229.00","0.00","0.00","0.00","0.00","229.00","0.00","0.52","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","83 Total","","","","","","","","","","","","","","","","","","","0.00","120.00","0.00","120.00","229.00","0.00","0.00","0.00","0.00","229.00","","","","","",""
"470","1","LCS9 CHIT   ","171","0","                                        ","          ","    ","241","2","6","624","624","900","900","66","263356","    L9900-V00002","10","VEN-SW-CLEAN AREA AROUND      ","890","100","0.00","20.00","0.00","20.00","19.00","0.00","0.00","0.00","0.00","19.00","0.00","1.05","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","171 Total","","","","","","","","","","","","","","","","","","","0.00","20.00","0.00","20.00","19.00","0.00","0.00","0.00","0.00","19.00","","","","","",""
"470","1","LCS9 CHIT   ","174","0","                                        ","          ","    ","241","2","6","624","624","900","900","66","264466","    L9900-V00003","10","VEN-SW-TIGHTEN COUPLING ON    ","890","100","0.00","160.00","0.00","160.00","159.00","0.00","0.00","0.00","0.00","159.00","0.00","1.01","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
