"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"467","1","            ","            ","WDE","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","932822","    L3000-000057","10","Q2-2012 SUPPORT CAM DUTIES    ","3016","100","0.00","130.00","0.00","130.00","82.62","0.00","0.00","0.00","0.00","82.62","0.000 ","1.573 ","4/2/2012","6/29/2012","3/30/2012","7/2/2012","    L3000-000057-10","82.62","0","0","82.62","0.00 "
"467","1","            ","            ","WDF","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","932823","    L3000-000058","10","Q3-2012 SUPPORT CAM DUTIES    ","3016","100","0.00","130.00","0.00","130.00","75.37","0.00","0.00","0.00","0.00","75.37","0.000 ","1.725 ","7/2/2012","9/28/2012","7/2/2012","9/28/2012","    L3000-000058-10","75.37","0","0","75.37","0.00 "
"467","1","            ","            ","WDG","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","932824","    L3000-000059","10","Q4-2012 SUPPORT CAM DUTIES    ","3016","100","0.00","65.00","0.00","65.00","199.53","0.00","0.00","0.00","0.00","199.53","0.000 ","0.326 ","10/1/2012","12/21/2012","10/1/2012","12/21/2012","    L3000-000059-10","199.53","0","0","199.53","0.00 "
"467","1","            ","            ","WDF","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","932834","    L3000-000069","10","Q3-2012 SUPPORT OUTSOURCING   ","3017","100","0.00","325.00","0.00","325.00","47.80","0.00","0.00","0.00","0.00","47.80","0.000 ","6.799 ","7/2/2012","9/28/2012","7/2/2012","9/28/2012","    L3000-000069-10","47.8","0","0","47.8","0.00 "
"467","1","            ","            ","WDE","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","932835","    L3000-000070","10","Q2-2012 SUPPORT DAILY STANDUP ","3018","100","0.00","40.00","0.00","40.00","6.50","0.00","0.00","0.00","0.00","6.50","0.000 ","6.154 ","4/2/2012","6/29/2012","3/30/2012","7/2/2012","    L3000-000070-10","6.5","0","0","6.5","0.00 "
"467","1","            ","            ","WDF","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","932836","    L3000-000071","10","Q3-2012 SUPPORT DAILY STANDUP ","3018","100","0.00","40.00","0.00","40.00","6.50","0.00","0.00","0.00","0.00","6.50","0.000 ","6.154 ","7/2/2012","9/28/2012","7/2/2012","9/28/2012","    L3000-000071-10","6.5","0","0","6.5","0.00 "
"467","1","            ","            ","WDG","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","932837","    L3000-000072","10","Q4-2012 SUPPORT DAILY STANDUP ","3018","100","0.00","40.00","0.00","40.00","5.00","0.00","0.00","0.00","0.00","5.00","0.000 ","8.000 ","10/1/2012","12/21/2012","10/1/2012","12/21/2012","    L3000-000072-10","5","0","0","5","0.00 "
"467","1","            ","            ","7RQ","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","940252","    L3000-000082","10","Q-FINAL PURCHASING LOE        ","3007","99.89","631.00","631.00","630.31","630.31","5075.09","2.70","0.00","0.00","0.00","5077.79","0.124 ","0.124 ","3/30/2015","2/25/2016","4/6/2015","8/26/2016","    L3000-000082-10","5067.54","0","2.7","5070.24","7.55 "
"467","1","            ","            ","WDD","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931312","    L3000-000012","10","Q1-2012 CLERICAL AND ADMIN    ","3003","100","142.00","142.00","142.00","142.00","545.60","0.00","0.00","0.00","0.00","545.60","0.260 ","0.260 ","1/3/2012","3/30/2012","1/3/2012","3/30/2012","    L3000-000012-10","545.6","0","0","545.6","0.00 "
"467","1","            ","            ","WDJ","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931514","    L3000-000034","10","Q3-2013 NON MAJOR EQUIPMENT   ","3001","100","206.00","206.00","206.00","206.00","761.98","0.00","0.00","0.00","0.00","761.98","0.270 ","0.270 ","7/1/2013","9/27/2013","7/1/2013","9/27/2013","    L3000-000034-10","761.98","0","0","761.98","0.00 "
"467","1","            ","            ","WDI","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931510","    L3000-000030","10","Q2-2013 NON MAJOR EQUIPMENT   ","3001","100","200.00","200.00","200.00","200.00","686.89","0.00","0.00","0.00","0.00","686.89","0.291 ","0.291 ","4/1/2013","6/28/2013","4/1/2013","6/28/2013","    L3000-000030-10","686.89","0","0","686.89","0.00 "
"467","1","            ","            ","WDI","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931509","    L3000-000029","10","Q2-2013 MAJOR EQUIPMENT       ","3007","100","120.00","120.00","120.00","120.00","403.69","0.00","0.00","0.00","0.00","403.69","0.297 ","0.297 ","4/1/2013","6/28/2013","4/1/2013","6/28/2013","    L3000-000029-10","403.69","0","0","403.69","0.00 "
"467","1","            ","            ","WDB","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","928229","    L3000-000005","10","Q3-2011 NON MAJOR EQUIPMENT   ","3001","100","145.00","145.00","145.00","145.00","449.00","0.00","0.00","0.00","0.00","449.00","0.323 ","0.323 ","6/27/2011","9/30/2011","6/27/2011","9/26/2011","    L3000-000005-10","449","0","0","449","0.00 "
"467","1","            ","            ","WDJ","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931513","    L3000-000033","10","Q3-2013 MAJOR EQUIPMENT       ","3007","100","100.00","100.00","100.00","100.00","286.82","0.00","0.00","0.00","0.00","286.82","0.349 ","0.349 ","7/1/2013","9/27/2013","7/1/2013","9/27/2013","    L3000-000033-10","286.82","0","0","286.82","0.00 "
"467","1","            ","            ","WDG","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931504","    L3000-000024","10","Q4-2012 HARDWARE PROBLEM RPTS ","3005","100","40.00","40.00","40.00","40.00","113.45","0.00","0.00","0.00","0.00","113.45","0.353 ","0.353 ","10/1/2012","12/21/2012","10/1/2012","12/21/2012","    L3000-000024-10","113.45","0","0","113.45","0.00 "
"467","1","            ","            ","WDI","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","932826","    L3000-000061","10","Q2-2013 SUPPORT CAM DUTIES    ","3016","100","65.00","65.00","65.00","65.00","180.22","0.00","0.00","0.00","0.00","180.22","0.361 ","0.361 ","4/1/2013","6/28/2013","4/1/2013","6/28/2013","    L3000-000061-10","180.22","0","0","180.22","0.00 "
"467","1","            ","            ","WDI","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931511","    L3000-000031","10","Q2-2013 CLERICAL AND ADMIN    ","3003","100","186.00","186.00","186.00","186.00","506.72","0.00","0.00","0.00","0.00","506.72","0.367 ","0.367 ","4/1/2013","6/28/2013","4/1/2013","6/28/2013","    L3000-000031-10","506.72","0","0","506.72","0.00 "
"467","1","            ","            ","WDL","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931521","    L3000-000041","10","Q1-2014 PURCHASING LOE        ","3007","100","638.00","638.00","638.00","638.00","1645.87","0.00","0.00","0.00","0.00","1645.87","0.388 ","0.388 ","1/2/2014","3/28/2014","1/2/2014","3/28/2014","    L3000-000041-10","1645.87","0","0","1645.87","0.00 "
"467","1","            ","            ","WDM","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931525","    L3000-000045","10","Q2-2014 PURCHASING LOE        ","3007","100","638.00","638.00","638.00","638.00","1529.01","0.00","0.00","0.00","0.00","1529.01","0.417 ","0.417 ","3/31/2014","6/27/2014","3/31/2014","6/27/2014","    L3000-000045-10","1529.01","0","0","1529.01","0.00 "
"467","1","            ","            ","WDH","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931505","    L3000-000025","10","Q1-2013 MAJOR EQUIPMENT       ","3007","100","200.00","200.00","200.00","200.00","455.85","0.00","0.00","0.00","0.00","455.85","0.439 ","0.439 ","1/2/2013","3/29/2013","1/2/2013","3/29/2013","    L3000-000025-10","455.85","0","0","455.85","0.00 "
"467","1","            ","            ","WDN","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931529","    L3000-000049","10","Q3-2014 PURCHASING LOE        ","3007","100","613.00","613.00","613.00","613.00","1318.02","0.00","0.00","0.00","0.00","1318.02","0.465 ","0.465 ","6/30/2014","9/26/2014","6/30/2014","9/26/2014","    L3000-000049-10","1318.02","0","0","1318.02","0.00 "
"467","1","            ","            ","WDJ","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931515","    L3000-000035","10","Q3-2013 CLERICAL AND ADMIN    ","3003","100","160.00","160.00","160.00","160.00","319.99","0.00","0.00","0.00","0.00","319.99","0.500 ","0.500 ","7/1/2013","9/27/2013","7/1/2013","9/27/2013","    L3000-000035-10","319.99","0","0","319.99","0.00 "
"467","1","            ","            ","WDK","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931517","    L3000-000037","10","Q4-2013 PURCHASING LOE        ","3007","100","638.00","638.00","638.00","638.00","1240.14","0.00","0.00","0.00","0.00","1240.14","0.514 ","0.514 ","9/30/2013","12/23/2013","9/30/2013","12/23/2013","    L3000-000037-10","1240.14","0","0","1240.14","0.00 "
"467","1","            ","            ","WDO","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931533","    L3000-000053","10","Q4-2014 PURCHASING LOE        ","3007","100","727.00","727.00","727.00","727.00","1395.19","0.00","0.00","0.00","0.00","1395.19","0.521 ","0.521 ","9/29/2014","12/23/2014","9/29/2014","12/23/2014","    L3000-000053-10","1395.19","0","0","1395.19","0.00 "
"467","1","            ","            ","WDD","1.7.1.9.13.301                          ","          ","    ","980","9","13","301","301","900","900","0","931311","    L3000-000011","10","Q1-2012 NON MAJOR EQUIPMENT   ","3001","100","300.00","300.00","300.00","300.00","573.40","0.00","0.00","0.00","0.00","573.40","0.523 ","0.523 ","1/3/2012","3/30/2012","1/3/2012","3/30/2012","    L3000-000011-10","573.4","0","0","573.4","0.00 "
